Player,Value,Squad
Bartlomiej Wdowik,1.0,Braga
Víctor Gómez,6.0,Braga
Joe Mendes,3.0,Braga
João Ferreira,3.0,Braga
André Ferreira,0.0,Braga
Gui Costa,0.0,Braga
Vítor Carvalho,6.0,Braga
Uros Racic,3.5,Braga
Thiago Helguera,3.5,Braga
Rodrigo Zalazar,18.0,Braga
André Horta,4.0,Braga
Gorby,4.0,Braga
Diego Rodrigues,2.0,Braga
João Moutinho,0.6,Braga
Vasconcelos,2.0,Braga
Ricardo Horta,12.0,Braga
Ismaël Gharbi,7.5,Braga
Bruma,7.0,Braga
Gabri Martínez,4.0,Braga
João Marques,3.0,Braga
Sandro Vidigal,0.0,Braga
Roger Fernandes,22.0,Braga
Rafik Guitane,4.0,Braga
Rúben Furtado,0.0,Braga
Simon Banza,14.0,Braga
Roberto Fernández,6.0,Braga
Fran Navarro,6.0,Braga
Amine El Ouazzani,3.5,Braga
Afonso Patrão,2.0,Braga
Rodrigo Macedo,0.0,Braga
Yan Said,0.0,Braga
Bruno Varela,2.5,Vitoria
Charles,0.3,Vitoria
Jota,0.1,Vitoria
Gui,0.0,Vitoria
Toni Borevković,5.0,Vitoria
Filipe Relvas,3.0,Vitoria
Jorge Fernandes,2.0,Vitoria
Tomás Ribeiro,1.0,Vitoria
Mikel Villanueva,1.0,Vitoria
Óscar Rivas,0.5,Vitoria
Rika,0.0,Vitoria
João Mendes,3.0,Vitoria
Ricardo Mangas,2.5,Vitoria
Alberto Costa,10.0,Vitoria
Maga,2.0,Vitoria
Hevertton,1.0,Vitoria
Bruno Gaspar,0.6,Vitoria
Rodrigo Silva,0.0,Vitoria
Tomás Händel,13.0,Vitoria
Manu Silva,10.0,Vitoria
Diogo Sousa,0.0,Vitoria
Tiago Silva,3.0,Vitoria
Beni,2.0,Vitoria
Zé Carlos,1.0,Vitoria
Nuno Santos,2.5,Vitoria
João Mendes,2.0,Vitoria
Samu,1.8,Vitoria
Marco Cruz,0.2,Vitoria
Vando Félix,1.0,Vitoria
Jota Silva,15.0,Vitoria
Kaio César,5.0,Vitoria
Telmo Arcanjo,3.0,Vitoria
Gustavo Silva,3.0,Vitoria
Úmaro Embaló,0.7,Vitoria
Rodrigo Duarte,0.0,Vitoria
Jesús Ramírez,1.0,Vitoria
Nélson Oliveira,0.35,Vitoria
Bica,0.3,Vitoria
Dieu-Merci Michel,0.3,Vitoria
Luiz Júnior,10.0,Famalicão
Ivan Zlobin,1.5,Famalicão
Lazar Carević,1.5,Famalicão
Hugo Cunha,0.1,Famalicão
Gabriel Cabral,0.0,Famalicão
Enea Mihaj,4.0,Famalicão
Justin de Haas,3.0,Famalicão
Riccieli,2.0,Famalicão
Léo Realpe,1.5,Famalicão
Ibrahima Ba,0.5,Famalicão
Francisco Moura,15.0,Famalicão
Rafa Soares,1.5,Famalicão
Pedro Bondo,0.5,Famalicão
Diogo Costa,0.2,Famalicão
Calegari,3.5,Famalicão
Rodrigo Pinheiro,2.5,Famalicão
Mirko Topić,5.0,Famalicão
Tom van de Looi,2.0,Famalicão
Gustavo Assunção,1.0,Famalicão
Zaydou Youssouf,6.0,Famalicão
Mathias de Amorim,1.5,Famalicão
Otar Mamageishvili,0.7,Famalicão
Samuel Lobato,0.2,Famalicão
Gustavo Sá,16.0,Famalicão
Otso Liimatta,0.8,Famalicão
Rodrigo Ribeiro,0.0,Famalicão
Sorriso,5.0,Famalicão
Óscar Aranda,4.0,Famalicão
Rochinha,1.0,Famalicão
Gil Dias,1.5,Famalicão
Afonso Rodrigues,0.35,Famalicão
Dudá,0.0,Famalicão
Mario González,1.2,Famalicão
Simon Elisor,1.0,Famalicão
Vaclav Sejk,0.8,Famalicão
Yassir Zabiri,0.6,Famalicão
Leonardo Oliveira,0.1,Famalicão
Cezary Miszta,3.0,Rio Ave
Matheus Teixeira,0.4,Rio Ave
Jhonatan,0.3,Rio Ave
Antzelo Sina,0.2,Rio Ave
Andreas Ntoi,4.5,Rio Ave
Francisco Petrasso,1.5,Rio Ave
Jonathan Panzo,1.2,Rio Ave
Patrick William,0.9,Rio Ave
Nelson Abbey,0.7,Rio Ave
Renato Pantalon,0.6,Rio Ave
Konstantinos Kostoulas,0.5,Rio Ave
João Muniz,0.5,Rio Ave
Miguel Nóbrega,0.4,Rio Ave
Aderllan Santos,0.1,Rio Ave
Omar Richards,2.5,Rio Ave
João Pedro,0.4,Rio Ave
Georgios Okkas,0.15,Rio Ave
Marios Vrousai,2.0,Rio Ave
João Tomé,0.6,Rio Ave
Demir Ege Tıknaz,5.0,Rio Ave
Theofanis Bakoulas,1.0,Rio Ave
Amine Oudrhiri,0.3,Rio Ave
Vítor Gomes,0.1,Rio Ave
Martim Neto,2.5,Rio Ave
Brandon Aguilera,1.5,Rio Ave
João Novais,0.4,Rio Ave
João Graça,0.3,Rio Ave
Dijar Ferati,0.1,Rio Ave
Karse,0.1,Rio Ave
Ole Pohlmann,2.5,Rio Ave
Tiago Morais,3.0,Rio Ave
Tobías Medina,1.0,Rio Ave
Kiko Bondoso,0.8,Rio Ave
Tim,0.15,Rio Ave
André Luiz,2.5,Rio Ave
Fábio Ronaldo,1.0,Rio Ave
Amine Rehmi,0.175,Rio Ave
Clayton,5.0,Rio Ave
Karem Zoabi,0.9,Rio Ave
Ahmed Hassan,0.8,Rio Ave
Chukwudi Igbokwe,0.1,Rio Ave
Naziru Shuabiu,0.0,Rio Ave
Dani Figueira,0.75,Estoril
Joel Robles,0.5,Estoril
Kevin Chamorro,0.3,Estoril
Diogo Dias,0.2,Estoril
Željko Vitorović,0.0,Estoril
Kévin Boma,4.0,Estoril
Pedro Álvaro,2.0,Estoril
Felix Bacher,2.0,Estoril
Bernardo Vital,1.2,Estoril
Finn Dicke,0.25,Estoril
Ismael Sierra,0.2,Estoril
Eliaquim Mangala,0.2,Estoril
Philippe Lanquetin,0.0,Estoril
Pedro Amaral,1.0,Estoril
Gonçalo Costa,0.5,Estoril
Tiago Parente,0.0,Estoril
Wagner Pina,5.0,Estoril
Pedro Carvalho,0.4,Estoril
Jordan Holsgrove,3.5,Estoril
Zanocelo,2.5,Estoril
