Player,Value,Squad
Egor Ushakov,0.15,CSKA Moscow
Fedor Chalov,7.5,CSKA Moscow
Víctor Dávila,5.5,CSKA Moscow
Alerrandro,3.5,CSKA Moscow
Tamerlan Musaev,3.5,CSKA Moscow
Sékou Koïta,3.5,CSKA Moscow
Saúl Guarirapa,1.5,CSKA Moscow
Adolfo Gaich,1.4,CSKA Moscow
Artem Shumanskiy,0.7,CSKA Moscow
Vladislav Yakovlev,0.3,CSKA Moscow
Andrey Lunev,1.2,Dynamo Mosc
Igor Leshchuk,0.7,Dynamo Mosc
Andrey Kudravets,0.35,Dynamo Mosc
Kurban Rasulov,0.15,Dynamo Mosc
Ilya Kuptsov,0.1,Dynamo Mosc
Roberto Fernández,3.5,Dynamo Mosc
Nicolás Marichal,3.5,Dynamo Mosc
Fabián Balbuena,2.0,Dynamo Mosc
Milan Majstorovic,1.8,Dynamo Mosc
Ivan Lepskiy,0.5,Dynamo Mosc
Leon Zaydenzal,0.2,Dynamo Mosc
Dmitriy Skopintsev,2.5,Dynamo Mosc
Diego Laxalt,2.0,Dynamo Mosc
Juan José Cáceres,3.5,Dynamo Mosc
Eli Dasa,1.0,Dynamo Mosc
Stanislav Bessmertniy,0.5,Dynamo Mosc
Danil Glebov,8.0,Dynamo Mosc
Luis Chávez,8.0,Dynamo Mosc
Daniil Fomin,8.0,Dynamo Mosc
Aleksandr Kutitskiy,1.8,Dynamo Mosc
Dmitriy Aleksandrov,0.35,Dynamo Mosc
Evgeniy Ibragimov,0.01,Dynamo Mosc
Luka Gagnidze,1.2,Dynamo Mosc
Bitello,12.0,Dynamo Mosc
Jorge Carrascal,7.0,Dynamo Mosc
Viktor Okishor,0.5,Dynamo Mosc
Egor Smelov,0.3,Dynamo Mosc
Egor Nazarenko,0.225,Dynamo Mosc
Nicolas Moumi Ngamaleu,4.0,Dynamo Mosc
Arthur Gomes,3.5,Dynamo Mosc
Daniil Lesovoy,1.5,Dynamo Mosc
Vyacheslav Grulev,1.2,Dynamo Mosc
Yaroslav Gladyshev,4.0,Dynamo Mosc
Denis Makarov,1.2,Dynamo Mosc
Konstantin Tyukavin,16.0,Dynamo Mosc
El Mehdi Maouhoub,1.8,Dynamo Mosc
Denis Bokov,0.25,Dynamo Mosc
Aleksandr Khubulov,0.175,Dynamo Mosc
Ilya Lantratov,2.5,Loko Moscow
Anton Mitryushkin,1.8,Loko Moscow
Daniil Veselov,0.1,Loko Moscow
Vadim Drugov,0.0,Loko Moscow
Gerzino Nyamsi,5.0,Loko Moscow
César Montes,4.5,Loko Moscow
Lucas Fasson,3.0,Loko Moscow
Evgeniy Morozov,3.0,Loko Moscow
Egor Pogostnov,1.8,Loko Moscow
Mario Mitaj,5.5,Loko Moscow
Nair Tiknizyan,4.0,Loko Moscow
Ilya Samoshnikov,3.5,Loko Moscow
Aleksandr Silyanov,6.0,Loko Moscow
Maksim Nenakhov,3.0,Loko Moscow
Dmitriy Barinov,8.0,Loko Moscow
Artem Karpukas,5.0,Loko Moscow
Artem Timofeev,1.5,Loko Moscow
Stanislav Topinka,0.0,Loko Moscow
Danila Godyaev,1.5,Loko Moscow
Aleksey Batrakov,12.0,Loko Moscow
Sergey Pinyaev,8.0,Loko Moscow
Nikita Saltykov,2.0,Loko Moscow
Artem Korneev,0.0,Loko Moscow
Edgar Sevikyan,2.0,Loko Moscow
Vadim Rakov,1.2,Loko Moscow
Dmitriy Vorobyov,3.0,Loko Moscow
Timur Suleymanov,1.2,Loko Moscow
Vladislav Sarveli,0.9,Loko Moscow
Dmitriy Radikovskiy,0.3,Loko Moscow
Rustam Yatimov,1.5,Rostov
Daniil Odoevskiy,0.8,Rostov
Hidajet Hankic,0.4,Rostov
Maksim Osipenko,5.0,Rostov
Oumar Sako,3.0,Rostov
Viktor Melekhin,3.0,Rostov
German Ignatov,0.5,Rostov
David Semenchuk,0.3,Rostov
Aleksandr Mukhin,0.075,Rostov
Evgeniy Tonevitskiy,0.0,Rostov
Nikita Babakin,0.0,Rostov
Eyad El Askalany,0.5,Rostov
Evgeniy Chernov,0.4,Rostov
Nikolay Poyarkov,0.3,Rostov
Ilya Vakhania,3.0,Rostov
Andrey Langovich,3.0,Rostov
Maksim Radchenko,0.0,Rostov
Rodrigo Saravia,1.5,Rostov
Aleksey Koltakov,0.2,Rostov
Ilya Zubenko,0.1,Rostov
Andrey Amosov,0.0,Rostov
Daniil Utkin,2.8,Rostov
Daniil Shantaliy,0.8,Rostov
Aleksey Mironov,0.6,Rostov
Ilya Zhbanov,0.05,Rostov
Kirill Shchetinin,2.8,Rostov
Konstantin Kuchaev,1.5,Rostov
Khoren Bayramyan,0.6,Rostov
Mohammad Mohebi,3.0,Rostov
Imran Aznaurov,0.25,Rostov
Denis Titov,0.0,Rostov
Ronaldo,4.0,Rostov
Ivan Komarov,2.0,Rostov
Stepan Melnikov,0.075,Rostov
Nikolay Komlichenko,3.5,Rostov
Egor Golenkov,2.5,Rostov
Anton Shamonin,0.25,Rostov
Ivan Lomaev,1.5,Samara
Sergey Pesjakov,0.3,Samara
Bogdan Ovsyannikov,0.3,Samara
Evgeniy Frolov,0.05,Samara
Danil Beltyukov,0.0,Samara
Mikhail Nedospasov,0.0,Samara
Aleksandr Soldatenkov,4.0,Samara
Roman Evgenjev,1.2,Samara
Dominik Oroz,0.8,Samara
Ilya Gaponov,0.6,Samara
Ilya Gribakin,0.2,Samara
Aleksey Lysov,0.0,Samara
Thomas Galdames,2.0,Samara
Kirill Pechenin,0.75,Samara
Nikolay Rasskazov,1.5,Samara
Glenn Bijl,1.5,Samara
Konstantin Lyakhov,0.0,Samara
Fernando Costanza,3.0,Samara
Maksim Vityugov,0.9,Samara
Dmytro Ivanisenya,0.4,Samara
Denis Yakuba,0.15,Samara
Sergey Babkin,1.8,Samara
Amar Rahmanovic,1.0,Samara
Kirill Popov,0.0,Samara
Franco Orozco,1.5,Samara
Igor Dmitriev,1.0,Samara
Vladimir Khubulov,0.6,Samara
Ulvi Babaev,0.25,Samara
Benjamín Garré,6.0,Samara
Roman Ezhov,1.8,Samara
Ivan Oleynikov,1.4,Samara
Ivan Bober,0.15,Samara
Nikolay Maksimov,0.0,Samara
Vladislav Shitov,0.8,Samara
Vladimir Pisarskiy,0.7,Samara
Dmitriy Tsypchenko,0.5,Samara
