Player,Value,Squad
Dominik Szoboszlai,80.0,Liverpool
Harvey Elliott,30.0,Liverpool
Kieran Morrison,0.0,Liverpool
Luis Díaz,70.0,Liverpool
Cody Gakpo,70.0,Liverpool
Diogo Jota,40.0,Liverpool
Trent Kone-Doherty,0.0,Liverpool
Rio Ngumoha,0.0,Liverpool
Mohamed Salah,50.0,Liverpool
Federico Chiesa,14.0,Liverpool
Ranel Young,0.0,Liverpool
Darwin Núñez,45.0,Liverpool
Jayden Danns,0.8,Liverpool
André Onana,25.0,Manchester Utd
Altay Bayındır,8.0,Manchester Utd
Tom Heaton,0.2,Manchester Utd
Dermot Mee,0.0,Manchester Utd
Hubert Graczyk,0.0,Manchester Utd
Elyh Harrison,0.0,Manchester Utd
Will Murdock,0.0,Manchester Utd
Leny Yoro,55.0,Manchester Utd
Lisandro Martínez,40.0,Manchester Utd
Matthijs de Ligt,38.0,Manchester Utd
Harry Maguire,13.0,Manchester Utd
Victor Lindelöf,8.0,Manchester Utd
Ayden Heaven,5.0,Manchester Utd
Tyler Fredricson,3.0,Manchester Utd
Jonny Evans,1.0,Manchester Utd
Godwill Kukonki,0.0,Manchester Utd
Patrick Dorgu,25.0,Manchester Utd
Luke Shaw,12.0,Manchester Utd
Tyrell Malacia,8.0,Manchester Utd
Harry Amass,5.0,Manchester Utd
Diogo Dalot,30.0,Manchester Utd
Noussair Mazraoui,25.0,Manchester Utd
Habeeb Ogunneye,0.0,Manchester Utd
Jaydan Kamason,0.0,Manchester Utd
Manuel Ugarte,45.0,Manchester Utd
Casemiro,10.0,Manchester Utd
Toby Collyer,5.0,Manchester Utd
Sékou Koné,0.0,Manchester Utd
Scott McTominay,50.0,Manchester Utd
Kobbie Mainoo,50.0,Manchester Utd
Daniel Gore,0.8,Manchester Utd
Jack Moorhouse,0.0,Manchester Utd
Jayce Fitzgerald,0.0,Manchester Utd
Bruno Fernandes,50.0,Manchester Utd
Mason Mount,28.0,Manchester Utd
Christian Eriksen,4.0,Manchester Utd
Jack Fletcher,0.0,Manchester Utd
Marcus Rashford,50.0,Manchester Utd
Alejandro Garnacho,45.0,Manchester Utd
Jadon Sancho,28.0,Manchester Utd
James Scanlon,0.0,Manchester Utd
Amad Diallo,45.0,Manchester Utd
Antony,35.0,Manchester Utd
Facundo Pellistri,8.0,Manchester Utd
Bendito Mantato,0.0,Manchester Utd
Rasmus Højlund,35.0,Manchester Utd
Joshua Zirkzee,30.0,Manchester Utd
Chido Obi,5.0,Manchester Utd
Ethan Wheatley,0.0,Manchester Utd
Guglielmo Vicario,32.0,Tottenham
Antonín Kinský,15.0,Tottenham
Fraser Forster,1.0,Tottenham
Brandon Austin,0.6,Tottenham
Alfie Whiteman,0.5,Tottenham
Cristian Romero,50.0,Tottenham
Micky van de Ven,50.0,Tottenham
Kevin Danso,25.0,Tottenham
Radu Drăgușin,25.0,Tottenham
Ben Davies,6.0,Tottenham
Alfie Dorrington,0.7,Tottenham
Dante Cassanova,0.0,Tottenham
Maeson King,0.0,Tottenham
Malachi Hardy,0.0,Tottenham
Destiny Udogie,40.0,Tottenham
Djed Spence,20.0,Tottenham
Sergio Reguilón,6.0,Tottenham
Pedro Porro,38.0,Tottenham
Yves Bissouma,25.0,Tottenham
Archie Gray,38.0,Tottenham
Lucas Bergvall,38.0,Tottenham
Pape Matar Sarr,32.0,Tottenham
Rodrigo Bentancur,30.0,Tottenham
Callum Olusesi,0.5,Tottenham
Rio Kyerematen,0.0,Tottenham
Dejan Kulusevski,50.0,Tottenham
James Maddison,42.0,Tottenham
Alfie Devine,3.5,Tottenham
Lucá Williams-Barnett,0.0,Tottenham
Heung-min Son,20.0,Tottenham
Wilson Odobert,20.0,Tottenham
Mikey Moore,18.0,Tottenham
Timo Werner,7.0,Tottenham
Brennan Johnson,40.0,Tottenham
Min-hyeok Yang,3.5,Tottenham
Damola Ajayi,0.0,Tottenham
Dominic Solanke,40.0,Tottenham
Mathys Tel,35.0,Tottenham
Richarlison,20.0,Tottenham
Will Lankshear,3.0,Tottenham
Dane Scarlett,2.0,Tottenham
Emiliano Martínez,20.0,Aston Villa
Joe Gauci,1.5,Aston Villa
Robin Olsen,1.0,Aston Villa
Oliwier Zych,0.8,Aston Villa
Sam Proctor,0.0,Aston Villa
Ezri Konsa,35.0,Aston Villa
Pau Torres,32.0,Aston Villa
Axel Disasi,22.0,Aston Villa
Diego Carlos,9.5,Aston Villa
Tyrone Mings,5.0,Aston Villa
Kortney Hause,1.0,Aston Villa
Sil Swinkels,0.15,Aston Villa
Ian Maatsen,28.0,Aston Villa
Lucas Digne,10.0,Aston Villa
Travis Patterson,0.0,Aston Villa
Matty Cash,25.0,Aston Villa
Kosta Nedeljkovic,10.0,Aston Villa
Andrés García,7.0,Aston Villa
Triston Rowe,0.0,Aston Villa
Amadou Onana,50.0,Aston Villa
Boubacar Kamara,40.0,Aston Villa
Lamare Bogarde,6.0,Aston Villa
Youri Tielemans,38.0,Aston Villa
Jacob Ramsey,32.0,Aston Villa
John McGinn,16.0,Aston Villa
Ross Barkley,6.0,Aston Villa
Aidan Borland,0.0,Aston Villa
Morgan Rogers,55.0,Aston Villa
Marco Asensio,20.0,Aston Villa
Emiliano Buendía,15.0,Aston Villa
Jamaldeen Jimoh-Aloba,0.3,Aston Villa
Marcus Rashford,50.0,Aston Villa
Jaden Philogene,16.0,Aston Villa
Kadan Young,0.3,Aston Villa
Ben Broggio,0.0,Aston Villa
Leon Bailey,28.0,Aston Villa
Donyell Malen,25.0,Aston Villa
Bradley Burrowes,0.0,Aston Villa
Ollie Watkins,40.0,Aston Villa
Jhon Durán,35.0,Aston Villa
Kobei Moore,0.0,Aston Villa
Nick Pope,8.0,Newcastle Utd
Odysseas Vlachodimos,5.0,Newcastle Utd
Martin Dúbravka,1.0,Newcastle Utd
Mark Gillespie,0.2,Newcastle Utd
John Ruddy,0.15,Newcastle Utd
Sven Botman,42.0,Newcastle Utd
Lloyd Kelly,16.0,Newcastle Utd
Fabian Schär,7.0,Newcastle Utd
Dan Burn,6.0,Newcastle Utd
Jamaal Lascelles,4.0,Newcastle Utd
Lewis Hall,32.0,Newcastle Utd
Matt Targett,5.0,Newcastle Utd
Jamal Lewis,2.5,Newcastle Utd
Alex Murphy,0.3,Newcastle Utd
Tino Livramento,40.0,Newcastle Utd
Kieran Trippier,4.0,Newcastle Utd
Emil Krafth,2.0,Newcastle Utd
Harrison Ashby,1.4,Newcastle Utd
Leo Shahar,0.0,Newcastle Utd
Sandro Tonali,60.0,Newcastle Utd
Isaac Hayden,0.7,Newcastle Utd
Bruno Guimarães,80.0,Newcastle Utd
Joelinton,35.0,Newcastle Utd
Joe Willock,22.0,Newcastle Utd
Lewis Miley,22.0,Newcastle Utd
Sean Longstaff,20.0,Newcastle Utd
Joe White,0.275,Newcastle Utd
Anthony Gordon,65.0,Newcastle Utd
Harvey Barnes,35.0,Newcastle Utd
Trevan Sanusi,0.0,Newcastle Utd
Jacob Murphy,16.0,Newcastle Utd
Miguel Almirón,10.0,Newcastle Utd
Alexander Isak,120.0,Newcastle Utd
Callum Wilson,8.0,Newcastle Utd
William Osula,7.0,Newcastle Utd
Sean Neave,0.0,Newcastle Utd
Bart Verbruggen,30.0,Brighton
Carl Rushworth,3.0,Brighton
Jason Steele,1.5,Brighton
Tom McGill,0.6,Brighton
Killian Cahill,0.15,Brighton
Jan Paul van Hecke,32.0,Brighton
Igor Julio,20.0,Brighton
Adam Webster,11.0,Brighton
Eiran Cashin,8.0,Brighton
Lewis Dunk,6.0,Brighton
Ruairi McConville,1.8,Brighton
Ed Turns,0.35,Brighton
Freddie Simmonds,0.0,Brighton
Pervis Estupiñán,30.0,Brighton
Ferdi Kadıoğlu,25.0,Brighton
Jacob Slater,0.2,Brighton
Imari Samuels,0.1,Brighton
Tariq Lamptey,11.0,Brighton
Joël Veltman,4.0,Brighton
Odeluga Offiah,0.6,Brighton
Charlie Tasker,0.2,Brighton
Carlos Baleba,40.0,Brighton
Mats Wieffer,25.0,Brighton
Jack Hinshelwood,24.0,Brighton
Billy Gilmour,20.0,Brighton
Yasin Ayari,22.0,Brighton
Matt O'Riley,22.0,Brighton
Malick Yalcouyé,17.0,Brighton
Diego Gómez,14.0,Brighton
Jakub Moder,12.0,Brighton
Valentín Barco,12.0,Brighton
James Milner,1.0,Brighton
Jensen Weir,0.35,Brighton
Joe Knight,0.0,Brighton
Julio Enciso,22.0,Brighton
Harry Howell,0.0,Brighton
Kaoru Mitoma,40.0,Brighton
Simon Adingra,28.0,Brighton
Jeremy Sarmiento,7.0,Brighton
Cameron Peupion,0.225,Brighton
Yankuba Minteh,30.0,Brighton
Brajan Gruda,25.0,Brighton
Solly March,6.0,Brighton
Amario Cozier-Duberry,2.0,Brighton
João Pedro,50.0,Brighton
Georginio Rutter,32.0,Brighton
Evan Ferguson,25.0,Brighton
Danny Welbeck,5.0,Brighton
Mark O'Mahony,0.5,Brighton
Dean Henderson,20.0,Crystal Palace
Sam Johnstone,6.0,Crystal Palace
Matt Turner,2.5,Crystal Palace
Joe Whitworth,1.7,Crystal Palace
Remi Matthews,0.4,Crystal Palace
Marc Guéhi,45.0,Crystal Palace
Joachim Andersen,27.0,Crystal Palace
Trevoh Chalobah,25.0,Crystal Palace
Maxence Lacroix,25.0,Crystal Palace
Chadi Riad,15.0,Crystal Palace
Chris Richards,14.0,Crystal Palace
Rob Holding,3.5,Crystal Palace
Tyrick Mitchell,25.0,Crystal Palace
Ben Chilwell,15.0,Crystal Palace
Daniel Muñoz,25.0,Crystal Palace
Nathaniel Clyne,1.0,Crystal Palace
Caleb Kporha,1.0,Crystal Palace
Joel Ward,0.5,Crystal Palace
Adam Wharton,45.0,Crystal Palace
Cheick Doucouré,25.0,Crystal Palace
Jefferson Lerma,10.0,Crystal Palace
David Ozoh,0.7,Crystal Palace
Kaden Rodney,0.2,Crystal Palace
Will Hughes,7.0,Crystal Palace
Naouirou Ahamada,3.5,Crystal Palace
Jeffrey Schlupp,3.0,Crystal Palace
Eberechi Eze,55.0,Crystal Palace
Daichi Kamada,12.0,Crystal Palace
Matheus França,10.0,Crystal Palace
Justin Devenny,6.0,Crystal Palace
Asher Agbinone,0.075,Crystal Palace
Ismaïla Sarr,25.0,Crystal Palace
Romain Esse,12.0,Crystal Palace
Malcolm Ebiowei,1.2,Crystal Palace
Franco Umeh-Chibueze,0.075,Crystal Palace
Jean-Philippe Mateta,30.0,Crystal Palace
Eddie Nketiah,18.0,Crystal Palace
Odsonne Édouard,8.0,Crystal Palace
Jordan Ayew,2.5,Crystal Palace
Zach Marsh,0.0,Crystal Palace
Kepa Arrizabalaga,10.0,Bournemouth
Mark Travers,4.0,Bournemouth
