Player,Value,Squad
Sébastien Haller,3.0,Dortmund
Jordi Paulina,0.25,Dortmund
Kevin Trapp,2.5,Eint Frankfurt
Kauã Santos,2.5,Eint Frankfurt
Nils Ramming,0.3,Eint Frankfurt
Jens Grahl,0.2,Eint Frankfurt
Yurij Obert,0.05,Eint Frankfurt
Amil Siljevic,0.0,Eint Frankfurt
Arthur Theate,24.0,Eint Frankfurt
Robin Koch,18.0,Eint Frankfurt
Tuta,15.0,Eint Frankfurt
Nnamdi Collins,10.0,Eint Frankfurt
Aurèle Amenda,7.5,Eint Frankfurt
Nathaniel Brown,22.0,Eint Frankfurt
Niels Nkounkou,3.5,Eint Frankfurt
Rasmus Kristensen,14.0,Eint Frankfurt
Timothy Chandler,0.35,Eint Frankfurt
Ellyes Skhiri,7.5,Eint Frankfurt
Eba Bekir Is,0.5,Eint Frankfurt
Noah Fenyö,0.35,Eint Frankfurt
Hugo Larsson,40.0,Eint Frankfurt
Oscar Højlund,7.5,Eint Frankfurt
Mahmoud Dahoud,3.5,Eint Frankfurt
Junior Dina Ebimbe,6.0,Eint Frankfurt
Can Uzun,18.0,Eint Frankfurt
Farès Chaïbi,9.0,Eint Frankfurt
Mario Götze,4.0,Eint Frankfurt
Krisztián Lisztes,2.0,Eint Frankfurt
Jean-Mattéo Bahoya,17.0,Eint Frankfurt
Ansgar Knauff,15.0,Eint Frankfurt
Omar Marmoush,75.0,Eint Frankfurt
Hugo Ekitiké,75.0,Eint Frankfurt
Elye Wahi,22.0,Eint Frankfurt
Igor Matanovic,5.0,Eint Frankfurt
Michy Batshuayi,4.0,Eint Frankfurt
Alexander Nübel,12.0,Stuttgart
Dennis Seimen,2.5,Stuttgart
Fabian Bredlow,0.8,Stuttgart
Stefan Drljaca,0.325,Stuttgart
Finn Jeltsch,20.0,Stuttgart
Jeff Chabot,12.0,Stuttgart
Anthony Rouault,10.0,Stuttgart
Ameen Al-Dakhil,7.5,Stuttgart
Luca Jaquez,6.0,Stuttgart
Ramon Hendriks,5.0,Stuttgart
Anrie Chase,3.0,Stuttgart
Dan-Axel Zagadou,2.0,Stuttgart
Maximilian Mittelstädt,20.0,Stuttgart
Frans Krätzig,3.5,Stuttgart
Josha Vagnoman,10.0,Stuttgart
Leonidas Stergiou,5.0,Stuttgart
Pascal Stenzel,2.0,Stuttgart
Christopher Olivier,0.5,Stuttgart
