Player,Value,Squad
Tristan Degreef,2.0,Anderlecht
Kasper Dolberg,13.0,Anderlecht
Luis Vázquez,2.5,Anderlecht
Robbie Ure,1.5,Anderlecht
Keisuke Goto,1.2,Anderlecht
Elyèss Dao,0.5,Anderlecht
Davy Roef,2.5,Gent
Daniel Schmidt,0.7,Gent
Tom Vandenberghe,0.4,Gent
Louis Fortin,0.15,Gent
Célestin De Schrevel,0.1,Gent
René Vanden Borre,0.0,Gent
Bas Evers,0.0,Gent
Tsuyoshi Watanabe,9.0,Gent
Jordan Torunarigha,4.0,Gent
Ismaël Kandouss,2.0,Gent
Samuel Kotto,1.2,Gent
Hugo Gambor,1.0,Gent
Stefan Mitrovic,0.65,Gent
Mohamed Soumah,0.3,Gent
Archie Brown,7.0,Gent
Tiago Araújo,1.3,Gent
Núrio Fortuna,0.6,Gent
Noah Fadiga,3.0,Gent
Gilles De Meyer,0.7,Gent
Julien De Sart,6.0,Gent
Mohammed El Âdfaoui,0.0,Gent
Mathias Delorge,9.0,Gent
Leonardo Lopes,3.5,Gent
Atsuki Ito,3.0,Gent
Andrew Hjulsager,0.6,Gent
Sven Kums,0.3,Gent
Matisse Samoise,2.5,Gent
Omri Gandelman,4.0,Gent
Hyun-seok Hong,3.5,Gent
Aimé Omgba,2.0,Gent
Pieter Gerkens,0.7,Gent
Tibe De Vlieger,0.4,Gent
Matías Fernández-Pardo,15.0,Gent
Momodou Lamin Sonko,3.0,Gent
Franck Surdez,2.0,Gent
Hélio Varela,1.2,Gent
Zalán Vancsa,0.8,Gent
Daisuke Yokota,2.5,Gent
Dante Vanzeir,5.0,Gent
Max Dean,3.5,Gent
Andri Gudjohnsen,2.0,Gent
Ahmed Abdullahi,1.0,Gent
Hyllarion Goore,0.6,Gent
Senne Lammens,9.0,Antwerp
Jean Butez,3.5,Antwerp
Yannick Thoelen,0.2,Antwerp
Niels Devalckeneer,0.1,Antwerp
Lowie Piselé,0.0,Antwerp
Zeno Van Den Bosch,10.0,Antwerp
Ayrton Costa,3.2,Antwerp
Toby Alderweireld,2.0,Antwerp
Rosen Bozhinov,0.4,Antwerp
Björn Engels,0.1,Antwerp
Olivier Deman,3.0,Antwerp
Laurit Krasniqi,0.3,Antwerp
Jelle Bataille,2.5,Antwerp
Kobe Corbanie,1.7,Antwerp
Semm Renders,1.5,Antwerp
Denis Odoi,0.25,Antwerp
Mandela Keita,12.0,Antwerp
Jaïro Riedewald,1.8,Antwerp
Mauricio Benítez,0.8,Antwerp
Mahamadou Doumbia,9.0,Antwerp
Jurgen Ekkelenkamp,7.0,Antwerp
Alhassan Yusuf,3.0,Antwerp
Dennis Praet,2.5,Antwerp
Andreas Verstraeten,0.8,Antwerp
Youssef Hamdaoui,0.25,Antwerp
Milan Smits,0.25,Antwerp
Tjaronn Chery,0.5,Antwerp
Christopher Scott,0.5,Antwerp
Farouck Adekami,0.2,Antwerp
Milo Horemans,0.0,Antwerp
Jacob Ondrejka,8.0,Antwerp
Michel-Ange Balikwisha,7.0,Antwerp
Victor Udoh,0.4,Antwerp
Kadan Young,0.3,Antwerp
Orseer Achihi,0.0,Antwerp
Gyrano Kerk,3.0,Antwerp
Anthony Valencia,1.2,Antwerp
Vincent Janssen,7.0,Antwerp
Mohamed Bayo,2.8,Antwerp
Gerard Vandeplas,0.4,Antwerp
Alexandre Stanic,0.2,Antwerp
Gabriel Jesus David,0.0,Antwerp
Andreas Jungdal,1.5,Westerlo
Nick Gillekens,0.25,Westerlo
Sinan Bolat,0.15,Westerlo
Koen Van Langendonck,0.15,Westerlo
Zenzo De Boeck,0.05,Westerlo
Luka Vuskovic,12.0,Westerlo
Emin Bayram,3.5,Westerlo
