Player,Value,Squad
Alexander Barboza,2.2,Botafogo (RJ)
Bastos,1.5,Botafogo (RJ)
Luis Segovia,1.5,Botafogo (RJ)
Kawan,0.1,Botafogo (RJ)
Jefferson,0.0,Botafogo (RJ)
Serafim,0.0,Botafogo (RJ)
Alex Telles,14.0,Botafogo (RJ)
Hugo,1.5,Botafogo (RJ)
Marçal,1.2,Botafogo (RJ)
Cuiabano,0.0,Botafogo (RJ)
Devid,0.0,Botafogo (RJ)
Vitinho,2.0,Botafogo (RJ)
Damián Suárez,1.5,Botafogo (RJ)
Rafael,1.0,Botafogo (RJ)
Mateo Ponte,0.15,Botafogo (RJ)
Vitor Marinho,0.0,Botafogo (RJ)
Luis Octávio,0.0,Botafogo (RJ)
Allan,8.0,Botafogo (RJ)
Patrick de Paula,7.0,Botafogo (RJ)
Danilo Barbosa,2.5,Botafogo (RJ)
Marlon Freitas,2.5,Botafogo (RJ)
Gregore,2.5,Botafogo (RJ)
Kayque,1.5,Botafogo (RJ)
Breno,1.0,Botafogo (RJ)
Newton,0.0,Botafogo (RJ)
Rhuan Lucas,0.0,Botafogo (RJ)
Tchê Tchê,1.8,Botafogo (RJ)
Kauê,0.0,Botafogo (RJ)
Jefferson Savarino,5.0,Botafogo (RJ)
Óscar Romero,3.5,Botafogo (RJ)
Eduardo,1.5,Botafogo (RJ)
Jacob Montes,0.15,Botafogo (RJ)
Raí,0.0,Botafogo (RJ)
Thiago Almada,15.0,Botafogo (RJ)
Matheus Martins,7.0,Botafogo (RJ)
Victor Sá,2.5,Botafogo (RJ)
Jeffinho,1.5,Botafogo (RJ)
Diego Hernández,0.575,Botafogo (RJ)
Emerson Urso,0.0,Botafogo (RJ)
Fabiano,0.0,Botafogo (RJ)
Luiz Henrique,15.0,Botafogo (RJ)
Matías Segovia,1.0,Botafogo (RJ)
Júnior Santos,0.6,Botafogo (RJ)
Carlos Alberto,0.25,Botafogo (RJ)
Sapata,0.0,Botafogo (RJ)
Yarlen,0.0,Botafogo (RJ)
Matheus Nascimento,7.0,Botafogo (RJ)
Tiquinho Soares,4.0,Botafogo (RJ)
Igor Jesus,2.0,Botafogo (RJ)
Janderson,0.0,Botafogo (RJ)
Everson,2.5,Atlético Mineiro
Matheus Mendes,0.25,Atlético Mineiro
Gabriel Delfim,0.1,Atlético Mineiro
Gabriel Átila,0.0,Atlético Mineiro
Júnior Alonso,7.0,Atlético Mineiro
Lyanco,4.0,Atlético Mineiro
Igor Rabello,3.0,Atlético Mineiro
Jemerson,2.0,Atlético Mineiro
Bruno Fuchs,1.8,Atlético Mineiro
Mauricio Lemos,0.3,Atlético Mineiro
Rômulo,0.0,Atlético Mineiro
Guilherme Arana,14.0,Atlético Mineiro
Rubens,4.0,Atlético Mineiro
Julio César,0.0,Atlético Mineiro
Renzo Saravia,2.5,Atlético Mineiro
Mariano,0.3,Atlético Mineiro
Vitor Gabriel,0.0,Atlético Mineiro
Fausto Vera,7.0,Atlético Mineiro
Otávio,6.0,Atlético Mineiro
Rodrigo Battaglia,1.5,Atlético Mineiro
Paulo Vitor,0.0,Atlético Mineiro
Vitinho,0.0,Atlético Mineiro
Caio Ribas,0.0,Atlético Mineiro
Patrick,3.0,Atlético Mineiro
