Player,Value,Squad
Elijah Dijkstra,0.7,AZ Alkmaar
Peer Koopmeiners,10.0,AZ Alkmaar
Kristijan Belic,3.5,AZ Alkmaar
Jordy Clasie,1.5,AZ Alkmaar
Enoch Mastoras,0.5,AZ Alkmaar
Kasper Boogaard,0.2,AZ Alkmaar
Kees Smit,5.0,AZ Alkmaar
Zico Buurmeester,3.5,AZ Alkmaar
Dave Kwakman,2.0,AZ Alkmaar
Sven Mijnans,9.0,AZ Alkmaar
Julian Oerip,0.25,AZ Alkmaar
Ruben van Bommel,8.0,AZ Alkmaar
Myron van Brederode,3.0,AZ Alkmaar
Ro-Zangelo Daal,0.75,AZ Alkmaar
Sem van Duijn,0.325,AZ Alkmaar
Wassim Bouziane,0.15,AZ Alkmaar
Ernest Poku,4.0,AZ Alkmaar
Ibrahim Sadiq,3.5,AZ Alkmaar
Mayckel Lahdo,3.0,AZ Alkmaar
Jayden Addai,1.5,AZ Alkmaar
Troy Parrott,14.0,AZ Alkmaar
Mexx Meerdink,8.0,AZ Alkmaar
Lequincio Zeefuik,0.85,AZ Alkmaar
Lars Unnerstall,2.0,Twente
Issam El Maach,0.2,Twente
Sam Karssies,0.075,Twente
Przemyslaw Tyton,0.075,Twente
Yannick Gerritsen,0.0,Twente
Mees Hilgers,6.5,Twente
Gustaf Lagerbielke,3.0,Twente
Max Bruns,2.5,Twente
Alec Van Hoorenbeeck,0.8,Twente
Juliën Mesbahi,0.15,Twente
Ruud Nijstad,0.0,Twente
Anass Salah-Eddine,8.0,Twente
Bas Kuipers,1.2,Twente
Mats Rots,1.0,Twente
Bart van Rooij,6.0,Twente
Alfons Sampsted,2.0,Twente
Gerald Alders,0.275,Twente
Mathias Kjølø,1.5,Twente
Michal Sadílek,8.0,Twente
Youri Regeer,6.0,Twente
Carel Eiting,1.6,Twente
Gijs Besselink,0.6,Twente
Harrie Kuster,0.125,Twente
Sem Steijn,16.0,Twente
Michel Vlap,5.0,Twente
Arno Verschueren,1.5,Twente
Naci Ünüvar,2.0,Twente
Sayfallah Ltaief,1.8,Twente
Daan Rots,4.0,Twente
Taylor Booth,2.0,Twente
Mitchell van Bergen,1.5,Twente
Younes Taha,1.0,Twente
Owen Panneflek,0.0,Twente
Sam Lammers,4.0,Twente
Ricky van Wolfswinkel,0.4,Twente
Lucas Vennegoor of Hesselink,0.3,Twente
Vasilios Barkas,3.5,Utrecht
Michael Brouwer,0.4,Utrecht
Tom de Graaff,0.3,Utrecht
Andreas Dithmer,0.2,Utrecht
Kevin Gadellaa,0.15,Utrecht
Mike van der Hoorn,1.0,Utrecht
Matisse Didden,1.0,Utrecht
Nick Viergever,0.4,Utrecht
Joshua Mukeh,0.25,Utrecht
Souffian El Karouani,9.0,Utrecht
Kolbeinn Finnsson,0.65,Utrecht
Siebe Horemans,3.5,Utrecht
Niklas Vesterlund,1.0,Utrecht
Rickson van Hees,0.3,Utrecht
Massien Ghaddari,0.275,Utrecht
Alonzo Engwanda,2.5,Utrecht
Silas Andersen,0.7,Utrecht
Zidane Iqbal,4.0,Utrecht
Oscar Fraulo,3.5,Utrecht
Can Bozdogan,3.5,Utrecht
Paxten Aaronson,8.0,Utrecht
Victor Jensen,2.0,Utrecht
Rafik El Arguioui,0.35,Utrecht
Jens Toornstra,0.35,Utrecht
Yoann Cathline,8.0,Utrecht
Adrian Blake,0.75,Utrecht
Miguel Rodríguez,4.5,Utrecht
Taylor Booth,2.0,Utrecht
Miliano Jonathans,0.9,Utrecht
Sébastien Haller,3.0,Utrecht
Noah Ohio,2.0,Utrecht
Ole Romeny,1.2,Utrecht
David Min,0.8,Utrecht
Anthony Descotte,0.65,Utrecht
Andries Noppert,1.0,Heerenveen
Mickey van der Hart,0.5,Heerenveen
Bernt Klaverboer,0.075,Heerenveen
Jan Bekkema,0.05,Heerenveen
Tjalling van Keimpema,0.0,Heerenveen
Nikolai Hopland,3.0,Heerenveen
Pawel Bochniewicz,2.5,Heerenveen
Sam Kersten,1.0,Heerenveen
Hristiyan Petrov,0.6,Heerenveen
Jordy de Wijs,0.6,Heerenveen
Mateja Milovanovic,0.2,Heerenveen
Mats Köhlert,3.5,Heerenveen
Robin Bouw,0.0,Heerenveen
Oliver Braude,4.0,Heerenveen
Denzel Hall,0.45,Heerenveen
Hussein Ali,0.3,Heerenveen
Amara Condé,0.6,Heerenveen
Marcus Linday,4.0,Heerenveen
Simon Olsson,2.0,Heerenveen
Espen van Ee,1.3,Heerenveen
Isaiah Ahmed,0.125,Heerenveen
Ties Oostra,0.05,Heerenveen
Xavi Woudstra,0.0,Heerenveen
Kai Jansen,0.0,Heerenveen
Luuk Brouwers,2.5,Heerenveen
Levi Smans,2.0,Heerenveen
Melle Witteveen,0.05,Heerenveen
Ilias Sebaoui,1.5,Heerenveen
Danilo Al-Saed,0.8,Heerenveen
Jacob Trenskow,4.0,Heerenveen
Alireza Jahanbakhsh,1.5,Heerenveen
Eser Gürbüz,0.6,Heerenveen
Ché Nunnely,0.5,Heerenveen
Milos Lukovic,5.0,Heerenveen
Daniel Karlsbakk,2.5,Heerenveen
Ion Nicolaescu,1.5,Heerenveen
Dimitris Rallis,0.65,Heerenveen
Nick Olij,3.5,Sparta R'dam
Youri Schoonderwaldt,0.1,Sparta R'dam
Kaylen Reitmaier,0.075,Sparta R'dam
Dylan Tevreden,0.0,Sparta R'dam
Marvin Young,2.5,Sparta R'dam
Mike Eerdhuijzen,2.3,Sparta R'dam
Teo Quintero,0.6,Sparta R'dam
Rick Meissen,0.5,Sparta R'dam
Max de Ligt,0.0,Sparta R'dam
Djevencio van der Kust,0.6,Sparta R'dam
Patrick van Aanholt,0.5,Sparta R'dam
Mike Kleijn,0.25,Sparta R'dam
Saïd Bakari,0.65,Sparta R'dam
Boyd Reith,0.4,Sparta R'dam
Gjivai Zechiël,4.0,Sparta R'dam
Metinho,3.0,Sparta R'dam
Joshua Kitolano,2.5,Sparta R'dam
Carel Eiting,1.6,Sparta R'dam
Julian Baas,0.8,Sparta R'dam
Pelle Clement,0.65,Sparta R'dam
Hamza el Dahri,0.1,Sparta R'dam
Jonathan de Guzmán,0.05,Sparta R'dam
Kristian Hlynsson,4.0,Sparta R'dam
Arno Verschueren,1.5,Sparta R'dam
Mohamed Nassoh,0.7,Sparta R'dam
Joel Ideho,0.5,Sparta R'dam
Layee Kromah,0.2,Sparta R'dam
Rayvien Rosario,0.1,Sparta R'dam
Kayky,6.0,Sparta R'dam
Camiel Neghli,2.0,Sparta R'dam
Mitchell van Bergen,1.5,Sparta R'dam
Shunsuke Mito,0.85,Sparta R'dam
Ayoub Oufkir,0.25,Sparta R'dam
Aymane Bais,0.0,Sparta R'dam
Tobias Lauritsen,3.5,Sparta R'dam
Nökkvi Thórisson,0.6,Sparta R'dam
Charles-Andreas Brym,0.45,Sparta R'dam
Quincy Hoeve,0.1,Sparta R'dam
Jeffrey de Lange,2.0,Go Ahead Eag
Jari De Busser,2.0,Go Ahead Eag
Luca Plogmann,0.5,Go Ahead Eag
Sven Jansen,0.05,Go Ahead Eag
Nando Verdoni,0.025,Go Ahead Eag
Joris Kramer,2.0,Go Ahead Eag
Jamal Amofa,0.5,Go Ahead Eag
Gerrit Nauber,0.4,Go Ahead Eag
Julius Dirksen,0.4,Go Ahead Eag
Pim Saathof,0.075,Go Ahead Eag
Dean James,1.8,Go Ahead Eag
Aske Adelgaard,0.85,Go Ahead Eag
Mats Deijl,2.0,Go Ahead Eag
Luca Everink,0.2,Go Ahead Eag
Maurilio de Lannoy,0.0,Go Ahead Eag
Donte Apinsa,0.0,Go Ahead Eag
Enric Llansana,4.0,Go Ahead Eag
Calvin Twigt,0.6,Go Ahead Eag
Xander Blomme,0.45,Go Ahead Eag
Dielan Ghafour,0.0,Go Ahead Eag
