Player
Ilya Vakhaniya
Rodrigo Pinheiro
Zaid Romero
William Saliba
Nico Schlotterbeck
Aritz Elustondo
Sergei Petrov
Haruya Fujii
Eder Militao
Bas Kuipers
Andrei Ratiu
Milos Veljkovic
Cameron Burgess
Adam Smith
Marco Friedl
Conor Bradley
Aleksandar Sedlar
Maxim Leitsch
Nathan Ngoy
Edgardo Farina
Diogo Dalot
Jorne Spileers
Mats Hummels
Zakaria El Ouahdi
Federico Barba
Ewoud Pletinckx
Leif Davis
Leftheris Lyratzis
Giorgio Altare
Jan Bednarek
Oumar Sako
Pascal Stenzel
Abel Bretones
Raul Albiol
Almugera Kabar
Hugo Gambor
Alessandro Circati
Thijmen Blokzijl
Mujaid Sadick
Vyacheslav Karavayev
Rafik Belghali
Stefano Sabelli
Nikola Milenkovic
Ricardo Pereira
Tim Siersleben
Nicolas Otamendi
Kristoffer Ajer
Saidou Sow
Georgi Dzhikiya
Sidoine Fogning
Ameen Al-Dakhil
Weverson
Lasse Rosenboom
Leonardo Balerdi
Pavel Kaderabek
Dies Janse
Kevin Danso
Yoann Salmier
Henrique
Tiago Gabriel
Tomas Araujo
Willian Pacho
Achraf Hakimi
Toon Raemaekers
Eli Dasa
David Moller Wolfe
Lucas Martinez Quarta
Luke Shaw
Gerzino Nyamsi
Abdulai Juma Bah
Bruno Gaspar
Toni Lato
Devyne Rensch
Dylan Batubinsika
Kevin Akpoguma
Juan Miranda
Pedro Bondo
Michael Kayode
Sebastian Walukiewicz
Julian Chabot
Tiago Santos
Gabriel Gudmundsson
Eric Dier
Tomas Tavares
Duje Caleta-Car
Pol Lirola
Douglas Santos
Jose Fontan
Dan Burn
Stefan Lekovic
Kyle Walker-Peters
Kobe Cools
Aissa Mandi
Kenny Tete
Jean-Clair Todibo
Vi­tor Tormena
Ze Vitor
Santiago Bueno
Mattia Viti
Gabriele Zappa
Mateusz Wieteska
Marat Bokoev
Florent Hanin
Emerson
Marco Rente
Artem Kasimov
Joel Ordonez
Nikola Maksimovic
Kosta Nedeljkovic
Dean James
Gianluca Mancini
Quentin Merlin
Dean Huijsen
Jose Fonte
Matias Rocha
Luca Netz
Davide Zappacosta
Alejandro Frances
Kike Salas
Roberto Carlos Fernandez
Anrie Chase
Pica
Mats Kohlert
Ahmetcan Kaplan
Adam Aznou
Bryan Reynolds
Takahiro Akimoto
Ruben Dias
Igor Diveev
Abner
Konrad Laimer
Ricardo Esgaio
Virgil van Dijk
Niklas Sule
Carl Starfelt
Mickael Nade
Stefan de Vrij
Yeray Alvarez
Zeno Van den Bosch
Antonio Silva
Aleksandr Vyacheslavovich Zhirov
Giorgos Kyriakopoulos
Mati­as Perez
Ramy Bensebaini
David Lopez
Cherrion Valerius
Wilfried Ndollo
Thomas Kristensen
Jose Marsà
Milos Satara
Damian van der Haar
Nico O’Reilly
Timothee Pembele
Joaquin Seys
Juanpe
Antonio Candela
Harry Amass
Joao Pedro
Victor Lindelof
Maxim De Cuyper
Kolbeinn Finnsson
Luuk Wouters
Woyo Coulibaly
Paulo Azzi
Fellipe Jack
Nelson Abbey
Nicolo Savona
Vetle Dragsnes
Carlos Cuesta
Enzo Tchato
David Raum
Ionut Nedelcearu
Jurrien Timber
Erhan Masovic
Pietro Comuzzo
Leonardo Buta
Lutsharel Geertruida
David Bates
Mattia Bani
Lucas Beraldo
Juan Herzog
Saul Coco
Lucas Lovat
Nacho Vidal
Ross Sykes
Stelios Andreou
Nuraly Alip
Bart van Rooij
Tymoteusz Puchacz
Roshon van Eijma
Andoni Gorosabel
Sikou Niakate
Gabriel Osho
Chrislain Matsima
Amir Rrahmani
Boy Kemper
Cristhian Mosquera
Alex Suarez
Rafa Soares
Unai Nunez
Fedde Leysen
Daan Dierckx
Marvin Peersman
Murillo
Elseid Hysaj
Mattia De Sciglio
Andrei Malykh
Aaron Martin
Igor Zubeldia
Andreas Ntoi
Joris Kayembe
Abakar Sylla
Zeki Celik
Ki-Jana Hoever
Sebastiaan Bornauw
Adrià Pedrosa
Daniil Denisov
Lautaro Gianetti
Giovanni Gonzalez
Ivo Pinto
Niklas Vesterlund
Boubakar Kouyate
Malo Gusto
Osman Kakay
Artur Jorge Marques Amorim
Turpal Ibishev
Joedrick Pupe
Juan Cruz Armada
Pedro Alvaro
Liam van Gelderen
Nikolai Hopland
Benoît Badiashile
Herve Matthys
Alessandro Bastoni
Matteo Darmian
Pablo Maffeo
Ashley Young
Samuel Gigot
Ignace Van Der Brempt
Tyrone Mings
Wouter Goes
Obite N'Dicka
Yevgeni Chernov
Omar Fayed
Luis Perez
Dimitri Foulquier
Carl Johansson
Baptiste Roux
Jan-Carlo Simic
Ayrton Costa
Riccieli
Waldemar Anton
Conor Townsend
Federico Ricca
Johan Mojica
Souffian El Karouani
David Zec
Pawel Bochniewicz
Tim Oermann
Ivan Mesik
Henri Koudossou
Ben Davies
Moise Bombito
Ruslan Litvinov
Christopher Wooh
Bjorn Meijer
Facundo Gonzalez
Lucas Perrin
Nikita Chernov
Vladimir Coufal
Stanislav Magkeev
Hugo Siquet
James Justin
Jorge Cuenca
Phillipp Mwene
Willi Orban
Tosin Adarabioyo
Diego Llorente
Hamdi Akujobi
Eliano Reijnders
Maxim Dekker
Eric Bailly
Strahinja Erakovic
Gerrit Nauber
Marco Moreno
Abdoulaye Niakhate Ndiaye
Guilherme Ramos
Dennis Appiah
Hector Bellerin
Aleksei Gritsayenko
Giovanni Di Lorenzo
Luca Ranieri
Nermin Zolotic
Aurelio Buta
Gabriel Suazo
Aderlan Santos
Saba Goglichidze
Thomas Galdames
Jonathan Tah
Max Bruns
Bosko Sutalo
Sandro Cruz
Jorge Filipe Oliveira Fernandes
Matty Cash
Nordi Mukiele
Hevertton Santos
Bright Arrey-Mbi
Anthony Caci
Caleb Okoli
Stefan Mitrovic
Antonino Gallo
Justin de Haas
Flavio Nazinho
Max Geschwill
Pierre Kalulu
Leonidas Stergiou
Mark Mampasi
Joakim Maehle
Kiliann Sildillia
Kevin Boma
Archie Brown
Alejandro Balde
Mads Pedersen
Lukas Kubler
Ludwig Augustinsson
Facundo Medina
Clinton Mata
Quilindschy Hartman
Chris Richards
Damon Mirani
Alberto Dossena
Olivier Deman
Viktor Melekhin
Koki Machida
Jubal
Fabiano Souza
Sandy Walsh
Ruben Kluivert
Alberto costa
Jonathan Buatu Mananga
Sam Kersten
Fabian Balbuena
Calvin Verdonk
Kirill Gotsuk
Theo Sainte-Luce
Franco Carboni
Kiko Femenia
Mateu Morey
Simon Graves Jensen
Morato
Luke Woolfenden
Kevin Vogt
Hussein Ali
Silvan Widmer
Sergi Gomez
Destiny Udogie
Ramon Martinez
Yvann Macon
Kevin Mac Allister
