Player
Exequiel Palacios
Aziz Ouattara
Joel Fujita
Harry Winks
Paul Nebel
Bilal Nadir
Amadou Onana
Haris Belkebla
Mauricio Benitez
Jacopo Fazzini
Yassine Titraoui
Adrien Thomasson
Lassana Coulibaly
Konstantin Kuchayev
Dennis Kaygin
Yangel Herrera
Martin Zubimendi
Camilo
Wouter George
Daler Kuzyaev
Pedri
Balthazar Pierret
Hakan Calhanoglu
Simon Olsson
Marco Brescianini
Martim Neto
Rafael Bauza
Massimo Bruno
Manuel Manu
Sven Mijnans
Artyom Timofeyev
Rihito Yamamoto
Francis Coquelin
Nicolas Hofler
Yannik Keitel
Julian Baas
Samuele Vignato
Quinten Timber
Hamza Rafia
Marat Apshatsev
Tiago Silva
Andrei Ivlev
Daniel Braganca
Isaac Price
Florian Neuhaus
Tomoki Takamine
Bitelo
Nikolay Kalinsky
Sebastian Perez Cardona
Mathias De Amorim
Boni Amian
Maximilian Eggestein
Skelly Alvero
Pierre Hojbjerg
Kristijan Belic
Alfred Duncan
Manuel Ugarte Ribeiro
Pedro Ferreira
Benjamin Andre
Nail Umyarov
Neil El Aynaoui
Maximo Perrone
Ivan Jaime Pajuelo
Abdulpasha Dzhabrailov
Jens Stage
Ibrahim Sangare
Miha Zajc
Stanko Juric
Maksim Glushenkov
Joao Novais
Sander Berge
Gianluca Busio
Jandro Orellana
Clint Leemans
Rani Khedira
Carlos Benavidez
Chris Nadje
Fredrik Oldrup Jensen
Magnus Kofod Andersen
Daniel Penha
Johan Hove
Amine Oudrhiri
Hakim Sahabo
Carney Chukwuemeka
Raphael Onyedika
Matias Vecino
Andrian Kraev
Joao Palhinha
Majeed Ashimeru
Mikel Jauregizar
Szymon Zurkowski
Sasa Zdjelar
Pape Matar Sarr
James Maddison
Nils De Wilde
Matvei Kisliak
Aiden O'Neill
Tim Iroegbunam
Samuel Justo
Pedro Diaz
Joshua Kitolano
Daniel van Kaam
Sergey Babkin
Serginho
Danil Glebov
Martin Ødegaard
Aimar Oroz
Mahamadou Diawara
Jaume Grau
Alex Balboa
Fredrik Jensen
Albert Sambi Lokonga
Cristian Casseres Jr.
Romeo Lavia
Casper Nielsen
Gabriel Vidovic
Beni
Mattia Valoti
Davide Frattesi
Sven Kums
Leandre Kuavita
Kevin Kampl
Geovanny
Lovro Majer
Fabian Ruiz Pena
Adrian Bernabe
Soungoutou Magassa
Selim Amallah
Jurgen Ekkelenkamp
Marcus Linday
Ibrahim Karamoko
Iyad Mohamed
Tajon Buchanan
Mikel Vesga
Hicham Boudaoui
Bruno Guimaraes
Mahamadou Doumbia
Lucien Agoume
Dani Ceballos
Alex Scott
Jon Moncayola
