Player
Amin Sarr
Gustavo da Silva
Robert Lewandowski
Nikola Krstovic
Pablo
Mateo Pellegrino
Daniel Jebbison
Karol Czubak
Mikkel Kaufmann
Youssouph Badji
Mario Gonzalez
Bradley Barcola
Cassiano
Koka
Tomane
Hafiz Ibrahim
Jim Allevinah
Kevin Denkey
Tolu Arokodare
Victor Boniface
Tyrique George
Bryan Mbeumo
Yevgeni Markov
Daniel Mosquera
Andre Lacximicant
Pau Victor
Jamie Vardy
Adrian Butzke
Goduine Koyalipou
Julian Carranza
Patrick Cutrone
Koki Ogawa
Myron Boadu
Reiss Nelson
Lorenzo Lucca
Jesus Rodriguez
Vinicius Junior
Vitor Roque
Philipp Hofmann
Griffin Yow
Haris Tabakovic
Kevin Rodriguez
Kikas
Mehdi Taremi
Elye Wahi
Dieu-Merci Michel
Endrick
Guven Yalcin
Nikolay Komlichenko
George Ilenikhena
Chukwubuikem Ikwuemesi
Antony
Kevin Schade
Kingsley Coman
Oskar Zawada
Andi Zeqiri
