Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,league_ES1,league_FR1,league_GB1,league_IT1,league_L1,league_NL1,league_PO1,league_RU1
0.9068376258604026,0.7976962894740223,-1.2923802932027693,-1.0356226846964376,-1.0301799519477624,-0.7625723986795159,-0.3867870191303592,-0.727705544344306,-0.7666836224884093,-0.4354395634097856,-0.48194649024975905,-0.5820467160972687,-0.3103106989758694,-0.4869483782119772,0.6504826547537546,-0.04628377104780058,-0.3410801535246677,0.050110318504440365,-0.18595200082640045,-0.858324060664005,-0.28556019521425524,-0.7847262552550912,-0.48048314246954454,-0.703035149049197,-1.053865166020984,-0.12403473458920847,-0.825549737264538,-0.9161740993929796,-1.0737727373444996,0.22089367942430999,-0.6379851245582683,-0.4806014878985843,0.11730604355513947,0,0,0,1,0,0,0,0
-0.4752317769903451,0.1463813809550267,0.1859056574277814,0.13295980286444253,0.13301225977375913,0.9739351911829816,0.9336238392801772,1.067324710703364,0.447743235533231,2.450486245967204,2.114663171504045,1.6688370688101375,-0.3103106989758694,1.3597673967188195,1.0063639463114447,1.6630807479002083,0.6060305242475038,0.9983834273958847,-0.18595200082640045,1.814786807030065,-0.16658929852320312,2.260559953889933,0.1059167219166442,0.6406034562764883,0.24308768332251976,-0.12403473458920847,0.7791637572490476,1.6134187869090395,1.5192078233820316,0.21100344976470264,1.1787634832732121,1.2999213294507792,0.41231260357670924,0,0,0,0,0,0,0,0
0.21580292443502877,0.4720388352145245,0.7772200376800016,0.7135916025293475,0.7146083656345198,-0.41527088070701634,0.9336238392801772,-0.03730929240289442,-0.5642791461514692,0.28604188893446175,0.8163583406271429,0.3183067978656939,-0.3103106989758694,-0.7042090576156004,0.5081301381306788,-0.3259979650574747,-0.757808851744423,-0.40767669958108455,-0.18595200082640045,-0.5156175391647653,-0.5235019885963594,0.8041187234292692,0.507137681759826,-0.971762870114334,-0.47744167742387117,-0.12403473458920847,-0.04026441016214502,-0.14963080051357983,-0.16025655063867564,-0.8076902051748316,-0.6556234605566322,-0.7180045302118329,-0.7677136365095699,0,0,0,0,1,0,0,0
-0.7055766774654697,-1.3733534055892964,-0.996723103076659,-1.1393069346365992,-1.1399150662611133,-0.9362231576657656,-0.8269239719338713,-1.0038640451208707,-0.9690880988253493,-0.4354395634097856,-0.48194649024975905,-0.5820467160972687,-0.3103106989758694,-1.2473607561246582,-0.8442187697885425,-1.382696031316244,-1.1366531228532917,-1.3559498084725288,-0.18595200082640045,-0.926865364963853,-0.9993855753605679,-0.6523225070313946,-0.5422094439838803,-0.703035149049197,-0.9097592938717057,-0.12403473458920847,-1.1328353000437352,-1.1461370890567995,-2.697020730644849,-1.4703355923685093,-1.766838628453557,-1.4302136571515782,-1.5052300365634943,0,0,1,0,0,0,0,0
-0.4752317769903451,0.5805913199676904,0.2844580541364848,0.06343036466927533,0.06717119118574834,-0.06796936273451687,0.05334993367315294,-0.03730929240289442,0.04293428285935088,-0.4354395634097856,-0.48194649024975905,1.6688370688101375,-0.3103106989758694,-0.01621690617079355,0.152248846572989,0.1091130034020184,0.15141739891686154,0.2136056821064135,-0.18595200082640045,0.1697955038337142,0.4877506332775835,-1.0495337517024848,1.9268426165895463,1.4467866194718995,0.8195111719196325,-0.12403473458920847,-0.24512145201494318,-0.3029394602894598,-0.11809426509840672,-0.5109833153866179,-0.44396342857626553,0.5877122025110338,0.707319163598279,0,0,0,0,0,0,1,0
-0.24488687651522045,-0.39638104281080294,0.1859056574277814,-0.11588239699194532,-0.11937850314694838,-0.5889216396932662,-0.3867870191303592,-0.5896262939560237,-0.5642791461514692,-0.4354395634097856,-0.48194649024975905,-0.5820467160972687,-0.3103106989758694,-0.7042090576156004,-0.2748087032962388,-0.6678708688470766,-0.5683867161899888,-0.6038711359034522,-0.18595200082640045,-0.4470762348649173,1.3205469101149483,0.00969623408708894,0.8157691893315042,1.7155143405370366,0.8195111719196325,-0.12403473458920847,-0.2792642923237429,-0.07297647062563985,0.6970432553467898,-0.33295918151368936,0.12046332337137901,-0.5993030090552085,-0.8168813965131647,0,0,0,0,0,0,1,0
0.44614782491015337,0.7976962894740223,0.875772434388705,0.7440869701588068,0.7475288999285249,1.6685382271279805,0.9336238392801772,1.6196417122564932,1.4597656172179312,1.7290047936229567,1.465510756065594,-0.1318699591157874,-0.3103106989758694,1.3597673967188195,0.5081301381306788,1.445525263670462,1.060643649578146,1.161878790997858,-0.18595200082640045,0.512502025332954,1.4990032551515264,0.5393112269818757,1.5873479582607002,1.4467866194718995,0.9636170440689107,-0.12403473458920847,1.291306361881043,1.0001841478055198,-0.07593197955813831,1.0121120521928801,0.596698395327204,0.4690106813544095,0.6089836435910889,0,0,0,1,0,0,0,0
-1.3966113788908434,0.03782889620186077,-0.2083039294070321,-0.4842664379558136,-0.48150438038100696,-0.5889216396932662,-0.3867870191303592,-0.5896262939560237,-0.5642791461514692,-0.4354395634097856,-0.48194649024975905,-0.5820467160972687,-0.3103106989758694,-0.4869483782119772,-0.13245618667316286,-0.4192360297273662,-0.3410801535246677,-0.34227855414029523,-0.18595200082640045,-0.2414523219653735,-0.6424728852874115,0.00969623408708894,-0.4496199917123767,-0.703035149049197,-0.6215475495731494,-0.12403473458920847,-0.5865498551029401,-0.8395197695050396,-1.2916112126358887,-0.4912028560674036,-1.0436668525206378,-0.24319844558533582,0.9531579636162537,0,0,0,0,0,1,0,0
0.44614782491015337,1.231906228486686,0.4815628475538915,0.5098825467645594,0.5061116484391526,0.2793321552379826,0.05334993367315294,0.2388492083736702,0.24533875919629092,0.28604188893446175,0.1672059251886919,0.7684835548471751,-0.3103106989758694,0.09241343353101793,-0.06127992836162494,0.1091130034020184,0.07564854469508776,0.050110318504440365,-0.18595200082640045,1.1293737640315855,-0.5235019885963594,0.9365224716529659,-0.5113462932267124,0.3718757352113512,-0.1892299331253148,-0.12403473458920847,0.47187819446985035,0.38694950870199996,0.0575819246527133,0.15166207180706023,0.12046332337137901,-0.005795403272087505,-0.030197236455645524,0,0,0,0,1,0,0,0
-0.4752317769903451,0.7976962894740223,0.7772200376800016,0.8880251053698547,0.8901845485358814,0.2793321552379826,-0.3867870191303592,0.1007699579853879,0.447743235533231,-0.4354395634097856,-0.48194649024975905,-0.1318699591157874,-0.3103106989758694,-0.088637132638668,-0.48833747823085266,-0.2638392552775472,0.07564854469508776,-0.1787831905383221,-0.18595200082640045,0.8552085468321936,0.011867046513375062,0.14209998231078563,-0.2953042379265376,0.9093311773416253,1.3959346605167453,-0.12403473458920847,0.7450209169402479,1.1534928075813997,0.8727194450979098,0.0923206938494174,0.614336731325568,-0.005795403272087505,-0.3743715564808101,0,0,0,0,0,0,0,1
