Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Marcelo,BRA,DF,Fluminense,35,11.6,1,20,4,20.0,1.72,0.34,0.00,0.00,1,1
JoГЈo Marcelo,BRA,DF,Cruzeiro,23,29.9,0,16,3,18.8,0.53,0.10,0.00,0.00,0,0
AgustГ­n MarchesГ­n,ARG,GK,GrГЄmio,35,27.5,0,0,0,,0.00,0.00,,,0,0
ZГ© Marcos,BRA,DF,Juventude,25,21.7,0,13,1,7.7,0.60,0.05,0.00,0.00,0,0
Erick Marcus,BRA,FW,Vasco da Gama,19,1.9,0,3,1,33.3,1.55,0.52,0.00,0.00,0,0
Mariano,BRA,DF,AtlГ©tico Mineiro,37,7.1,0,0,0,,0.00,0.00,,,0,0
Marinho,BRA,MF,Fortaleza,33,15.0,4,44,15,34.1,2.94,1.00,0.09,0.27,0,0
Marlon,BRA,DF,Cruzeiro,26,24.2,0,15,2,13.3,0.62,0.08,0.00,0.00,0,0
Marlon,BRA,DF,Fluminense,28,3.9,0,1,0,0.0,0.26,0.00,0.00,,0,0
Marquinhos,BRA,"MF,DF",Fluminense,20,14.1,0,27,9,33.3,1.91,0.64,0.00,0.00,0,0
Juan MartГ­n Lucero,ARG,FW,Fortaleza,32,25.0,8,48,21,43.8,1.92,0.84,0.13,0.29,2,3
Martinelli,BRA,MF,Fluminense,22,29.4,1,11,3,27.3,0.37,0.10,0.09,0.33,0,0
Adriano Martins,BRA,DF,AtlГ©tico Goianiense,26,33.2,0,19,7,36.8,0.57,0.21,0.00,0.00,0,0
Matheus Martins,BRA,MF,Botafogo (RJ),20,5.1,2,15,10,66.7,2.96,1.97,0.13,0.20,0,0
Gustavo Martins Santos,BRA,DF,GrГЄmio,21,15.3,2,9,5,55.6,0.59,0.33,0.22,0.40,0,0
Gonzalo Mastriani,URU,"FW,MF",Athletico Paranaense,30,10.0,4,37,11,29.7,3.70,1.10,0.11,0.36,0,0
