Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Jonas Urbig,GER,GK,Bayern Munich,20,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Can Uzun,TUR,MF,Eintracht Frankfurt,18,7.5,4,27,11,40.7,3.6,1.47,0.15,0.36,0,0
Josha Vagnoman,GER,"DF,MF",Stuttgart,23,20.4,1,15,7,46.7,0.74,0.34,0.07,0.14,0,0
Siebe Van Der Heyden,BEL,"DF,MF",St Pauli,26,9.7,1,3,2,66.7,0.31,0.21,0.33,0.5,0,0
Maarten Vandevoordt,BEL,GK,RB Leipzig,22,4.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ruben Vargas,SUI,MF,Augsburg,25,3.4,0,9,1,11.1,2.66,0.3,0.0,0.0,0,0
Nikola Vasilj,BIH,GK,St Pauli,28,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Denis Vavro,SVK,DF,Wolfsburg,28,27.3,2,25,7,28.0,0.91,0.26,0.08,0.29,0,0
MiloЕЎ VeljkoviД‡,SRB,DF,Werder Bremen,28,11.4,0,2,1,50.0,0.17,0.09,0.0,0.0,0,0
Nikolas Veratschnig,AUT,MF,Mainz 05,21,4.0,0,7,1,14.3,1.73,0.25,0.0,0.0,0,0
Arthur Vermeeren,BEL,MF,RB Leipzig,19,17.5,0,4,1,25.0,0.23,0.06,0.0,0.0,0,0
Yorbe Vertessen,BEL,"MF,FW",Union Berlin,23,8.0,1,27,5,18.5,3.38,0.63,0.04,0.2,0,0
Gabriel Vidovic,CRO,MF,Mainz 05,20,0.3,0,2,0,0.0,6.67,0.0,0.0,0.0,0,0
Kevin Vogt,GER,DF,Union Berlin,32,15.2,1,1,1,100.0,0.07,0.07,0.0,0.0,1,1
Kevin Volland,GER,"FW,MF",Union Berlin,32,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Aster Vranckx,BEL,MF,Wolfsburg,21,6.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Robert Wagner,GER,MF,St Pauli,21,4.5,0,2,0,0.0,0.44,0.0,0.0,0.0,0,0
Elye Wahi,FRA,FW,Eintracht Frankfurt,21,2.2,0,9,2,22.2,4.13,0.92,0.0,0.0,0,0
Hauke Wahl,GER,DF,St Pauli,30,33.0,0,11,4,36.4,0.33,0.12,0.0,0.0,0,0
Paul Wanner,GER,"MF,FW",Heidenheim,18,19.7,3,25,6,24.0,1.27,0.3,0.08,0.33,1,1
Kjell-Arik WГ¤tjen,GER,MF,Dortmund,18,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Julian Weigl,GER,MF,Gladbach,28,32.0,0,19,6,31.6,0.59,0.19,0.0,0.0,0,0
Timon Weiner,GER,GK,Holstein Kiel,25,25.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Nelson Weiper,GER,FW,Mainz 05,19,7.8,3,23,13,56.5,2.94,1.66,0.13,0.23,0,0
Mitchell Weiser,GER,MF,Werder Bremen,30,31.9,5,43,15,34.9,1.35,0.47,0.12,0.33,0,0
Noah WeiГџhaupt,GER,"FW,MF",Freiburg,22,13.8,1,19,4,21.05,1.38,0.29,0.05,0.25,0,0
Silvan Widmer,SUI,MF,Mainz 05,31,5.6,0,3,1,33.3,0.54,0.18,0.0,0.0,0,0
Patrick Wimmer,AUT,"MF,FW",Wolfsburg,23,19.7,3,42,10,23.8,2.14,0.51,0.07,0.3,0,0
Jonas Wind,DEN,"FW,MF",Wolfsburg,25,21.8,9,40,13,32.5,1.83,0.6,0.2,0.62,1,2
Florian Wirtz,GER,MF,Leverkusen,21,26.1,10,78,39,50.0,2.99,1.49,0.1,0.21,2,4
