Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Kamal Sowah,GHA,"MF,FW",NAC Breda,24.0,9.5,0,14,1,7.1,1.47,0.1,0.0,0.0,0,0
Mark Spenkelink,NED,GK,RKC Waalwijk,27.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Tommy St. Jago,NED,DF,Willem II,24.0,32.5,0,11,3,27.3,0.34,0.09,0.0,0.0,0,0
Finn Stam,NED,DF,Groningen,21.0,9.2,0,3,0,0.0,0.32,0.0,0.0,0.0,0,0
Casper Staring,NED,MF,NAC Breda,23.0,7.0,0,1,0,0.0,0.14,0.0,0.0,0.0,0,0
Sem Steijn,NED,MF,Twente,22.0,30.7,24,93,43,46.2,3.03,1.4,0.19,0.42,6,6
Calvin Stengs,NED,"MF,FW",Feyenoord,25.0,7.0,1,13,5,38.5,1.86,0.71,0.08,0.2,0,0
Sean Steur,NED,MF,Ajax,16.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Finn Stokkers,NED,FW,Go Ahead Eagles,28.0,4.9,3,12,6,50.0,2.44,1.22,0.25,0.5,0,0
Mathis Suray,BEL,MF,Go Ahead Eagles,23.0,16.2,3,32,7,21.9,1.98,0.43,0.09,0.43,0,0
Josip Е utalo,CRO,DF,Ajax,24.0,27.2,2,7,2,28.6,0.26,0.07,0.29,1.0,0,0
Youssuf Sylla,BEL,FW,Willem II,21.0,2.0,0,3,0,0.0,1.51,0.0,0.0,0.0,0,0
Anas Tahiri,BEL,MF,Almere City,29.0,19.6,0,7,1,14.3,0.36,0.05,0.0,0.0,0,0
Benjamin Tahirovic,BIH,MF,Ajax,21.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Juho Talvitie,FIN,MF,Heracles Almelo,19.0,16.8,3,32,10,31.3,1.91,0.6,0.09,0.3,0,0
Oussama Targhalline,MAR,MF,Feyenoord,22.0,3.1,0,1,0,0.0,0.32,0.0,0.0,0.0,0,0
Kenneth Taylor,NED,"MF,FW",Ajax,22.0,27.2,9,48,21,43.8,1.77,0.77,0.13,0.29,3,3
