Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Willian,BRA,"MF,FW",Fulham,35.0,2.9,0,7,0,0.0,2.45,0.0,0.0,0.0,0,0
Joe Willock,ENG,MF,Newcastle United,24.0,12.1,0,18,3,16.7,1.49,0.25,0.0,0.0,0,0
Callum Wilson,ENG,FW,Newcastle United,32.0,4.1,0,6,1,16.7,1.46,0.24,0.0,0.0,0,0
Harry Wilson,WAL,"MF,FW",Fulham,27.0,12.9,6,43,17,39.5,3.33,1.32,0.14,0.35,0,0
Harry Winks,ENG,MF,Leicester City,28.0,17.1,0,10,4,40.0,0.59,0.23,0.0,0.0,0,0
Ben Winterburn,ENG,MF,Bournemouth,19.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Yoane Wissa,COD,FW,Brentford,27.0,32.4,19,90,43,47.8,2.77,1.33,0.21,0.44,0,0
Chris Wood,NZL,FW,Nottingham Forest,32.0,32.9,20,68,35,51.5,2.07,1.06,0.25,0.49,3,3
Nathan Wood-Gordon,ENG,DF,Southampton,22.0,8.6,0,2,0,0.0,0.23,0.0,0.0,0.0,0,0
Luke Woolfenden,ENG,DF,Ipswich Town,25.0,13.2,0,1,0,0.0,0.08,0.0,0.0,0.0,0,0
Yehor Yarmoliuk,UKR,MF,Brentford,20.0,16.1,0,9,2,22.2,0.56,0.12,0.0,0.0,0,0
Ryan Yates,ENG,MF,Nottingham Forest,26.0,21.3,2,33,9,27.3,1.55,0.42,0.06,0.22,0,0
Leny Yoro,FRA,DF,Manchester Utd,18.0,12.9,0,5,1,20.0,0.39,0.08,0.0,0.0,0,0
Ashley Young,ENG,DF,Everton,39.0,20.8,1,6,3,50.0,0.29,0.14,0.17,0.33,0,0
Illia Zabarnyi,UKR,DF,Bournemouth,21.0,34.5,0,12,1,8.3,0.35,0.03,0.0,0.0,0,0
Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,27.0,5.9,0,10,0,0.0,1.71,0.0,0.0,0.0,0,0
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23.0,15.6,3,28,11,39.3,1.8,0.71,0.11,0.27,0,0
Martin Гdegaard,NOR,MF,Arsenal,25.0,25.8,3,49,17,34.7,1.9,0.66,0.04,0.12,1,1
