Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Sven Bouland,NED,DF,Groningen,,0.5,0,0,0,1,0,0,0,0,0,,,0
Rayane Bounida,BEL,MF,Ajax,18.0,0.2,0,0,0,1,0,0,0,0,0,,,0
Can Bozdogan,GER,MF,Utrecht,23.0,4.5,2,0,0,8,7,0,3,4,6,,,0
Mattijs Branderhorst,NED,GK,Fortuna Sittard,30.0,28.0,1,0,0,0,3,0,0,2,0,,,0
Oliver Braude,NOR,DF,Heerenveen,20.0,29.0,10,0,0,44,54,0,45,35,68,,,0
Myron van Brederode,NED,MF,AZ Alkmaar,21.0,1.9,0,0,0,3,4,0,0,0,0,,,0
Michael Bresser,NED,DF,PSV,17.0,0.0,0,0,0,0,0,0,0,0,0,,,0
Jakob Breum,DEN,MF,Go Ahead Eagles,20.0,22.9,4,0,0,8,31,6,88,6,13,,,0
Brian Brobbey,NED,FW,Ajax,22.0,17.3,6,0,0,36,50,9,1,3,4,,,0
Michael Brouwer,NED,GK,Utrecht,31.0,3.0,0,0,0,0,0,0,0,0,0,,,0
Luuk Brouwers,NED,MF,Heerenveen,26.0,21.2,5,0,0,38,15,1,9,23,19,,,0
Jordy Bruijn,NED,MF,Heracles Almelo,28.0,3.4,1,0,0,7,6,0,10,1,4,,,0
Max Bruns,NED,DF,Twente,21.0,18.2,3,0,0,18,10,2,3,20,10,,,0
Thomas Bruns,NED,MF,Heracles Almelo,32.0,12.8,5,0,0,23,24,3,106,3,21,,,0
Charles-AndrГ©as Brym,CAN,FW,Almere City,25.0,17.7,1,0,0,26,40,9,11,2,10,,,0
Hugo Bueno,ESP,DF,Feyenoord,21.0,13.3,1,0,0,7,9,0,50,10,16,,,0
Thomas Buitink,NED,FW,Zwolle,24.0,2.7,0,0,0,11,3,2,6,0,0,,,0
Ezequiel Bullaude,ARG,"MF,FW",Fortuna Sittard,23.0,22.9,2,0,0,38,29,4,7,12,24,,,0
Abdurrahman Burak SayД±n,,MF,Fortuna Sittard,,0.0,0,0,0,0,0,0,0,0,0,,,0
Maxime Busi,BEL,DF,NAC Breda,24.0,9.6,0,0,0,11,4,0,22,7,14,,,0
Zico Buurmeester,NED,MF,AZ Alkmaar,22.0,13.3,0,0,0,18,7,1,14,13,17,,,1
ГЂlex Carbonell,ESP,MF,Almere City,26.0,2.6,1,0,0,1,5,0,7,2,4,,,0
Juan Carlos Familia,DOM,"DF,MF",RKC Waalwijk,24.0,17.1,2,0,0,12,13,0,105,9,28,,,0
JuliГЎn Carranza,ARG,FW,Feyenoord,24.0,9.1,1,0,0,20,19,5,1,1,5,,,0
Stephano Carrillo,MEX,FW,Feyenoord,18.0,0.6,0,0,0,2,3,1,0,0,1,,,0
Yoann Cathline,FRA,MF,Utrecht,22.0,21.6,1,0,0,14,31,4,65,6,21,,,0
Kayky Chagas,BRA,MF,Sparta Rotterdam,21.0,1.3,0,0,0,1,1,0,5,1,1,,,0
Jordy Clasie,NED,MF,AZ Alkmaar,33.0,20.2,3,0,0,15,14,0,5,30,30,,,0
Pelle Clement,NED,MF,Sparta Rotterdam,28.0,18.6,6,0,0,26,16,1,44,24,18,,,0
Denilho Cleonise,NED,MF,RKC Waalwijk,22.0,12.2,1,0,0,7,11,1,40,3,5,,,0
Amara Conde,GER,MF,Heerenveen,27.0,8.2,1,0,0,8,6,0,1,6,21,,,0
Vito van Crooij,NED,"MF,FW",NEC Nijmegen,28.0,21.0,7,1,1,31,21,2,69,10,17,,,0
Alessio da Cruz,CPV,"FW,MF",Fortuna Sittard,27.0,13.2,5,0,0,27,19,9,7,3,7,,,0
Ro-Zangelo Daal,NED,MF,AZ Alkmaar,20.0,0.8,1,0,0,2,2,0,2,0,3,,,0
Jasper Dahlhaus,NED,"DF,MF",Fortuna Sittard,22.0,19.6,4,0,0,26,17,0,89,37,26,,,0
Matteo Dams,BEL,DF,PSV,20.0,10.2,1,1,0,7,4,0,36,15,21,,,0
Damil Dankerlui,SUR,"DF,FW",Almere City,27.0,1.9,0,0,0,2,1,0,11,0,4,,,0
Argyrios Darelas,GRE,MF,NEC Nijmegen,20.0,0.5,0,0,0,0,0,0,0,0,0,,,0
Brynjolfur Darri Willumsson,ISL,FW,Groningen,23.0,10.7,2,1,0,24,28,5,3,1,5,,,0
Jari De Busser,BEL,GK,Go Ahead Eagles,24.0,16.0,0,0,0,0,3,0,0,0,0,,,0
Brian De Keersmaecker,BEL,MF,Heracles Almelo,24.0,30.2,3,1,1,51,36,1,28,38,44,,,1
Mats Deijl,NED,DF,Go Ahead Eagles,27.0,34.0,2,0,0,35,65,2,54,18,34,,,0
Maxim Dekker,NED,DF,AZ Alkmaar,20.0,6.5,1,1,0,4,3,0,3,8,1,,,0
Logan Delaurier-Chaubet,FRA,"MF,FW",Almere City,22.0,6.2,1,0,0,9,5,0,13,8,3,,,0
Branco van den Boomen,NED,MF,Ajax,29.0,7.0,0,0,0,7,4,0,35,3,3,,,0
Damian van der Haar,NED,DF,Zwolle,20.0,20.4,1,0,0,11,2,1,56,21,24,,,0
Mickey van der Hart,NED,GK,Heerenveen,30.0,18.8,1,0,0,1,3,0,0,0,0,,,1
Mike van der Hoorn,NED,DF,Utrecht,31.0,28.4,6,0,0,23,21,1,3,33,22,,,0
Djevencio van der Kust,SUR,DF,Sparta Rotterdam,23.0,10.3,3,1,0,10,3,1,28,9,15,,,0
Richard van der Venne,NED,MF,RKC Waalwijk,32.0,8.2,3,0,0,12,11,1,9,3,6,,,0
Silvester van der Water,NED,"MF,FW",RKC Waalwijk,27.0,7.0,0,0,0,5,6,2,19,7,3,,,0
David van der Werff,NED,MF,Groningen,19.0,0.2,0,0,0,0,0,0,2,0,0,,,0
Anthony Descotte,BEL,"FW,MF",Utrecht,20.0,4.4,0,0,0,6,2,3,3,1,1,,,0
SergiГ±o Dest,USA,DF,PSV,23.0,4.2,0,0,0,3,4,1,9,2,7,,,0
Matisse Didden,BEL,DF,Utrecht,22.0,5.8,1,0,0,3,1,0,0,5,3,,,0
Thomas Didillon,FRA,GK,Willem II,28.0,34.0,2,0,0,2,1,0,0,0,0,,,0
Mitchell Dijks,NED,DF,Fortuna Sittard,31.0,18.8,3,1,1,23,19,0,38,12,27,,,0
Elijah Dijkstra,NED,DF,AZ Alkmaar,17.0,1.0,0,0,0,0,2,0,1,2,1,,,0
Julius Dirksen,NED,DF,Go Ahead Eagles,21.0,0.8,0,0,0,2,0,0,0,0,2,,,0
Nick Doodeman,NED,"MF,DF",Willem II,27.0,16.1,0,0,0,10,9,0,123,9,12,,,0
Couhaib Driouech,MAR,"FW,MF",PSV,22.0,3.0,0,0,0,1,2,2,22,0,3,,,0
Joel Drommel,NED,GK,PSV,27.0,0.5,0,0,0,0,0,0,0,0,0,,,0
Laros Duarte,CPV,MF,Groningen,27.0,0.2,0,0,0,0,0,0,3,0,1,,,0
Oliver Edvardsen,NOR,MF,Go Ahead Eagles,25.0,13.100000000000001,2,0,0,14,34,3,13,8,11,,,0
Victor Edvardsen,SWE,"FW,MF",Go Ahead Eagles,28.0,30.4,4,0,0,38,19,7,39,3,10,,,0
Espen van Ee,NED,MF,Heerenveen,21.0,24.8,5,0,0,39,28,0,12,30,39,,,0
Mike Eerdhuijzen,NED,DF,Sparta Rotterdam,24.0,31.1,7,1,0,17,8,1,9,48,18,,,0
Roshon van Eijma,CUW,DF,RKC Waalwijk,26.0,20.2,1,0,0,9,12,0,0,38,18,,,1
Carel Eiting,NED,MF,Twente,26.0,16.3,2,0,0,12,7,1,76,15,30,,,0
Hjalmar Ekdal,SWE,DF,Groningen,25.0,13.8,2,0,0,17,9,0,0,18,16,,,0
Гљmaro EmbalГі,POR,MF,Fortuna Sittard,23.0,0.1,0,0,0,0,0,0,2,0,0,,,0
Noam Emeran,FRA,MF,Groningen,21.0,1.0,0,0,0,2,1,0,6,4,2,,,0
Mario Engels,GER,"MF,FW",Heracles Almelo,30.0,24.1,2,0,0,30,37,11,77,9,14,,,0
Alonzo Engwanda,BEL,MF,Utrecht,21.0,14.1,1,0,0,4,6,0,10,28,30,,,0
Ante Erceg,CRO,FW,Fortuna Sittard,34.0,3.2,3,0,0,10,8,4,2,0,4,,,0
Luca Everink,NED,DF,Go Ahead Eagles,23.0,1.2,1,0,0,1,1,0,0,0,1,,,0
Kevin Felida,CUW,MF,RKC Waalwijk,24.0,4.8,2,0,0,7,5,1,8,3,6,,,0
SanГЎ Fernandes,POR,"FW,MF",NAC Breda,18.0,5.5,1,1,0,3,8,1,10,4,6,,,0
Nick Fichtinger,NED,MF,Zwolle,20.0,9.5,4,0,0,14,4,0,5,9,38,,,0
Kolbeinn Finnsson,ISL,"DF,MF",Utrecht,24.0,1.7,0,0,0,3,1,0,5,1,4,,,0
Kian Fitz-Jim,NED,MF,Ajax,21.0,13.7,3,0,0,19,16,0,10,9,16,,,0
Ryan Flamingo,NED,DF,PSV,21.0,32.7,2,0,0,25,17,0,2,44,31,,,0
Sherel Floranus,CUW,DF,Zwolle,25.0,21.5,3,0,0,18,16,4,30,29,32,,,0
