Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Gabriel Barros,BRA,MF,AtlГ©tico Goianiense,22,0.9,2,1,1,4,1,0,2,1,1,,,0
Bastos,ANG,DF,Botafogo (RJ),32,29.2,6,0,0,35,7,2,4,31,26,,,0
Rodrigo Battaglia,ARG,"DF,MF",AtlГ©tico Mineiro,32,25.4,7,2,2,31,14,0,1,16,21,,,0
JosГ© Luis RodrГ­guez Bebanz,URU,"DF,MF",Vasco da Gama,26,12.5,1,0,0,6,7,1,65,12,14,,,0
Muriel Becker,BRA,GK,VitГіria,36,1.0,2,0,0,0,1,0,0,0,0,,,0
Lucas Belezi,BRA,DF,Athletico Paranaense,20,8.8,2,0,0,6,1,0,1,15,6,,,0
Ramiro Benetti,BRA,MF,Cruzeiro,30,16.0,3,0,0,27,17,1,21,20,18,,,0
Bento,BRA,GK,Athletico Paranaense,24,7.0,1,0,0,1,0,0,0,0,0,,,0
Alexandro Bernabei,ARG,DF,Internacional,23,22.9,5,0,0,41,19,2,105,48,35,,,0
Facundo Bernal,URU,MF,Fluminense,20,10.5,6,0,0,19,7,1,1,7,13,,,0
Bernard,BRA,"MF,FW",AtlГ©tico Mineiro,31,10.0,1,0,0,18,7,1,31,3,11,,,0
Matheus Bidu,BRA,"DF,MF",Corinthians,24,16.7,3,0,0,11,23,2,42,30,19,,,0
Biel,BRA,"FW,MF",Bahia,22,10.0,2,0,0,9,22,3,22,8,7,,,0
Biro,BRA,DF,Corinthians,19,0.2,0,0,0,1,0,0,0,0,0,,,0
DamiГЎn Bobadilla,PAR,MF,SГЈo Paulo,22,11.5,3,0,0,25,2,0,8,6,18,,,0
Yannick Bolasie,COD,FW,CriciГєma,34,26.4,4,0,0,37,27,16,59,4,19,,,0
Thiago Borbas,URU,FW,RB Bragantino,21,10.6,3,0,0,21,10,2,1,2,3,,,0
Marllon Borges,BRA,DF,CuiabГЎ,31,32.0,4,0,0,26,13,1,1,33,34,,,0
Pedro Borges,BRA,MF,Fortaleza,26,13.0,8,0,0,32,22,0,2,21,32,,,0
Rafael BorrГ©,COL,FW,Internacional,28,20.8,6,0,0,36,21,17,12,4,13,,,0
Danilo Boza,BRA,DF,Juventude,25,31.4,2,0,0,5,19,1,8,32,16,,,0
Martin Braithwaite,DEN,FW,GrГЄmio,32,16.2,2,0,0,25,23,7,5,1,6,,,1
Breno,BRA,MF,Fortaleza,28,21.1,4,0,0,15,56,8,78,7,5,,,0
Breno,BRA,MF,Corinthians,18,19.8,5,0,0,29,34,1,15,21,24,,,0
JosГ© Breno,BRA,MF,VitГіria,19,0.1,0,1,0,1,0,0,0,1,0,,,0
Emanuel BrГ­tez,ARG,DF,Fortaleza,31,27.8,12,2,1,31,17,2,13,36,42,,,0
Bruninho,BRA,FW,RB Bragantino,20,0.9,0,0,0,1,4,0,0,0,0,,,0
FabrГ­cio Bruno,BRA,DF,Flamengo,27,25.7,6,0,0,10,11,0,5,16,19,,,0
Fabricio Bustos,ARG,DF,Internacional,27,9.6,4,0,0,17,7,1,25,10,20,,,0
Rafael Cabral,BRA,GK,GrГЄmio,33,5.1,0,0,0,0,1,0,0,0,0,,,0
CacГЎ,BRA,DF,Corinthians,24,25.5,4,1,0,29,12,0,1,13,15,,,2
RaГєl CГЎceres,PAR,DF,VitГіria,32,18.8,2,0,0,22,4,3,94,11,17,,,0
Cadu,BRA,"FW,MF",AtlГ©tico Mineiro,19,11.2,1,0,0,26,26,3,7,7,18,,,0
Caetano,BRA,DF,Corinthians,24,3.1,2,1,1,5,1,0,0,3,3,,,0
Jonathan Cafu,BRA,"MF,FW",CuiabГЎ,32,15.5,3,0,0,21,23,2,47,9,15,,,0
Rodrigo Caio,BRA,DF,GrГЄmio,30,4.2,0,0,0,4,4,0,0,4,4,,,0
CaГ­que,BRA,GK,GrГЄmio,26,5.4,1,0,0,0,0,0,0,0,0,,,0
Calebe,BRA,MF,Fortaleza,23,1.4,1,0,0,3,3,1,4,0,0,,,0
Lucas Calegari,BRA,DF,Fluminense,21,0.9,0,0,0,3,3,0,2,1,5,,,0
Jonathan Calleri,ARG,FW,SГЈo Paulo,30,22.7,6,0,0,37,48,25,23,4,9,,,0
Patric Calmon PK,BRA,"DF,MF",VitГіria,29,6.0,1,1,0,6,3,2,29,15,6,,,0
Gustavo Campanharo,BRA,MF,AtlГ©tico Goianiense,31,0.3,0,0,0,2,0,0,0,0,1,,,0
Joel Campbell,CRC,"MF,FW",AtlГ©tico Goianiense,31,6.2,3,0,0,3,9,0,16,2,10,,,0
Camutanga,BRA,DF,VitГіria,30,5.0,1,1,0,3,2,0,0,1,5,,,0
Yerson Candelo,COL,"DF,MF",CriciГєma,31,0.3,0,0,0,0,0,0,3,1,1,,,0
Luan CГўndido,BRA,DF,RB Bragantino,22,21.7,5,0,0,37,7,2,6,30,27,,,0
GermГЎn Cano,ARG,FW,Fluminense,35,17.9,6,0,0,11,7,2,8,1,5,,,0
AgustГ­n Canobbio,URU,"MF,FW",Athletico Paranaense,25,13.5,6,1,1,13,23,7,37,3,20,,,0
Juninho Capixaba,BRA,"DF,MF",RB Bragantino,26,20.8,4,0,0,41,30,1,45,34,44,,,0
