Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Xavier Moreno,ESP,FW,Valladolid,19,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Mateu Morey,ESP,DF,Mallorca,24,8.2,0,3,1,33.3,0.36,0.12,0.0,0.0,0,0
Ilaix Moriba,GUI,MF,Celta Vigo,21,23.7,1,34,12,35.3,1.44,0.51,0.03,0.08,0,0
Manu Morlanes,ESP,MF,Mallorca,25,14.9,0,11,1,9.1,0.74,0.07,0.0,0.0,0,0
RaГєl Moro,ESP,"MF,FW",Valladolid,21,26.0,4,45,16,35.6,1.73,0.62,0.09,0.25,0,0
Cristhian Mosquera,ESP,DF,Valencia,20,36.9,1,5,2,40.0,0.14,0.05,0.2,0.5,0,0
Santiago MouriГ±o,URU,DF,AlavГ©s,22,20.5,0,13,4,30.8,0.63,0.19,0.0,0.0,0,0
Abdul Mumin,GHA,DF,Rayo Vallecano,26,22.4,2,10,4,40.0,0.45,0.18,0.2,0.5,0,0
Aihen MuГ±oz,ESP,DF,Real Sociedad,26,12.2,0,6,0,0.0,0.49,0.0,0.0,0.0,0,0
ГЃlex MuГ±oz,ESP,DF,Las Palmas,30,15.7,3,9,5,55.6,0.57,0.32,0.33,0.6,0,0
Iker MuГ±oz,ESP,MF,Osasuna,21,6.8,0,11,0,0.0,1.62,0.0,0.0,0.0,0,0
Javier MuГ±oz,ESP,"MF,DF",Las Palmas,29,28.8,1,25,6,24.0,0.87,0.21,0.04,0.17,0,0
VГ­ctor MuГ±oz,ESP,FW,Real Madrid,21,0.4,0,1,0,0.0,2.5,0.0,0.0,0.0,0,0
Vedat Muriqi,KVX,FW,Mallorca,30,22.9,7,54,19,35.2,2.36,0.83,0.09,0.26,2,3
Juan Musso,ARG,GK,AtlГ©tico Madrid,30,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Matija NastasiД‡,SRB,DF,LeganГ©s,31,23.4,1,2,1,50.0,0.09,0.04,0.5,1.0,0,0
Natan,BRA,DF,Real Betis,23,24.2,1,9,4,44.4,0.37,0.17,0.11,0.25,0,0
Pau Navarro,ESP,DF,Villarreal,19,10.2,0,1,0,0.0,0.1,0.0,0.0,0.0,0,0
Roberto Navarro,ESP,MF,Mallorca,22,14.2,1,18,6,33.3,1.27,0.42,0.06,0.17,0,0
JesГєs Navas,ESP,"MF,FW",Sevilla,38,4.7,1,3,2,66.7,0.64,0.42,0.33,0.5,0,0
Yvan Neyou,CMR,MF,LeganГ©s,27,25.7,1,16,3,18.8,0.62,0.12,0.06,0.33,0,0
Tanguy Nianzou,FRA,DF,Sevilla,22,5.8,0,2,0,0.0,0.35,0.0,0.0,0.0,0,0
SaГєl Г‘Г­guez,ESP,MF,Sevilla,29,17.3,1,42,9,21.4,2.43,0.52,0.02,0.11,0,0
TamГЎs Nikitscher,HUN,"MF,DF",Valladolid,24,9.5,0,2,1,50.0,0.21,0.1,0.0,0.0,0,0
Adrian NiГ±o,ESP,FW,AtlГ©tico Madrid,20,0.1,0,2,0,0.0,15.0,0.0,0.0,0.0,0,0
Hugo Novoa,ESP,"MF,DF",AlavГ©s,21,2.6,0,1,0,0.0,0.38,0.0,0.0,0.0,0,0
Randy Nteka,ANG,FW,Rayo Vallecano,26,12.5,3,16,8,50.0,1.28,0.64,0.19,0.38,0,0
Unai NГєГ±ez,ESP,DF,Athletic Club,27,7.2,0,1,0,0.0,0.14,0.0,0.0,0.0,0,0
Гrjan Nyland,NOR,GK,Sevilla,33,29.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Allan Nyom,CMR,"MF,DF",Getafe,36,9.9,1,9,4,44.4,0.91,0.41,0.11,0.25,0,0
Jan Oblak,SVN,GK,AtlГ©tico Madrid,31,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Lucas Ocampos,ARG,"MF,FW",Sevilla,30,1.9,0,4,2,50.0,2.06,1.03,0.0,0.0,0,0
ГЃlvaro Odriozola,ESP,DF,Real Sociedad,28,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Thiago Ojeda,ARG,MF,Villarreal,21,0.1,0,1,0,0.0,11.25,0.0,0.0,0.0,0,0
Aingeru Olabarrieta,ESP,MF,Athletic Club,18,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Olasagasti,ESP,MF,Real Sociedad,23,9.5,1,13,2,15.4,1.37,0.21,0.08,0.5,0,0
Brian OlivГЎn,ESP,DF,Espanyol,30,11.3,0,6,1,16.7,0.53,0.09,0.0,0.0,0,0
Lucas Oliveira Rosa,BRA,DF,Valladolid,24,21.0,0,8,3,37.5,0.38,0.14,0.0,0.0,0,0
Dani Olmo,ESP,MF,Barcelona,26,13.5,10,42,17,40.5,3.12,1.26,0.19,0.47,2,2
Aimar Oroz,ESP,MF,Osasuna,22,33.0,5,48,16,33.3,1.46,0.49,0.08,0.25,1,1
ГЃngel OrtГ­z,ESP,DF,Real Betis,20,3.9,0,2,0,0.0,0.51,0.0,0.0,0.0,0,0
Gabriel Osei Misehouy,NED,FW,Girona,19,2.9,1,6,2,33.3,2.1,0.7,0.17,0.5,0,0
David Otorbi,ESP,FW,Valencia,16,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
JesГєs Owono,EQG,GK,AlavГ©s,23,5.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Mikel Oyarzabal,ESP,FW,Real Sociedad,27,25.0,9,43,18,41.9,1.72,0.72,0.12,0.28,4,4
