Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Mergim Vojvoda,KVX,DF,Como,29,28,20,1822,20.3,1,2,3,1,0,0,6,0,0.6000000000000001,0.6000000000000001,2.4,3.1,34,107,74,0.05,0.1,0.15,0.05,0.15,0.03,0.12,0.15,0.03,0.15,3.0,0,21,6,2,66,12,16,0,9,1,11.11,0.44,0.05,0.11,1.0
Stefan de Vrij,NED,DF,Inter,32,26,18,1726,19.2,3,0,3,3,0,0,2,0,1.1,1.1,0.0,1.1,11,76,5,0.16,0.0,0.16,0.16,0.16,0.06,0.0,0.06,0.06,0.06,5.0,0,9,5,0,0,23,12,0,13,3,23.1,0.68,0.16,0.23,1.0
Kyle Walker,ENG,DF,Milan,34,11,7,659,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.9,1.0,11,32,19,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.13,0.01,0.13,4.0,0,7,4,0,10,9,9,0,2,0,0.0,0.27,0.0,0.0,0.0
Sebastian Walukiewicz,POL,DF,Empoli,24,31,22,1841,20.5,0,0,0,0,0,0,6,0,0.4,0.4,0.4,0.7999999999999999,27,88,34,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,4.5,0,33,7,1,26,18,20,0,6,1,16.67,0.29,0.05,0.0,0.0
Timothy Weah,USA,"DF,FW",Juventus,24,30,18,1638,18.2,5,2,7,5,0,0,4,0,3.4,3.4,1.6,5.1,45,56,120,0.27,0.11,0.38,0.27,0.38,0.19,0.09,0.28,0.19,0.28,17.0,0,20,14,3,44,14,19,0,21,9,42.9,1.15,0.49,0.24,0.56
Mateusz Wieteska,POL,DF,Cagliari,27,5,1,184,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,5,0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.18,0.1,0.18,2.0,0,4,0,0,0,7,0,0,1,0,0.0,0.49,0.0,0.0,0.0
John Yeboah,ECU,"FW,MF",Venezia,24,33,11,1226,13.6,1,1,2,1,0,0,6,0,3.0,3.0,1.9,4.9,50,42,88,0.07,0.07,0.15,0.07,0.15,0.22,0.14,0.36,0.22,0.36,2.8,0,14,21,4,26,4,3,0,30,10,33.3,2.2,0.73,0.03,0.1
Kenan Yildiz,TUR,"FW,MF",Juventus,19,35,28,2402,26.7,7,4,11,7,0,0,2,1,4.3,4.3,5.0,9.3,115,121,223,0.26,0.15,0.41,0.26,0.41,0.16,0.19,0.35,0.16,0.35,50.0,0,25,48,4,113,6,29,0,61,23,37.7,2.29,0.86,0.11,0.3
Mattia Zaccagni,ITA,FW,Lazio,29,34,33,2686,29.8,8,6,14,6,2,2,10,0,6.4,4.9,4.6,9.5,91,114,264,0.27,0.2,0.47,0.2,0.4,0.22,0.15,0.37,0.16,0.32,20.0,0,35,98,10,156,29,27,0,48,17,35.4,1.61,0.57,0.13,0.35
Nicola Zalewski,POL,"DF,MF",Inter,22,23,8,968,10.7,1,1,2,1,0,0,4,0,0.5,0.5,2.5,3.0,60,35,101,0.09,0.09,0.19,0.09,0.19,0.05,0.23,0.28,0.05,0.28,12.0,0,9,24,1,51,7,10,0,10,3,30.0,0.93,0.28,0.1,0.33
Andre-Frank Zambo Anguissa,CMR,MF,Napoli,28,35,32,2852,31.7,6,4,10,6,0,0,5,0,4.4,4.4,2.4,6.8,24,144,119,0.19,0.13,0.32,0.19,0.32,0.14,0.08,0.22,0.14,0.22,27.0,0,39,36,2,23,34,26,0,44,13,29.5,1.39,0.41,0.14,0.46
Francesco Zampano,ITA,DF,Venezia,30,24,17,1639,18.2,1,2,3,1,0,0,5,0,1.0,1.0,0.8,1.8,42,41,85,0.05,0.11,0.16,0.05,0.16,0.05,0.04,0.1,0.05,0.1,1.0,0,24,19,5,49,6,21,0,7,4,57.1,0.38,0.22,0.14,0.25
Nicolo Zaniolo,ITA,"FW,MF",Atalanta,25,23,4,699,7.8,2,2,4,2,0,0,6,1,1.6,1.5,0.7,2.4,15,18,53,0.26,0.26,0.51,0.26,0.51,0.21,0.09,0.29,0.19,0.31,12.0,0,20,32,3,8,1,1,0,20,8,40.0,2.56,1.03,0.1,0.25
Alessandro Zanoli,ITA,"FW,DF",Genoa,23,31,19,1711,19.0,1,0,1,1,0,0,3,0,0.4,0.4,1.6,2.0,65,27,90,0.05,0.0,0.05,0.05,0.05,0.02,0.08,0.11,0.02,0.11,6.0,0,17,19,1,65,12,21,0,11,3,27.3,0.58,0.16,0.09,0.33
Duvan Zapata,COL,FW,Torino,33,7,7,587,6.5,3,0,3,3,0,0,1,0,3.4,3.4,0.5,3.9,6,7,36,0.46,0.0,0.46,0.46,0.46,0.52,0.08,0.59,0.52,0.59,3.5,0,10,8,2,3,2,5,0,21,10,47.6,3.22,1.53,0.14,0.3
Gabriele Zappa,ITA,DF,Cagliari,24,37,35,3060,34.0,2,0,2,2,0,0,4,0,0.9,0.9,3.6,4.5,57,146,82,0.06,0.0,0.06,0.06,0.06,0.03,0.11,0.13,0.03,0.13,4.0,0,25,18,0,73,22,25,0,11,5,45.5,0.32,0.15,0.18,0.4
Davide Zappacosta,ITA,DF,Atalanta,32,30,26,2067,23.0,4,2,6,4,0,0,3,0,2.2,2.2,2.1,4.3,67,107,139,0.17,0.09,0.26,0.17,0.26,0.1,0.09,0.19,0.1,0.19,5.0,0,19,14,6,95,10,16,0,39,12,30.8,1.7,0.52,0.1,0.33
Oier Zarraga,ESP,MF,Udinese,25,22,9,896,10.0,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,7,28,23,0.1,0.0,0.1,0.1,0.1,0.04,0.04,0.08,0.04,0.08,2.0,0,12,6,0,19,2,13,0,6,1,16.7,0.6,0.1,0.17,1.0
Jordan Zemura,ZIM,DF,Udinese,24,23,13,1415,15.7,1,2,3,1,0,0,2,0,1.0,1.0,1.0,2.0,25,42,76,0.06,0.13,0.19,0.06,0.19,0.07,0.06,0.13,0.07,0.13,4.5,0,21,7,2,39,17,15,0,14,3,21.4,0.89,0.19,0.07,0.33
Alessio Zerbin,ITA,"FW,DF",Napoli,25,20,17,1520,16.9,1,1,2,1,0,0,4,0,1.9,1.9,2.1,3.9,53,54,70,0.06,0.06,0.12,0.06,0.12,0.11,0.12,0.24,0.11,0.23,4.0,0,36,36,3,75,15,31,0,16,6,37.5,0.95,0.36,0.06,0.17
Kevin Zeroli,ITA,MF,Milan,19,9,4,407,4.5,0,1,1,0,0,0,0,0,0.8,0.8,0.5,1.2,3,7,11,0.0,0.22,0.22,0.0,0.22,0.18,0.11,0.29,0.18,0.27,4.0,0,5,1,2,2,2,3,0,6,1,16.67,1.33,0.22,0.0,0.0
Piotr Zielinski,POL,MF,Inter,30,26,8,980,10.9,2,2,4,0,2,2,0,0,2.6,1.1,0.9,2.0,26,65,24,0.18,0.18,0.37,0.0,0.18,0.24,0.08,0.32,0.1,0.18,10.0,0,9,16,0,27,6,10,0,17,6,35.3,1.56,0.55,0.0,0.0
Nadir Zortea,ITA,"DF,MF",Cagliari,25,35,33,2713,30.1,6,2,8,6,0,0,2,0,3.1,3.1,2.4,5.5,69,63,144,0.2,0.07,0.27,0.2,0.27,0.1,0.08,0.18,0.1,0.18,5.0,0,33,22,1,119,19,13,0,32,10,31.3,1.06,0.33,0.19,0.6
Szymon Zurkowski,POL,MF,Empoli,26,5,0,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,1.8,0,2,1,0,0,1,4,0,2,0,0.0,1.7,0.0,0.0,0.0
Milan Djuric,BIH,FW,Parma,34,27,16,1538,17.1,5,1,6,5,0,0,4,0,3.2,3.2,1.1,4.3,2,28,36,0.29,0.06,0.35,0.29,0.35,0.19,0.06,0.25,0.19,0.25,1.5,0,19,24,6,0,3,1,0,28,11,39.29,1.64,0.64,0.18,0.45
