Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Cristiano Biraghi,ITA,"DF,MF",Fiorentina,31,17.7,1,0,0,13,19,2,136,11,14,,,1
Samuele Birindelli,ITA,MF,Monza,25,16.3,2,0,0,16,15,5,65,10,14,,,0
Bjarki Bjarkason,ISL,MF,Venezia,24,1.8,2,0,0,2,8,0,7,3,2,,,0
Emil Bohinen,NOR,MF,Genoa,25,1.8,0,0,0,3,3,0,0,1,4,,,0
Warren Bondo,FRA,MF,Milan,20,19.8,6,1,1,32,40,1,8,6,28,,,0
Kevin Bonifazi,ITA,DF,Lecce,28,0.7,0,0,0,0,0,0,0,3,1,,,0
Ange-Yoan Bonny,FRA,FW,Parma,20,28.1,2,0,0,20,47,14,14,3,18,,,0
Edoardo Bove,ITA,MF,Fiorentina,22,9.5,3,0,0,16,21,0,2,6,16,,,0
Domagoj BradariД‡,CRO,"MF,DF",Hellas Verona,24,21.5,6,0,0,21,14,3,79,16,30,,,0
Matthias BraunГ¶der,AUT,MF,Como,22,3.0,3,1,1,10,5,0,0,2,4,,,0
Iker Bravo,ESP,FW,Udinese,19,7.6,3,0,0,12,10,2,8,1,5,,,0
Gleison Bremer,BRA,DF,Juventus,27,6.0,2,0,0,9,5,0,0,6,8,,,0
Brenner,BRA,"MF,FW",Udinese,24,4.3,0,0,0,0,5,0,11,1,4,,,0
Marco Brescianini,ITA,MF,Atalanta,24,11.0,1,0,0,22,9,2,19,2,11,,,0
Arvid Brorsson,SWE,DF,Monza,25,4.0,0,0,0,1,4,0,0,2,3,,,0
Tajon Buchanan,CAN,"DF,MF",Inter,25,1.1,0,0,0,2,4,0,3,0,0,,,0
Alessandro Buongiorno,ITA,DF,Napoli,25,21.4,2,0,0,17,21,1,2,33,23,,,0
RareИ™-CДѓtДѓlin Burnete,ROU,FW,Lecce,20,0.3,0,0,0,2,2,0,0,0,0,,,0
Gianluca Busio,USA,MF,Venezia,22,28.0,4,0,0,26,44,4,30,18,30,,,0
Jean Butez,FRA,GK,Como,29,18.5,0,0,0,1,2,0,0,0,0,,,0
Liberato Cacace,NZL,"MF,DF",Empoli,23,24.8,6,0,0,27,17,5,103,22,27,,,0
Alessio Cacciamani,ITA,FW,Torino,17,0.3,0,0,0,0,0,0,3,1,0,,,0
Davide Calabria,ITA,DF,Milan,27,10.5,3,0,0,10,9,0,32,12,14,,,0
Luca Caldirola,ITA,DF,Monza,33,9.7,5,0,0,18,16,1,1,11,7,,,0
Hakan Г‡alhanoДџlu,TUR,MF,Inter,30,21.6,5,0,0,22,13,0,122,19,22,,,0
Drissa Camara,CIV,FW,Parma,22,5.0,3,0,0,17,17,1,5,4,7,,,0
Francesco Camarda,ITA,FW,Milan,16,2.3,0,0,0,8,1,2,1,0,2,,,0
NicolГІ Cambiaghi,ITA,"MF,FW",Bologna,23,6.9,0,0,0,9,34,0,47,1,8,,,0
Andrea Cambiaso,ITA,"DF,MF",Juventus,24,24.7,4,0,0,28,23,6,66,17,31,,,0
Thomas Campaniello,ITA,FW,Empoli,16,0.3,0,0,0,0,1,0,0,0,0,,,0
Matteo Cancellieri,ITA,"MF,FW",Parma,22,15.8,2,1,0,26,41,2,22,13,14,,,0
Fali CandГ©,GNB,DF,Venezia,26,17.0,4,0,0,24,21,0,7,16,19,,,0
Antonio Candela,ITA,"MF,DF",Venezia,24,11.2,2,0,0,15,5,0,21,8,21,,,1
Gianluca Caprari,ITA,"MF,FW",Monza,31,18.3,3,0,0,18,42,5,80,8,11,,,0
Elia Caprile,ITA,GK,Napoli,22,21.6,0,0,0,0,6,0,0,0,0,,,0
Francesco Caputo,ITA,FW,Empoli,36,0.1,0,0,0,0,0,0,0,0,0,,,0
Maxence Caqueret,FRA,MF,Como,24,12.1,4,0,0,17,11,1,16,6,20,,,0
Andrea Carboni,ITA,DF,Monza,23,24.3,5,0,0,29,17,0,15,27,32,,,0
Franco Carboni,ITA,MF,Venezia,21,2.5,2,0,0,3,2,0,8,0,4,,,0
Marco Carnesecchi,ITA,GK,Atalanta,24,34.0,1,0,0,0,5,0,0,0,0,,,0
Cesare Casadei,ITA,MF,Torino,21,11.3,1,0,0,16,10,0,2,5,5,,,0
NicolГІ Casale,ITA,DF,Lazio,26,11.5,1,0,0,25,8,0,0,21,7,,,1
Federico Cassa,ITA,MF,Atalanta,18,0.2,0,0,0,2,1,0,0,0,0,,,0
ValentГ­n Castellanos,ARG,FW,Lazio,25,26.5,9,1,0,38,42,17,25,8,6,,,0
Santiago Castro,ARG,FW,Bologna,19,25.5,7,0,0,49,53,9,9,3,10,,,1
Gaetano Castrovilli,ITA,MF,Lazio,27,8.2,0,0,0,12,8,2,14,5,9,,,0
Danilo Cataldi,ITA,MF,Fiorentina,29,19.2,1,0,0,15,22,0,21,23,18,,,0
Zeki Г‡elik,TUR,"DF,MF",Roma,27,25.1,5,0,0,31,10,0,42,12,37,,,0
Alberto Cerri,ITA,FW,Como,28,1.0,0,0,0,3,1,2,0,0,0,,,0
Gabriel Charpentier,CGO,FW,Parma,25,3.0,1,0,0,13,10,0,2,0,3,,,0
Walid Cheddira,MAR,FW,Napoli,26,0.1,0,0,0,0,0,0,0,0,0,,,0
Leandro Chichizola,ARG,GK,Parma,34,1.0,0,0,0,0,0,0,0,0,0,,,0
Samuel Chukwueze,NGA,"MF,FW",Milan,25,10.3,0,0,0,3,10,3,49,2,11,,,0
Aaron Ciammaglichella,ITA,MF,Torino,19,0.0,0,0,0,0,0,0,0,0,0,,,0
Giuseppe Ciocci,ITA,GK,Cagliari,22,0.1,0,0,0,0,1,0,0,0,0,,,0
Alessandro Circati,AUS,DF,Parma,20,6.0,1,0,0,4,5,0,0,4,5,,,0
Alphadjo CissГЁ,ITA,MF,Hellas Verona,17,0.1,0,0,0,1,0,0,0,0,0,,,0
Patrick Ciurria,ITA,MF,Monza,29,12.3,1,0,0,17,11,1,61,8,15,,,0
SaГєl Coco,EQG,DF,Torino,25,31.6,10,0,0,53,19,0,2,36,27,,,1
Lorenzo Colombo,ITA,"FW,MF",Empoli,22,24.8,5,1,1,46,41,6,10,3,15,,,0
Andrea Colpani,ITA,MF,Fiorentina,25,16.1,1,0,0,22,24,1,33,9,8,,,0
Florinel Coman,ROU,"MF,FW",Cagliari,26,2.9,2,0,0,8,9,0,2,1,3,,,0
Pietro Comuzzo,ITA,DF,Fiorentina,19,24.4,5,0,0,25,12,0,3,27,19,,,0
Francisco ConceiГ§ГЈo,POR,MF,Juventus,21,14.9,5,1,1,24,36,4,62,6,15,,,0
Diego Coppola,ITA,DF,Hellas Verona,20,32.5,10,0,0,44,0,0,0,66,38,,,0
Maxwel Cornet,CIV,MF,Genoa,27,2.7,0,0,0,0,1,1,8,2,1,,,0
JoaquГ­n Correa,ARG,"FW,MF",Inter,29,8.1,3,0,0,8,14,2,8,0,5,,,0
Alberto costa,POR,"DF,MF",Juventus,20,4.0,3,0,0,8,2,0,3,4,10,,,0
Lassana Coulibaly,MLI,MF,Lecce,28,29.6,3,0,0,39,44,0,12,19,34,,,0
