Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
NehuГ©n PГ©rez,ARG,DF,Udinese,24,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Simone Perilli,ITA,GK,Hellas Verona,29,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Mattia Perin,ITA,GK,Juventus,31,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
MГЎximo Perrone,ARG,MF,Como,21,20.6,0,10,2,20.0,0.48,0.1,0.0,0.0,0,0
Matteo Pessina,ITA,MF,Monza,27,9.5,0,3,0,0.0,0.32,0.0,0.0,0.0,0,0
Andrea Petagna,ITA,FW,Monza,29,3.7,0,4,0,0.0,1.07,0.0,0.0,0.0,0,0
Giuseppe Pezzella,ITA,MF,Empoli,26,32.0,0,15,3,20.0,0.47,0.09,0.0,0.0,0,0
Roberto Piccoli,ITA,FW,Cagliari,23,34.7,10,98,31,31.6,2.82,0.89,0.09,0.29,1,1
Nicholas Pierini,ITA,FW,Venezia,25,0.9,0,1,0,0.0,1.08,0.0,0.0,0.0,0,0
Santiago Pierotti,ARG,"MF,FW",Lecce,23,21.5,4,32,7,21.9,1.49,0.33,0.13,0.57,0,0
Balthazar Pierret,FRA,MF,Lecce,24,19.1,0,6,0,0.0,0.31,0.0,0.0,0.0,0,0
Andrea Pinamonti,ITA,FW,Genoa,25,31.7,10,79,30,38.0,2.49,0.95,0.13,0.33,0,1
Nicola Pintus,ITA,DF,Cagliari,19,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
NiccolГІ Pisilli,ITA,MF,Roma,19,13.6,2,27,8,29.6,1.98,0.59,0.07,0.25,0,0
DamiГЎn Pizarro,CHI,FW,Udinese,19,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Semuel Pizzignacco,ITA,GK,Monza,22,8.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Tommaso Pobega,ITA,MF,Bologna,25,13.1,2,24,8,33.3,1.83,0.61,0.08,0.25,0,0
Joel Pohjanpalo,FIN,FW,Venezia,29,17.8,6,38,17,44.7,2.13,0.95,0.08,0.18,3,4
Matteo Politano,ITA,"FW,MF",Napoli,30,31.2,3,56,14,25.0,1.8,0.45,0.05,0.21,0,0
Marin PongraДЌiД‡,CRO,DF,Fiorentina,26,15.2,0,2,1,50.0,0.13,0.07,0.0,0.0,0,0
Stefan Posch,AUT,DF,Atalanta,27,12.2,0,5,2,40.0,0.41,0.16,0.0,0.0,0,0
Matteo Prati,ITA,MF,Cagliari,20,6.3,0,4,0,0.0,0.63,0.0,0.0,0.0,0,0
Ivan Provedel,ITA,GK,Lazio,30,29.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Diego Pugno,ITA,DF,Juventus,18,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Christian Pulisic,USA,"MF,FW",Milan,25,27.5,11,57,24,42.1,2.07,0.87,0.14,0.33,3,4
IonuИ› Radu,ROU,GK,Venezia,27,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Hamza Rafia,TUN,MF,Lecce,25,11.8,0,10,2,20.0,0.85,0.17,0.0,0.0,0,0
Antonio Raimondo,ITA,FW,Venezia,20,1.0,0,1,1,100.0,0.96,0.96,0.0,0.0,0,0
Ylber Ramadani,ALB,MF,Lecce,28,20.1,1,17,6,35.3,0.85,0.3,0.06,0.17,0,0
Luca Ranieri,ITA,DF,Fiorentina,25,34.1,1,11,5,45.5,0.32,0.15,0.09,0.2,0,0
Giacomo Raspadori,ITA,"FW,MF",Napoli,24,12.3,6,42,14,33.3,3.43,1.14,0.14,0.43,0,0
Federico Ravaglia,ITA,GK,Bologna,24,11.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ante RebiД‡,CRO,"FW,MF",Lecce,30,8.8,1,13,5,38.5,1.48,0.57,0.08,0.2,0,0
Tijjani Reijnders,NED,MF,Milan,26,34.8,10,77,28,36.4,2.22,0.81,0.13,0.36,0,0
