Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Adrian Baquerin,ESP,FW,Valladolid,17,0.5,0,0,0,0,2,0,0,0,1,,,0
ValentГ­n Barco,ARG,DF,Sevilla,20,3.2,0,0,0,7,5,0,25,2,9,,,0
Borna BariЕЎiД‡,CRO,DF,LeganГ©s,31,0.1,0,0,0,0,0,0,0,0,0,,,0
Kike Barja,ESP,"FW,MF",Osasuna,27,3.5,3,0,0,9,4,1,37,3,4,,,0
Enzo Barrenechea,ARG,MF,Valencia,23,24.3,6,0,0,25,47,0,3,27,30,,,0
Ander Barrenetxea,ESP,MF,Real Sociedad,22,14.0,6,0,0,33,13,6,52,11,19,,,0
Pablo Barrios,ESP,MF,AtlГ©tico Madrid,21,25.9,4,1,0,28,27,0,26,33,26,,,0
Thierno Barry,FRA,FW,Villarreal,21,25.8,4,0,0,47,51,20,5,0,9,,,0
Marc Bartra,ESP,DF,Real Betis,33,23.3,2,0,0,15,14,2,1,35,19,,,0
Aboubacar Bassinga,CIV,MF,Las Palmas,19,0.0,0,0,0,1,0,0,0,0,0,,,0
Augusto Batalla,ARG,GK,Rayo Vallecano,28,32.0,6,0,0,1,6,0,0,0,3,,,0
Rafael Bauza,ESP,MF,Espanyol,19,2.0,1,0,0,8,0,0,0,0,3,,,0
Sheraldo Becker,SUR,"MF,FW",Real Sociedad,29,11.1,1,1,0,8,15,9,65,2,2,,,0
Donny van de Beek,NED,MF,Girona,27,15.8,5,0,0,22,8,3,11,11,19,,,0
Luken Beitia,ESP,DF,Real Sociedad,20,0.1,0,0,0,0,0,0,0,0,1,,,0
Ismael Bekhoucha,MAR,DF,Getafe,19,0.8,2,0,0,3,3,0,1,2,1,,,0
HГ©ctor BellerГ­n,ESP,DF,Real Betis,29,6.4,1,0,0,6,0,0,10,6,7,,,0
Jude Bellingham,ENG,MF,Real Madrid,21,27.6,5,1,0,33,64,9,18,27,35,,,0
Fran BeltrГЎn,ESP,MF,Celta Vigo,25,26.9,3,0,0,35,12,0,5,22,36,,,0
Carlos BenavГ­dez,URU,MF,AlavГ©s,26,5.4,3,0,0,17,6,1,1,7,15,,,0
Iker Benito,ESP,"FW,MF",Osasuna,21,0.4,0,0,0,1,1,0,2,1,0,,,0
Yuri Berchiche,ESP,DF,Athletic Club,34,22.7,5,0,0,18,19,4,42,28,22,,,0
ГЃlex Berenguer,ESP,"MF,FW",Athletic Club,29,26.0,5,0,0,29,30,5,178,10,13,,,0
Marc Bernal,ESP,MF,Barcelona,17,2.7,2,0,0,4,3,0,0,1,6,,,0
Juan Bernat,ESP,MF,Getafe,31,10.2,0,0,0,11,8,2,20,3,19,,,0
Juan Berrocal,ESP,DF,Getafe,25,11.8,8,1,1,17,1,0,0,15,6,,,0
Antonio Blanco,ESP,MF,AlavГ©s,24,30.3,11,1,1,67,27,0,27,41,41,,,0
Daley Blind,NED,DF,Girona,34,30.9,2,0,0,19,16,1,42,33,28,,,0
Adama Boiro,ESP,DF,Athletic Club,22,12.2,3,0,0,13,8,1,31,11,11,,,0
Enzo Boyomo,CMR,DF,Valladolid,22,36.2,5,0,0,46,8,0,2,43,46,,,0
Darko BraЕЎanac,SRB,MF,LeganГ©s,32,18.0,4,0,0,38,13,4,11,17,14,,,0
Abel Bretones,ESP,"DF,MF",Osasuna,23,23.0,3,0,0,25,32,3,84,19,37,,,0
Tajon Buchanan,CAN,MF,Villarreal,25,4.6,2,0,0,12,20,5,16,3,5,,,0
Ante Budimir,CRO,FW,Osasuna,33,32.8,4,0,0,47,35,15,6,1,9,,,0
Manu Bueno,ESP,MF,Sevilla,20,1.6,0,0,0,2,3,0,1,0,3,,,0
Endika BujГЎn,ESP,FW,Athletic Club,21,0.1,0,0,0,0,0,0,1,0,0,,,0
Pau Cabanes,ESP,MF,AlavГ©s,19,3.9000000000000004,1,0,0,9,12,0,18,3,6,,,0
Leandro Cabrera,URU,DF,Espanyol,33,31.9,4,1,0,24,8,0,18,29,22,,,0
Fernando Calero,ESP,DF,Espanyol,28,7.9,1,0,0,6,8,0,2,15,9,,,0
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,21,12.2,2,0,0,21,31,1,2,19,26,,,0
Sergio Camello,ESP,FW,Rayo Vallecano,23,12.6,2,0,0,11,10,2,6,4,4,,,0
