Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value,league
Alvaro Fernandez,ESP,GK,Sevilla,26,9,8,747,8.3,16,1.93,34,20,58.8,2,1,5,3,37.5,2,2,0,0,0.0,2.0,ES1
Andre Ferreira,POR,GK,Valladolid,28,6,6,540,6.0,20,3.33,37,20,54.1,0,0,6,0,0.0,3,3,0,0,0.0,0.7,ES1
Fran,ESP,GK,Real Madrid,19,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,0.0,0.4,ES1
Paulo Gazzaniga,ARG,GK,Girona,32,36,36,3195,35.5,51,1.44,136,90,64.0,11,8,17,8,22.2,5,2,3,0,60.0,2.5,ES1
Dominik Greif,SVK,GK,Mallorca,27,31,31,2790,31.0,34,1.1,117,85,72.6,11,8,12,7,22.6,2,2,0,0,0.0,6.0,ES1
Vicente Guaita,ESP,GK,Celta Vigo,37,34,34,3060,34.0,48,1.41,126,81,64.3,14,7,13,8,23.5,3,3,0,0,0.0,0.7,ES1
Sergio Herrera,ESP,GK,Osasuna,31,37,37,3330,37.0,52,1.41,177,132,74.6,12,15,10,8,21.6,7,7,0,0,0.0,3.0,ES1
Dinko Horkas,CRO,GK,Las Palmas,25,13,11,1085,12.1,19,1.58,53,36,66.0,2,0,9,1,9.1,2,1,1,0,50.0,1.2,ES1
Karl Jakob Hein,EST,GK,Valladolid,22,31,31,2790,31.0,68,2.19,160,96,60.0,4,4,23,5,16.1,4,4,0,0,0.0,3.0,ES1
Luiz Lucio Reis Junior,BRA,GK,Villarreal,23,18,17,1548,17.2,18,1.0465116279069768,67,51,76.11940298507463,10,4,3,6,33.33333333333333,4,4,0,0,0.0,10.0,ES1
Vladyslav Krapyvtsov,UKR,GK,Girona,19,2,2,180,2.0,7,3.5,18,12,66.7,0,0,2,0,0.0,1,1,0,0,0.0,0.2,ES1
Pau Lopez,ESP,GK,Girona,29,1,0,45,0.5,2,4.0,3,1,33.3,0,0,0,0,0.0,0,0,0,0,0.0,2.5,ES1
Andriy Lunin,UKR,GK,Real Madrid,25,7,7,630,7.0,7,1.0,20,13,65.0,6,0,1,4,57.1,0,0,0,0,0.0,18.0,ES1
Giorgi Mamardashvili,GEO,GK,Valencia,23,34,34,3060,34.0,48,1.41,132,91,67.4,11,11,12,8,23.5,7,5,2,0,28.6,30.0,ES1
Unai Marrero,ESP,GK,Real Sociedad,22,2,2,180,2.0,3,1.5,10,8,70.0,0,0,2,0,0.0,1,0,1,0,100.0,0.6,ES1
Juan Musso,ARG,GK,Atlético Madrid,30,3,3,270,3.0,0,0.0,6,6,100.0,3,0,0,3,100.0,0,0,0,0,0.0,3.5,ES1
Ørjan Nyland,NOR,GK,Sevilla,33,30,30,2673,29.7,39,1.31,108,73,66.7,8,10,12,8,26.7,4,3,1,0,25.0,0.9,ES1
Jan Oblak,SVN,GK,Atlético Madrid,31,36,36,3240,36.0,30,0.83,111,86,77.5,20,10,6,15,41.7,5,5,0,0,0.0,20.0,ES1
Jesus Owono,EQG,GK,Alavés,23,6,5,487,5.4,7,1.29,13,7,53.8,1,1,3,0,0.0,1,1,0,0,0.0,0.9,ES1
Alex Padilla,ESP,GK,Athletic Club,20,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0,3.0,ES1
Inaki Pena,ESP,GK,Barcelona,25,16,15,1396,15.5,18,1.16,52,35,69.2,7,3,5,4,26.7,2,2,0,0,0.0,8.0,ES1
Arnau Rafus,ESP,GK,Valladolid,21,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,0.0,0.2,ES1
Alex Remiro,ESP,GK,Real Sociedad,29,36,36,3240,36.0,43,1.19,124,86,69.4,13,7,16,13,36.1,6,5,1,0,16.7,18.0,ES1
Adrian Rodriguez,ESP,GK,Alavés,23,2,1,122,1.4,2,1.48,5,4,80.0,0,1,0,1,100.0,1,1,0,0,0.0,0.2,ES1
Leo Roman,ESP,GK,Mallorca,24,7,7,630,7.0,10,1.43,49,40,81.6,2,1,4,2,28.6,1,1,0,0,0.0,5.0,ES1
Rui Silva,POR,GK,Sporting CP,30,32,32,2880,32.0,31,0.96875,82,58,70.73170731707317,17,10,5,10,31.25,7,7,0,0,0.0,7.0,PO1
Unai Simon,ESP,GK,Athletic Club,27,21,21,1890,21.0,14,0.67,59,47,78.0,10,8,3,10,47.6,2,1,1,0,50.0,28.0,ES1
Antonio Sivera,ESP,GK,Alavés,27,32,32,2810,31.2,39,1.25,106,75,71.7,9,10,13,9,28.1,9,9,0,0,0.0,6.0,ES1
David Soria,ESP,GK,Getafe,31,38,38,3420,38.0,39,1.03,119,89,73.9,11,9,18,9,23.7,9,8,1,0,11.1,3.0,ES1
Juan Soriano,ESP,GK,Leganés,26,6,6,540,6.0,7,1.17,26,19,73.1,1,2,3,1,16.7,0,0,0,0,0.0,1.0,ES1
Wojciech Szczesny,POL,GK,Barcelona,34,15,15,1350,15.0,12,0.8,32,21,65.6,14,1,0,8,53.3,1,1,0,0,0.0,1.0,ES1
Marc-Andre ter Stegen,GER,GK,Barcelona,32,8,8,674,7.5,9,1.2,22,14,63.6,7,0,1,1,12.5,1,1,0,0,0.0,12.0,ES1
Fran Vieites,ESP,GK,Real Betis,25,4,4,360,4.0,5,1.25,12,7,58.3,1,2,1,0,0.0,0,0,0,0,0.0,2.0,ES1
Ivan Villar,ESP,GK,Celta Vigo,27,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,0.9,ES1
Dimitry Bertaud,COD,GK,Montpellier,26,4,4,360,4.0,11,2.75,19,10,52.6,1,0,3,0,0.0,2,2,0,0,0.0,1.0,FR1
Marco Bizot,NED,GK,Brest,33,32,32,2880,32.0,54,1.69,121,76,62.0,14,5,13,10,31.3,10,8,1,1,11.1,3.0,FR1
Marcin Bulka,POL,GK,Nice,24,34,34,3060,34.0,41,1.21,158,120,75.3,17,9,8,8,23.5,3,2,1,0,33.3,20.0,FR1
Patrik Carlgren,SWE,GK,Nantes,32,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,0.0,0.6,FR1
Lucas Chevalier,FRA,GK,Lille,22,34,34,3060,34.0,36,1.06,127,94,74.8,17,9,8,11,32.4,4,4,0,0,0.0,30.0,FR1
