Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value,league
Matej Kovar,CZE,GK,Leverkusen,24,5,5,450,5.0,5,1.0,17,12,70.6,3,1,1,3,60.0,0,0,0,0,0.0,5.0,L1
Nediljko Labrovic,CRO,GK,Augsburg,24,15,15,1350,15.0,32,2.13,71,42,59.2,4,4,7,2,13.3,3,3,0,0,0.0,2.5,L1
Alexander Meyer,GER,GK,Dortmund,33,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,0.0,0.8,L1
Florian Muller,GER,GK,Freiburg,26,9,8,753,8.4,16,1.91,29,15,51.7,4,1,3,1,12.5,2,2,0,0,0.0,1.2,L1
Kevin Muller,GER,GK,Heidenheim,33,33,33,2939,32.7,64,1.96,164,106,64.6,7,5,21,8,24.2,6,6,0,0,0.0,0.7,L1
Marius Muller,GER,GK,Wolfsburg,31,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,0.0,1.5,L1
Manuel Neuer,GER,GK,Bayern Munich,38,22,22,1980,22.0,15,0.68,46,30,69.6,18,4,0,13,59.1,2,1,0,1,0.0,4.0,L1
Moritz Nicolas,GER,GK,Gladbach,26,19,19,1639,18.2,25,1.37,88,68,77.3,9,4,6,4,21.1,5,5,0,0,0.0,5.0,L1
Alexander Nubel,GER,GK,Stuttgart,27,34,34,3060,34.0,53,1.56,134,84,61.9,14,8,12,7,20.6,3,2,1,0,33.3,12.0,L1
Jonas Omlin,SUI,GK,Gladbach,30,12,11,978,10.9,29,2.67,72,46,62.5,2,1,8,1,9.1,3,2,1,0,33.3,2.5,L1
Daniel Peretz,ISR,GK,Bayern Munich,24,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,0.0,3.0,L1
Luca Philipp,GER,GK,Hoffenheim,23,6,6,540,6.0,15,2.5,34,20,58.8,1,3,2,0,0.0,1,1,0,0,0.0,0.75,L1
Lasse Riess,GER,GK,Mainz 05,23,2,2,180,2.0,2,1.0,8,6,75.0,1,1,0,0,0.0,0,0,0,0,0.0,0.4,L1
Frederik Ronnow,DEN,GK,Union Berlin,31,28,28,2520,28.0,37,1.32,104,72,65.4,8,10,10,8,28.6,5,1,4,0,80.0,3.0,L1
Kaua Santos,BRA,GK,Eintracht Frankfurt,21,9,8,765,8.5,12,1.41,48,37,77.1,5,1,2,3,37.5,1,1,0,0,0.0,2.5,L1
Alexander Schwolow,GER,GK,Union Berlin,32,6,6,540,6.0,13,2.17,27,15,55.6,2,0,4,0,0.0,1,1,0,0,0.0,0.5,L1
Tobias Sippel,GER,GK,Gladbach,36,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,0.0,0,0,0,0,0.0,0.3,L1
Kevin Trapp,GER,GK,Eintracht Frankfurt,34,26,26,2295,25.5,34,1.33,114,82,70.2,12,8,6,6,23.1,2,0,2,0,100.0,2.5,L1
Sven Ulreich,GER,GK,Bayern Munich,35,1,1,90,1.0,0,0.0,0,0,0.0,1,0,0,1,100.0,0,0,0,0,0.0,0.5,L1
Jonas Urbig,GER,GK,Bayern Munich,20,8,8,720,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,0.0,12.0,L1
Maarten Vandevoordt,BEL,GK,RB Leipzig,22,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,0.0,8.0,L1
Nikola Vasilj,BIH,GK,St Pauli,28,33,33,2969,33.0,39,1.18,127,93,70.1,8,7,18,9,27.3,5,1,4,0,80.0,3.5,L1
Timon Weiner,GER,GK,Holstein Kiel,25,25,25,2250,25.0,61,2.44,141,82,59.6,4,5,16,2,8.0,4,4,0,0,0.0,1.0,L1
Robin Zentner,GER,GK,Mainz 05,29,32,32,2880,32.0,41,1.28,137,101,73.0,13,9,10,9,28.1,5,4,1,0,20.0,4.0,L1
Michael Zetterer,GER,GK,Werder Bremen,29,34,34,3060,34.0,57,1.68,158,103,65.8,14,9,11,10,29.4,3,3,0,0,0.0,4.5,L1
Alisson,BRA,GK,Liverpool,31,28,28,2508,27.9,29,1.04,106,74,73.6,18,7,3,10,35.7,1,1,0,0,0.0,20.0,GB1
Alphonse Areola,FRA,GK,West Ham United,31,26,25,2260,25.1,41,1.63,121,80,66.1,5,7,13,5,20.0,0,0,0,0,0.0,9.0,GB1
Kepa Arrizabalaga,ESP,GK,Bournemouth,29,31,31,2790,31.0,39,1.26,132,97,73.5,13,7,11,8,25.8,4,4,0,0,0.0,10.0,GB1
Brandon Austin,ENG,GK,Tottenham Hotspur,25,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0.6,GB1
Daniel Bentley,ENG,GK,Wolves,31,2,2,180,2.0,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,0.0,1.5,GB1
Martin Dubravka,SVK,GK,Newcastle United,35,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,0.0,1.0,GB1
Ederson,BRA,GK,Manchester City,30,26,26,2320,25.8,26,1.01,78,54,69.2,16,4,6,10,38.5,2,2,0,0,0.0,20.0,GB1
Lukasz Fabianski,POL,GK,West Ham United,39,14,13,1160,12.9,21,1.63,68,50,73.5,6,3,4,3,23.1,3,3,0,0,0.0,0.5,GB1
Mark Flekken,NED,GK,Brentford,31,37,37,3275,36.4,55,1.51,207,152,73.9,16,8,13,8,21.6,1,1,0,0,0.0,10.0,GB1
Fraser Forster,ENG,GK,Tottenham Hotspur,36,7,7,630,7.0,15,2.14,42,28,69.0,1,2,4,1,14.3,2,2,0,0,0.0,1.0,GB1
Dean Henderson,ENG,GK,Crystal Palace,27,38,38,3420,38.0,51,1.34,152,102,67.1,13,14,11,11,28.9,2,1,1,0,50.0,20.0,GB1
Mads Hermansen,DEN,GK,Leicester City,24,27,27,2385,26.5,58,2.19,156,102,64.7,3,6,18,1,3.7,4,3,1,0,25.0,15.0,GB1
Vitezslav Jaros,CZE,GK,Liverpool,23,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,0.0,0,0,0,0,0.0,4.0,GB1
Sam Johnstone,ENG,GK,Wolves,31,7,7,630,7.0,17,2.43,38,23,60.5,0,1,6,0,0.0,2,2,0,0,0.0,6.0,GB1
Filip Jorgensen,DEN,GK,Chelsea,22,6,6,540,6.0,9,1.5,28,20,71.4,3,0,3,1,16.7,1,1,0,0,0.0,18.0,GB1
Tom King,WAL,GK,Wolves,29,1,0,1,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.2,GB1
Antonin Kinsky,CZE,GK,Tottenham Hotspur,21,6,6,540,6.0,11,1.83,35,24,68.6,1,0,5,1,16.7,0,0,0,0,0.0,15.0,GB1
Bernd Leno,GER,GK,Fulham,32,38,38,3420,38.0,54,1.42,158,107,67.7,15,9,14,5,13.2,4,3,1,0,25.0,10.0,GB1
Joe Lumley,ENG,GK,Southampton,29,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,0.0,0.5,GB1
Alex McCarthy,ENG,GK,Southampton,34,5,5,450,5.0,13,2.6,35,24,68.6,0,0,5,0,0.0,2,2,0,0,0.0,0.35,GB1
Arijanet Muric,KVX,GK,Ipswich Town,25,18,18,1620,18.0,33,1.83,100,70,70.0,2,6,10,1,5.6,3,3,0,0,0.0,5.0,GB1
Neto,BRA,GK,Bournemouth,35,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,0.0,1.5,GB1
Robin Olsen,SWE,GK,Aston Villa,34,4,1,226,2.5,6,2.39,13,8,61.5,1,0,0,1,100.0,1,1,0,0,0.0,1.0,GB1
Andre Onana,CMR,GK,Manchester Utd,28,34,34,3060,34.0,44,1.29,129,88,68.2,10,9,15,9,26.5,4,3,1,0,25.0,25.0,GB1
Stefan Ortega,GER,GK,Manchester City,31,13,12,1100,12.2,18,1.47,49,33,67.3,5,4,3,3,25.0,2,2,0,0,0.0,8.0,GB1
Alex Palmer,ENG,GK,Ipswich Town,27,13,13,1170,13.0,30,2.31,74,45,60.8,1,3,9,0,0.0,1,1,0,0,0.0,1.0,GB1
Jordan Pickford,ENG,GK,Everton,30,38,38,3420,38.0,44,1.16,161,119,72.7,11,15,12,12,31.6,2,0,2,0,100.0,18.0,GB1
Nick Pope,ENG,GK,Newcastle United,32,28,28,2520,28.0,35,1.25,120,87,71.7,13,6,9,8,28.6,2,1,1,0,50.0,8.0,GB1
Aaron Ramsdale,ENG,GK,Southampton,26,30,30,2700,30.0,66,2.2,182,123,66.5,2,5,23,3,10.0,7,5,2,0,28.6,16.0,GB1
David Raya,ESP,GK,Arsenal,28,38,38,3420,38.0,34,0.89,117,86,73.5,20,14,4,13,34.2,3,3,0,0,0.0,40.0,GB1
Jose Sa,POR,GK,Wolves,31,29,29,2609,29.0,48,1.66,110,69,60.9,11,5,13,7,24.1,7,5,2,0,28.6,7.0,GB1
Robert Sanchez,ESP,GK,Chelsea,26,32,32,2880,32.0,34,1.06,123,94,75.6,17,9,6,10,31.3,5,4,1,0,20.0,20.0,GB1
Matz Sels,BEL,GK,Nottingham Forest,32,38,38,3420,38.0,46,1.21,163,119,73.6,19,8,11,13,34.2,3,3,0,0,0.0,7.0,GB1
Jason Steele,ENG,GK,Brighton,33,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,0.0,1.5,GB1
Jakub Stolarczyk,POL,GK,Leicester City,23,10,10,900,10.0,16,1.6,44,28,63.6,3,1,6,2,20.0,0,0,0,0,0.0,1.0,GB1
Mark Travers,IRL,GK,Bournemouth,25,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,0.0,4.0,GB1
Bart Verbruggen,NED,GK,Brighton,21,36,36,3240,36.0,58,1.61,140,89,65.0,14,13,9,7,19.4,9,9,0,0,0.0,30.0,GB1
Guglielmo Vicario,ITA,GK,Tottenham Hotspur,27,24,24,2160,24.0,37,1.54,104,68,65.4,9,3,12,4,16.7,1,1,0,0,0.0,32.0,GB1
Christian Walton,ENG,GK,Ipswich Town,28,7,7,630,7.0,19,2.71,37,20,54.1,1,1,5,1,14.3,2,2,0,0,0.0,1.0,GB1
Danny Ward,WAL,GK,Leicester City,31,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,0.0,1.2,GB1
Plamen Andreev,BUL,GK,Feyenoord,19,1,1,90,1.0,2,2.0,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0,1.5,NL1
Nordin Bakker,NED,GK,Almere City,26,34,34,3050,33.9,64,1.89,183,119,65.0,4,10,20,7,20.6,0,0,0,0,0.0,0.7,NL1
Vasilios Barkas,GRE,GK,Utrecht,30,31,31,2790,31.0,44,1.42,140,99,70.7,16,9,6,7,22.6,3,3,0,0,0.0,3.5,NL1
Walter Benitez,ARG,GK,PSV,31,34,34,3015,33.5,39,1.16,102,65,63.7,25,4,5,9,26.5,2,2,0,0,0.0,7.5,NL1
Daniel Bielica,POL,GK,NAC Breda,25,32,32,2880,32.0,52,1.62,158,112,70.9,8,9,15,5,15.6,6,6,0,0,0.0,1.0,NL1
Justin Bijlow,NED,GK,Feyenoord,26,4,4,360,4.0,8,2.0,16,8,50.0,1,1,2,0,0.0,0,0,0,0,0.0,5.0,NL1
Mattijs Branderhorst,NED,GK,Fortuna Sittard,30,28,28,2520,28.0,39,1.39,130,93,71.5,10,7,11,10,35.7,2,2,0,0,0.0,0.8,NL1
Michael Brouwer,NED,GK,Utrecht,31,3,3,270,3.0,1,0.33,9,9,100.0,2,1,0,2,66.7,1,1,0,0,0.0,0.4,NL1
Jari De Busser,BEL,GK,Go Ahead Eagles,24,16,16,1440,16.0,23,1.44,89,67,75.3,7,5,4,5,31.3,1,1,0,0,0.0,2.0,NL1
Mickey van der Hart,NED,GK,Heerenveen,30,19,18,1695,18.8,33,1.75,103,72,70.9,5,6,7,3,16.7,3,3,0,0,0.0,0.5,NL1
Thomas Didillon,FRA,GK,Willem II,28,34,34,3060,34.0,56,1.65,178,128,71.9,6,8,20,5,14.7,6,6,0,0,0.0,0.9,NL1
Joel Drommel,NED,GK,PSV,27,1,0,45,0.5,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,1.5,NL1
Stijn van Gassel,NED,GK,NEC Nijmegen,27,2,2,180,2.0,4,2.0,14,11,78.6,0,0,2,0,0.0,1,1,0,0,0.0,0.45,NL1
Mike Hauptmeijer,NED,GK,Zwolle,27,4,4,360,4.0,6,1.5,16,10,62.5,2,1,1,0,0.0,1,0,0,1,0.0,0.1,NL1
Jeroen Houwen,NED,GK,RKC Waalwijk,28,24,24,2160,24.0,48,2.0,134,88,65.7,4,4,16,4,16.7,2,2,0,0,0.0,0.4,NL1
Hidde Jurjus,NED,GK,Groningen,30,2,2,180,2.0,3,1.5,7,4,57.1,0,0,2,0,0.0,0,0,0,0,0.0,0.3,NL1
Fabian de Keijzer,NED,GK,Heracles Almelo,24,34,34,3060,34.0,63,1.85,186,129,69.4,9,11,14,6,17.6,6,6,0,0,0.0,1.5,NL1
Joey Kesting,NED,GK,RKC Waalwijk,23,3,3,270,3.0,5,1.67,10,8,80.0,0,2,1,0,0.0,3,3,0,0,0.0,0.05,NL1
Luuk Koopmans,NED,GK,Fortuna Sittard,30,6,6,540,6.0,15,2.5,32,19,56.3,1,1,4,0,0.0,2,1,1,0,50.0,0.2,NL1
Roy Kortsmit,NED,GK,NAC Breda,31,1,1,90,1.0,3,3.0,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0,0.2,NL1
Kostas Lamprou,GRE,GK,NAC Breda,32,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,0.0,0.2,NL1
Matheus,BRA,GK,Braga,32,26,26,2340,26.0,28,1.0769230769230769,88,62,70.45454545454545,15,6,5,11,42.30769230769231,2,2,0,0,0.0,2.5,PO1
Andries Noppert,NED,GK,Heerenveen,30,16,16,1365,15.2,24,1.58,67,44,65.7,7,1,8,4,25.0,1,1,0,0,0.0,1.0,NL1
Nick Olij,NED,GK,Sparta Rotterdam,28,34,34,3060,34.0,43,1.26,147,109,73.5,9,12,13,6,17.6,5,4,1,0,20.0,3.5,NL1
Yanick van Osch,NED,GK,RKC Waalwijk,27,3,3,270,3.0,9,3.0,24,16,66.7,0,1,2,0,0.0,1,1,0,0,0.0,0.35,NL1
Rome-Jayden Owusu-Oduro,NED,GK,AZ Alkmaar,20,28,28,2520,28.0,34,1.21,85,53,61.2,11,9,8,9,32.1,3,1,1,1,50.0,6.0,NL1
Remko Pasveer,NED,GK,Ajax,40,24,24,2160,24.0,23,0.96,90,67,74.4,17,4,3,11,45.8,0,0,0,0,0.0,0.15,NL1
Luca Plogmann,GER,GK,Go Ahead Eagles,24,18,18,1620,18.0,32,1.78,78,49,62.8,7,4,7,4,22.2,3,3,0,0,0.0,0.5,NL1
Diant Ramaj,GER,GK,Ajax,22,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0,7.0,NL1
Robin Roefs,NED,GK,NEC Nijmegen,21,32,32,2880,32.0,42,1.31,154,113,73.4,12,7,13,10,31.3,1,1,0,0,0.0,4.0,NL1
Jasper Schendelaar,NED,GK,Zwolle,23,30,30,2700,30.0,45,1.5,143,101,70.6,8,10,12,6,20.0,5,3,0,2,0.0,2.5,NL1
Mark Spenkelink,NED,GK,RKC Waalwijk,27,4,4,360,4.0,12,3.0,22,12,54.5,2,0,2,0,0.0,2,2,0,0,0.0,0.1,NL1
Przemyslaw Tyton,POL,GK,Twente,37,3,3,270,3.0,10,3.33,19,9,47.4,1,0,2,0,0.0,0,0,0,0,0.0,0.075,NL1
Lars Unnerstall,GER,GK,Twente,34,31,31,2790,31.0,39,1.26,101,64,63.4,14,9,8,11,35.5,2,2,0,0,0.0,2.0,NL1
Etienne Vaessen,SUR,GK,Groningen,29,32,32,2880,32.0,50,1.56,137,92,67.2,10,9,13,7,21.9,6,5,1,0,16.7,2.0,NL1
Timon Wellenreuther,GER,GK,Feyenoord,28,29,29,2610,29.0,28,0.97,96,70,71.9,19,7,3,10,34.5,2,1,1,0,50.0,6.0,NL1
Jonas Wendlinger,AUT,GK,Almere City,24,1,0,10,0.1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.125,NL1
Jeroen Zoet,NED,GK,AZ Alkmaar,33,6,6,540,6.0,3,0.5,13,10,76.9,5,0,1,3,50.0,0,0,0,0,0.0,0.3,NL1
Andrew,BRA,GK,Gil Vicente FC,23,33,33,2970,33.0,46,1.39,122,81,67.2,8,9,16,7,21.2,7,6,0,1,0.0,4.0,PO1
Brian Araujo,FRA,GK,Gil Vicente FC,24,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,0.0,0.3,PO1
Daniel Azevedo,POR,GK,Casa Pia,26,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0.1,PO1
Gabriel Batista,BRA,GK,Santa Clara,26,34,34,3060,34.0,32,0.94,108,81,74.1,17,6,11,11,32.4,6,4,1,1,20.0,4.0,PO1
Ricardo Batista,POR,GK,Casa Pia,37,1,1,90,1.0,1,1.0,1,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,0.1,PO1
Simao Bertelli,BRA,GK,AVS Futebol,31,11,11,990,11.0,15,1.36,54,42,75.9,1,6,4,2,18.2,3,2,1,0,33.3,0.3,PO1
Bruno Brigido,BRA,GK,Estrela,33,18,18,1575,17.5,30,1.71,84,56,66.7,4,4,10,2,11.1,2,2,0,0,0.0,0.2,PO1
Lazar Carevic,MNE,GK,Famalicão,25,18,18,1620,18.0,21,1.17,70,53,74.3,7,4,7,7,38.9,4,3,1,0,25.0,1.5,PO1
Cesar,BRA,GK,Boavista,32,16,16,1440,16.0,30,1.87,78,51,65.4,1,4,11,2,12.5,3,3,0,0,0.0,0.3,PO1
Kevin Chamorro,CRC,GK,Estoril,24,4,4,360,4.0,3,0.75,11,9,81.8,2,1,1,2,50.0,1,1,0,0,0.0,0.3,PO1
Diogo Costa,POR,GK,Porto,24,32,32,2880,32.0,27,0.84,78,58,71.8,21,5,6,16,50.0,7,5,2,0,28.6,40.0,PO1
Joao Paulo Santos Costa,POR,GK,Estrela,28,14,14,1260,14.0,17,1.21,51,38,72.5,3,3,8,4,28.6,4,3,1,0,25.0,0.8,PO1
Rui Encarnacao,POR,GK,Nacional,26,2,1,135,1.5,4,2.67,5,3,60.0,0,0,1,0,0.0,2,2,0,0,0.0,0.2,PO1
Daniel Figueira,POR,GK,Estoril,26,1,1,90,1.0,4,4.0,6,3,50.0,0,0,1,0,0.0,1,1,0,0,0.0,0.75,PO1
Lucas Franca,BRA,GK,Nacional,28,33,33,2925,32.5,46,1.42,143,104,72.7,9,7,17,8,24.2,9,7,0,2,0.0,1.0,PO1
Joao Goncalves,POR,GK,Boavista,23,4,4,360,4.0,2,0.5,8,6,75.0,1,1,2,2,50.0,0,0,0,0,0.0,0.7,PO1
Marko Gudzulic,SRB,GK,Estrela,22,2,2,180,2.0,3,1.5,8,6,62.5,0,1,1,1,50.0,1,0,1,0,100.0,0.2,PO1
Lukas Hornicek,CZE,GK,Braga,22,17,17,1530,17.0,11,0.65,58,47,82.8,10,5,2,8,47.1,1,1,0,0,0.0,6.0,PO1
Franco Israel,URU,GK,Sporting CP,24,11,11,990,11.0,9,0.82,25,15,64.0,9,2,0,7,63.6,0,0,0,0,0.0,5.0,PO1
Jhonatan,BRA,GK,Rio Ave,33,8,8,720,8.0,13,1.62,43,30,69.8,2,2,4,2,25.0,0,0,0,0,0.0,0.3,PO1
Kaique,BRA,GK,Farense,21,6,6,540,6.0,6,1.0,20,15,70.0,3,0,3,1,16.7,1,0,1,0,100.0,0.6,PO1
Kewin,BRA,GK,Moreirense,28,29,29,2610,29.0,42,1.45,112,72,65.2,9,7,13,6,20.7,3,3,0,0,0.0,1.0,PO1
Vladan Kovacevic,BIH,GK,Sporting CP,26,6,6,540,6.0,5,0.83,16,11,68.8,4,0,2,2,33.3,0,0,0,0,0.0,3.0,PO1
Nico Mantl,GER,GK,Arouca,24,29,29,2610,29.0,43,1.48,117,82,70.1,8,8,13,7,24.1,8,8,0,0,0.0,1.5,PO1
Francisco Meixedo,POR,GK,Estrela,23,1,0,45,0.5,0,0.0,3,3,100.0,0,0,0,1,0.0,0,0,0,0,0.0,0.2,PO1
Mika,POR,GK,Moreirense,33,1,0,3,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0.1,PO1
Cezary Miszta,POL,GK,Rio Ave,22,26,26,2325,25.8,42,1.63,129,90,69.8,7,9,10,3,11.5,3,3,0,0,0.0,3.0,PO1
Guillermo Ochoa,MEX,GK,AVS Futebol,39,23,23,2070,23.0,45,1.96,118,74,62.7,4,6,13,6,26.1,1,1,0,0,0.0,0.5,PO1
Claudio Ramos,POR,GK,Porto,32,2,2,180,2.0,3,1.5,7,5,71.4,1,0,1,0,0.0,1,1,0,0,0.0,1.2,PO1
Joel Robles,ESP,GK,Estoril,34,29,29,2610,29.0,46,1.59,122,82,66.4,10,9,10,5,17.2,6,5,1,0,16.7,0.5,PO1
Caio Secco,BRA,GK,Moreirense,33,5,5,447,5.0,8,1.61,21,15,71.4,1,3,1,1,20.0,2,2,0,0,0.0,0.2,PO1
Patrick Sequeira,CRC,GK,Casa Pia,25,32,32,2880,32.0,41,1.28,152,117,77.0,12,9,11,7,21.9,7,6,0,1,0.0,4.0,PO1
Samuel Soares,POR,GK,Benfica,22,2,2,180,2.0,0,0.0,3,4,100.0,2,0,0,2,100.0,1,0,1,0,100.0,4.0,PO1
Matheus Teixeira,BRA,GK,Rio Ave,25,1,0,15,0.2,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.4,PO1
Tome,POR,GK,Boavista,17,2,2,180,2.0,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,0.0,0.2,PO1
Anatolii Trubin,UKR,GK,Benfica,22,32,32,2880,32.0,28,0.87,97,72,73.2,23,5,4,13,40.6,3,2,1,0,33.3,28.0,PO1
Joao Valido,POR,GK,Arouca,24,5,5,450,5.0,6,1.2,19,14,73.7,1,3,1,1,20.0,1,1,0,0,0.0,0.3,PO1
Bruno Varela,CPV,GK,Vitoria Guimarães,29,34,34,3060,34.0,37,1.09,98,63,67.3,14,12,8,13,38.2,7,5,0,2,0.0,2.5,PO1
Ricardo Velho,POR,GK,Farense,25,28,28,2520,28.0,40,1.43,123,89,72.4,3,9,16,6,21.4,7,6,0,1,0.0,4.0,PO1
Ivan Zlobin,RUS,GK,Famalicão,27,15,15,1350,15.0,18,1.2,62,45,72.6,4,7,4,5,33.3,1,1,0,0,0.0,1.5,PO1
