Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Noah Atubolu,GER,GK,Freiburg,22,26,26,2307,25.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ayman Azhil,MAR,MF,Dortmund,23,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,2,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Adam Aznou,MAR,DF,Bayern Munich,18,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Aliou Badara Balde,GUI,"MF,FW",Bochum,21,5,0,91,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,1,5,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.35,0.18,0.35,0.8,0,1,0,2,4,0,1,0,4,1,25.0,3.96,0.99,0.0,0.0
Ridle Baku,GER,"DF,MF",RB Leipzig,26,34,29,2445,27.2,4,4,8,4,0,0,3,0,2.9,2.9,2.8,5.6,37,85,175,0.15,0.15,0.29,0.15,0.29,0.11,0.1,0.21,0.11,0.21,9.0,0,26,24,4,69,25,35,0,35,11,31.43,1.29,0.4,0.11,0.36
Samuel Bamba,GER,"FW,MF",Bochum,20,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.35,0.1,0.45,0.35,0.45,0.5,0,0,1,1,5,0,1,0,2,1,50.0,6.67,3.33,0.0,0.0
Noahkai Banks,USA,DF,Augsburg,17,8,2,278,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,6.0,0,2,1,0,2,5,5,1,1,0,0.0,0.32,0.0,0.0,0.0
Scott Banks,SCO,"FW,MF",St. Pauli,22,12,0,116,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,1,8,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,0.5,0,2,4,0,6,2,1,0,3,0,0.0,2.33,0.0,0.0,0.0
Aymen Barkok,MAR,MF,Mainz 05,26,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.5,0,2,1,0,5,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Michy Batshuayi,BEL,FW,Eint Frankfurt,30,10,3,300,3.3,3,0,3,3,0,0,2,0,1.2,1.2,0.0,1.3,3,8,15,0.9,0.0,0.9,0.9,0.9,0.36,0.01,0.38,0.36,0.38,4.0,0,6,2,4,1,1,1,0,5,3,60.0,1.5,0.9,0.6,1.0
Maximilian Bauer,GER,DF,Augsburg,24,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,2.0,0,7,13,1,4,5,9,0,1,1,100.0,0.14,0.14,0.0,0.0
Oliver Baumann,GER,GK,Hoffenheim,34,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,3.0,0,0,6,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0
Christoph Baumgartner,AUT,MF,RB Leipzig,24,31,18,1610,17.9,2,1,3,2,0,0,5,0,4.5,4.5,1.3,5.8,37,53,95,0.11,0.06,0.17,0.11,0.17,0.25,0.07,0.33,0.25,0.33,12.0,0,44,29,4,14,12,25,0,39,15,38.5,2.18,0.84,0.05,0.13
Ihlas Bebou,TOG,MF,Hoffenheim,30,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Adrian Beck,GER,"MF,FW",Heidenheim,27,32,18,1598,17.8,4,1,5,4,0,0,1,0,3.3,3.3,1.2,4.5,37,69,83,0.23,0.06,0.28,0.23,0.28,0.18,0.07,0.25,0.18,0.25,2.0,0,16,14,2,31,9,17,0,39,13,33.3,2.2,0.73,0.1,0.31
Timo Becker,GER,DF,Holstein Kiel,27,30,28,2445,27.2,0,2,2,0,0,0,2,0,1.4,1.4,0.8,2.2,28,57,38,0.0,0.07,0.07,0.0,0.07,0.05,0.03,0.08,0.05,0.08,1.5,0,9,9,0,22,17,35,0,17,4,23.5,0.63,0.15,0.0,0.0
Hannes Behrens,GER,DF,Hoffenheim,19,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0,0,1,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Kevin Behrens,GER,FW,Wolfsburg,33,18,0,170,1.9,1,0,1,1,0,0,2,0,2.3,2.3,0.1,2.4,2,4,18,0.53,0.0,0.53,0.53,0.53,1.24,0.06,1.3,1.24,1.3,1.0,0,4,1,0,0,1,1,0,9,3,33.3,4.76,1.59,0.11,0.33
Maximilian Beier,GER,"FW,MF",Dortmund,21,29,17,1591,17.7,8,5,13,8,0,0,2,0,7.7,7.7,3.3,11.0,24,33,124,0.45,0.28,0.74,0.45,0.74,0.44,0.19,0.62,0.44,0.62,25.0,0,17,16,9,18,7,15,0,42,13,31.0,2.38,0.74,0.19,0.62
Stefan Bell,GER,DF,Mainz 05,32,18,15,1436,16.0,0,1,1,0,0,0,4,0,0.8,0.8,1.0,1.8,8,38,5,0.0,0.06,0.06,0.0,0.06,0.05,0.06,0.11,0.05,0.11,0.8,0,24,10,3,0,28,11,0,12,4,33.3,0.75,0.25,0.0,0.0
Jeanuel Belocian,FRA,"DF,MF",Leverkusen,19,5,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,1,4,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Laszlo Benes,SVK,"MF,FW",Union Berlin,26,23,3,589,6.5,2,1,3,2,0,0,4,0,0.9,0.9,1.0,1.9,6,28,34,0.31,0.15,0.46,0.31,0.46,0.14,0.15,0.29,0.14,0.29,3.0,0,10,4,1,49,4,3,0,19,7,36.8,2.9,1.07,0.11,0.29
