Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Daniel Peretz,ISR,GK,Bayern Munich,24,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,0.0,3.0
Luca Philipp,GER,GK,Hoffenheim,23,6,6,540,6.0,15,2.5,34,20,58.8,1,3,2,0,0.0,1,1,0,0,0.0,0.75
Lasse Riess,GER,GK,Mainz 05,23,2,2,180,2.0,2,1.0,8,6,75.0,1,1,0,0,0.0,0,0,0,0,0.0,0.4
Frederik Ronnow,DEN,GK,Union Berlin,31,28,28,2520,28.0,37,1.32,104,72,65.4,8,10,10,8,28.6,5,1,4,0,80.0,3.0
Kaua Santos,BRA,GK,Eintracht Frankfurt,21,9,8,765,8.5,12,1.41,48,37,77.1,5,1,2,3,37.5,1,1,0,0,0.0,2.5
Alexander Schwolow,GER,GK,Union Berlin,32,6,6,540,6.0,13,2.17,27,15,55.6,2,0,4,0,0.0,1,1,0,0,0.0,0.5
Tobias Sippel,GER,GK,Gladbach,36,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,0.0,0.3
Kevin Trapp,GER,GK,Eintracht Frankfurt,34,26,26,2295,25.5,34,1.33,114,82,70.2,12,8,6,6,23.1,2,0,2,0,100.0,2.5
Sven Ulreich,GER,GK,Bayern Munich,35,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,0.0,0.5
Jonas Urbig,GER,GK,Bayern Munich,20,8,8,720,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,0.0,12.0
Maarten Vandevoordt,BEL,GK,RB Leipzig,22,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,0.0,8.0
Nikola Vasilj,BIH,GK,St Pauli,28,33,33,2969,33.0,39,1.18,127,93,70.1,8,7,18,9,27.3,5,1,4,0,80.0,3.5
Timon Weiner,GER,GK,Holstein Kiel,25,25,25,2250,25.0,61,2.44,141,82,59.6,4,5,16,2,8.0,4,4,0,0,0.0,1.0
Robin Zentner,GER,GK,Mainz 05,29,32,32,2880,32.0,41,1.28,137,101,73.0,13,9,10,9,28.1,5,4,1,0,20.0,4.0
Michael Zetterer,GER,GK,Werder Bremen,29,34,34,3060,34.0,57,1.68,158,103,65.8,14,9,11,10,29.4,3,3,0,0,0.0,4.5
