Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Vitor Reis,BRA,DF,Palmeiras,18,18,16,1458,16.2,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.6,3,46,1,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,0.0,0,24,10,0,0,14,13,0
Robert Renan,BRA,DF,Internacional,20,12,10,959,10.7,0,1,1,0,0,0,2,0,0.6,0.6,0.3,0.9,16,45,15,0.0,0.09,0.09,0.0,0.09,0.06,0.02,0.08,0.06,0.08,2.0,0,13,0,0,12,16,19,0
Rene,BRA,DF,Internacional,31,15,12,1043,11.6,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,33,93,27,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,0.13,0.9,0,12,16,0,20,19,20,0
Rezende,BRA,"MF,DF",Bahia,29,18,4,574,6.4,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,2,22,1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,0.75,0,13,13,0,0,8,15,0
Rhaldney,BRA,MF,Atl Goianiense,25,32,28,2157,24.0,0,1,1,0,0,0,10,0,1.1,1.1,1.0,2.1,40,132,74,0.0,0.04,0.04,0.0,0.04,0.05,0.04,0.09,0.05,0.09,0.6,0,57,39,1,11,13,46,0
Everton Ribeiro,BRA,MF,Bahia,34,37,34,2681,29.8,2,5,7,2,0,0,4,0,1.5,1.5,4.6,6.1,85,325,162,0.07,0.17,0.23,0.07,0.23,0.05,0.15,0.2,0.05,0.2,4.5,0,37,70,1,57,36,36,0
Ricardo,BRA,MF,Vitoria,29,19,14,1043,11.6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.8,5,54,12,0.0,0.09,0.09,0.0,0.09,0.02,0.05,0.07,0.02,0.07,0.9,0,17,14,0,8,13,26,0
Joao Ricardo Riedi,BRA,GK,Fortaleza,35,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0,0,5,0,0,0,1,0
Charles Rigon Matos,BRA,MF,Corinthians,27,13,5,554,6.2,1,0,1,1,0,0,4,0,0.3,0.3,0.2,0.5,6,30,19,0.16,0.0,0.16,0.16,0.16,0.05,0.03,0.08,0.05,0.08,0.6,0,11,7,2,9,9,25,0
Rikelme,BRA,DF,Cuiabá,20,8,5,497,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,10,14,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,0.1,0,6,4,1,18,11,8,0
Rildo,BRA,"FW,MF",Juventude,24,6,0,119,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,5,3,10,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.26,0.2,0.26,1.2,0,4,4,0,1,1,1,0
Richard Rios,COL,MF,Palmeiras,23,24,20,1742,19.4,3,4,7,3,0,0,6,0,1.2,1.2,1.4,2.6,27,103,51,0.15,0.21,0.36,0.15,0.36,0.06,0.07,0.14,0.06,0.14,0.3,0,45,35,1,35,20,36,0
Riquelme,BRA,MF,RB Bragantino,18,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
Robert,BRA,"MF,FW",Cruzeiro,18,12,3,396,4.4,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,17,7,34,0.0,0.23,0.23,0.0,0.23,0.07,0.06,0.13,0.07,0.13,0.0,0,2,3,1,5,1,1,0
Jhonata Robert,BRA,MF,Criciúma,24,6,1,159,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,9,15,21,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.16,0.14,0.16,1.0,0,1,10,0,12,1,6,0
Kaique Rocha,BRA,DF,Ath Paranaense,22,29,28,2486,27.6,0,1,1,0,0,0,3,0,1.4,1.4,1.3,2.8,11,84,5,0.0,0.04,0.04,0.0,0.04,0.05,0.05,0.1,0.05,0.1,1.0,0,18,10,1,5,35,28,0
Marcos Rocha,BRA,DF,Palmeiras,35,28,20,1936,21.5,0,2,2,0,0,0,5,1,0.3,0.3,3.7,3.9,35,150,74,0.0,0.09,0.09,0.0,0.09,0.01,0.17,0.18,0.01,0.18,1.2,0,29,14,2,53,34,32,0
Pedro Rocha Neves,BRA,"FW,MF",Fortaleza,29,11,1,222,2.4,0,1,1,0,0,0,0,0,0.7,0.7,0.6,1.2999999999999998,7,5,16,0.0,0.42,0.42,0.0,0.42,0.29,0.25,0.54,0.29,0.54,2.0,0,4,4,0,6,0,3,0
Sergio Rochet,URU,GK,Internacional,30,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,7,0,0,1,1,0
Yeferson Rodallega,COL,DF,Atl Goianiense,23,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,4,0,1,0
Rodrigo,BRA,MF,São Paulo,19,4,0,71,0.8,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,5,1,4,0.0,0.0,0.0,0.0,0.0,0.59,0.04,0.63,0.59,0.63,7.0,0,1,2,0,3,1,2,0
Arthur Rodrigues,BRA,"FW,MF",Cruzeiro,19,3,0,82,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,0,3,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,0.0,0,1,0,2,0,0,0,0
Emerson Rodriguez,COL,FW,Vasco da Gama,23,15,9,795,8.8,2,0,2,2,0,0,1,0,1.4,1.4,0.5,1.9,30,12,90,0.23,0.0,0.23,0.23,0.23,0.16,0.06,0.22,0.16,0.22,2.5,0,6,7,5,28,5,5,0
Emiliano Rodriguez,URU,FW,Atl Goianiense,20,21,14,1096,12.2,0,0,0,0,0,0,2,0,2.8,2.8,0.5,3.4,10,13,64,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.27,0.23,0.27,0.25,0,10,22,8,7,1,2,0
James Rodriguez,COL,MF,São Paulo,32,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0,1,5,0,0,0
Luciano Rodriguez,URU,"FW,MF",Bahia,20,19,8,900,10.0,6,1,7,5,1,1,2,0,5.8,5.0,1.1,6.1,23,28,70,0.6,0.1,0.7,0.5,0.6,0.58,0.11,0.69,0.5,0.61,0.3,0,5,30,3,11,3,5,0
Agustin Rogel,URU,DF,Internacional,26,15,13,1055,11.7,0,1,1,0,0,0,2,1,1.1,1.1,0.1,1.1,1,24,0,0.0,0.09,0.09,0.0,0.09,0.09,0.01,0.1,0.09,0.1,4.5,0,17,5,0,1,9,7,0
Robert Rojas,PAR,DF,Vasco da Gama,27,6,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,2,0,0,1,2,3,0
Guilherme Romao,BRA,DF,Atl Goianiense,26,32,32,2766,30.7,1,3,4,1,0,0,5,0,1.9,1.9,2.8,4.7,68,127,127,0.03,0.1,0.13,0.03,0.13,0.06,0.09,0.15,0.06,0.15,0.4,0,23,52,4,65,27,17,0
Angel Romero,PAR,FW,Corinthians,31,28,16,1449,16.1,5,4,9,5,0,1,6,0,5.2,4.4,2.8,7.2,33,53,141,0.31,0.25,0.56,0.31,0.56,0.32,0.17,0.5,0.28,0.45,2.3,0,20,42,9,53,5,9,0
Lucas Romero,ARG,MF,Cruzeiro,29,33,31,2531,28.1,0,2,2,0,0,0,8,1,0.7,0.7,0.8,1.5,22,159,26,0.0,0.07,0.07,0.0,0.07,0.02,0.03,0.05,0.02,0.05,3.2,1,42,26,0,7,17,45,0
Oscar Romero,PAR,"MF,FW",Botafogo (RJ),31,19,6,678,7.5,1,4,5,0,1,1,5,0,1.4,0.6,1.5,2.1,12,52,54,0.13,0.53,0.66,0.0,0.53,0.19,0.19,0.38,0.08,0.28,3.5,0,12,17,0,49,6,11,0
Romulo,BRA,DF,Atlético Mineiro,20,8,5,495,5.5,1,0,1,1,0,0,4,1,0.5,0.5,0.6,1.1,8,34,4,0.18,0.0,0.18,0.18,0.18,0.09,0.1,0.19,0.09,0.19,0.0,1,9,1,0,4,12,9,0
Romulo,BRA,MF,Internacional,23,30,20,1794,19.9,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,13,73,14,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,0.2,0,38,17,1,3,36,31,0
Romulo,BRA,"FW,MF",Palmeiras,22,9,1,178,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,5,5,28,0.0,0.0,0.0,0.0,0.0,0.03,0.19,0.22,0.03,0.22,0.3,0,4,4,0,14,1,4,0
Ronald,BRA,MF,Criciúma,26,30,15,1510,16.8,1,2,3,1,0,0,6,0,0.8,0.8,1.5,2.4,34,64,58,0.06,0.12,0.18,0.06,0.18,0.05,0.09,0.14,0.05,0.14,0.8,0,38,24,0,26,18,30,0
Ronald,BRA,"MF,DF",Grêmio,20,11,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0,1,0,0,0,0,1,0
Ronaldo,BRA,MF,Juventude,27,45,45,4014,44.6,2,3,5,2,0,0,3,1,1.0,1.0,1.5,2.5,11,47,7,0.04,0.07,0.11,0.04,0.11,0.02,0.03,0.06,0.02,0.06,0.6,0,26,15,0,3,12,23,0
Budiga Roni,BRA,"MF,DF",Atl Goianiense,24,22,16,1446,16.1,1,0,1,1,0,0,5,0,0.7,0.7,0.3,1.0,5,59,23,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,3.5,0,17,12,0,8,15,26,0
Rony,BRA,FW,Palmeiras,28,35,17,1721,19.1,4,2,6,4,0,0,4,0,8.3,8.3,2.7,11.0,22,20,125,0.21,0.1,0.31,0.21,0.31,0.43,0.14,0.57,0.43,0.57,10.0,0,26,29,17,37,4,13,0
Matheus Rossetto,BRA,MF,Fortaleza,27,22,19,1548,17.2,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,26,94,15,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,0.8,0,16,12,0,2,16,18,0
Rossi,BRA,"FW,MF",Vasco da Gama,30,11,9,507,5.6,0,1,1,0,0,0,3,0,0.0,0.0,0.8,0.9,7,11,45,0.0,0.18,0.18,0.0,0.18,0.0,0.15,0.15,0.0,0.15,1.0,0,9,8,2,49,5,7,0
Agustin Rossi,ARG,GK,Flamengo,28,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,8,0,0,0,1,0
Ruan,BRA,DF,São Paulo,24,8,8,719,8.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,19,4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,3.8,0,10,1,0,0,6,11,1
Ruan,BRA,"FW,MF",Juventude,18,6,0,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,5,11,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,0.15,0,5,3,1,1,0,0,0
Rubens,BRA,"DF,FW",Atlético Mineiro,22,19,15,1194,13.3,1,1,2,1,0,0,4,1,1.1,1.0,1.4,2.4,17,28,66,0.08,0.08,0.15,0.08,0.15,0.08,0.11,0.19,0.08,0.18,4.0,1,16,13,8,46,22,37,0
Alan Ruschel,BRA,DF,Juventude,34,28,25,2243,24.9,1,1,2,1,0,0,7,2,0.7,0.7,1.7,2.4,44,119,86,0.04,0.04,0.08,0.04,0.08,0.03,0.07,0.1,0.03,0.1,0.2,2,29,39,0,94,34,36,0
Jose Sabino,BRA,DF,São Paulo,27,13,11,972,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,5,43,4,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,0.9,0,11,5,0,6,13,14,0
Daniel Sales,BRA,DF,Flamengo,17,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Rodrigo Sam,BRA,DF,Juventude,28,13,8,803,8.9,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,2,22,1,0.11,0.0,0.11,0.11,0.11,0.05,0.01,0.06,0.05,0.06,0.0,0,13,8,1,0,21,11,0
Philipe Sampaio,BRA,DF,Atl Goianiense,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.24,0.09,0.24,0.6,0,1,2,0,1,0,1,0
Alex Sandro,BRA,DF,Flamengo,33,8,5,512,5.7,0,1,1,0,0,0,1,0,0.4,0.4,1.7,2.1,18,37,44,0.0,0.18,0.18,0.0,0.18,0.06,0.3,0.37,0.06,0.37,4.5,0,14,6,3,17,8,8,0
Alex Santana,BRA,MF,Corinthians,28,16,6,670,7.4,0,0,0,0,0,0,4,0,0.9,0.9,0.2,1.2000000000000002,10,24,7,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.16,2.0,0,15,12,0,0,5,9,0
Ademir Santos,BRA,"FW,MF",Bahia,28,31,10,1131,12.6,3,4,7,3,0,0,0,0,3.6,3.6,2.8,6.4,66,29,147,0.24,0.32,0.56,0.24,0.56,0.29,0.22,0.51,0.29,0.51,4.5,0,16,27,7,52,8,19,0
Allyson Aires dos Santos,BRA,DF,Cuiabá,33,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,3,0,0
Eduardo Santos,BRA,DF,RB Bragantino,26,22,18,1716,19.1,1,0,1,1,0,0,5,0,0.6,0.6,0.2,0.8,12,62,8,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,0.9,0,7,10,0,5,18,27,0
Juan Santos,BRA,"FW,MF",São Paulo,21,10,3,263,2.9,0,1,1,0,0,0,0,0,0.7,0.7,0.2,0.9,6,4,21,0.0,0.34,0.34,0.0,0.34,0.22,0.07,0.3,0.22,0.3,1.0,0,6,2,2,0,2,3,0
Junior Santos,BRA,FW,Botafogo (RJ),29,24,16,1481,16.5,4,1,5,4,0,0,2,0,6.3,6.3,1.5,7.8,44,30,127,0.24,0.06,0.3,0.24,0.3,0.38,0.09,0.47,0.38,0.47,0.6,0,16,16,20,20,1,7,0
Kayke Santos,BRA,FW,Ath Paranaense,15,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Luis Eduardo Marques dos Santos,BRA,"FW,DF",Fortaleza,26,18,8,767,8.5,0,1,1,0,0,0,0,0,0.2,0.2,1.5,1.7,22,59,56,0.0,0.12,0.12,0.0,0.12,0.02,0.18,0.2,0.02,0.2,3.0,0,10,4,1,46,9,15,0
Renzo Saravia,ARG,DF,Atlético Mineiro,30,31,26,2291,25.5,0,0,0,0,0,0,3,0,0.4,0.4,1.1,1.4,47,157,74,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06,2.5,0,43,31,1,60,28,47,0
Eduardo Sasha,BRA,FW,RB Bragantino,31,28,26,2079,23.1,8,4,12,7,1,1,7,1,5.4,4.6,2.6,7.2,25,58,111,0.35,0.17,0.52,0.3,0.48,0.23,0.11,0.35,0.2,0.31,1.8,0,20,39,5,12,5,4,0
Lucas Sasha,BRA,MF,Fortaleza,33,21,12,1220,13.6,0,0,0,0,0,0,2,0,0.6,0.6,1.6,2.2,7,40,24,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,0.75,0,36,22,0,4,25,43,0
Gustavo Sauer,BRA,"FW,MF",Cuiabá,30,11,7,503,5.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,8,12,26,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,2.5,0,5,12,1,12,0,11,0
Jefferson Savarino,VEN,"MF,FW",Botafogo (RJ),27,28,22,2009,22.3,8,7,15,8,0,0,3,0,5.2,4.9,6.5,11.4,46,124,175,0.36,0.31,0.67,0.36,0.67,0.23,0.29,0.52,0.22,0.51,5.0,0,9,6,6,117,2,2,0
Gustavo Scarpa,BRA,"DF,MF",Atlético Mineiro,30,32,25,2245,24.9,4,4,8,2,2,2,7,1,4.1,2.5,4.0,6.5,90,140,229,0.16,0.16,0.32,0.08,0.24,0.17,0.16,0.32,0.1,0.26,12.0,1,12,44,5,232,14,25,0
Cleiton Schwengber,BRA,GK,RB Bragantino,26,31,31,2699,30.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0,1,10,0,0,0,1,0
Kevin Serna,COL,FW,Fluminense,26,16,9,872,9.7,3,2,5,3,0,0,1,0,2.6,2.6,1.2,3.8,40,12,90,0.31,0.21,0.52,0.31,0.52,0.27,0.13,0.4,0.27,0.4,0.7,0,12,15,2,40,7,20,0
Igor Serrote,BRA,"DF,FW",Grêmio,18,5,1,123,1.4,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,4,0.0,0.73,0.73,0.0,0.73,0.02,0.16,0.18,0.02,0.18,0.0,0,3,1,0,5,0,2,0
Juan Sforza,ARG,MF,Vasco da Gama,21,26,12,1250,13.9,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.8,7,66,10,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,3.5,0,18,20,0,5,17,16,0
Shaylon,BRA,"FW,MF",Atl Goianiense,26,35,25,2167,24.1,2,2,4,1,1,2,3,0,4.1,2.6,5.7,8.2,36,129,95,0.08,0.08,0.17,0.04,0.12,0.17,0.24,0.41,0.11,0.34,1.0,0,14,7,1,130,16,9,0
Ogundana Shola,NGA,MF,Flamengo,18,1,0,2,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,2.49,0.0,2.49,2.49,2.49,0.0,0,0,0,0,0,0,0,0
Andre Silva,BRA,FW,São Paulo,26,30,17,1535,17.1,7,2,9,7,0,0,3,0,3.9,3.9,0.8,4.8,20,32,107,0.41,0.12,0.53,0.41,0.53,0.23,0.05,0.28,0.23,0.28,2.0,0,24,21,6,19,5,1,0
Luan Silva,BRA,MF,Vitoria,24,25,22,1585,17.6,0,0,0,0,0,0,5,0,0.4,0.4,0.2,0.6,6,41,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,1.5,0,29,14,0,4,27,12,0
Lucas Silva,BRA,MF,Cruzeiro,30,31,25,1991,22.1,1,1,2,1,0,0,5,0,0.9,0.9,1.5,2.4,29,103,49,0.05,0.05,0.09,0.05,0.09,0.04,0.07,0.11,0.04,0.11,1.3,0,27,19,1,20,5,8,1
Rafael Silva,BRA,FW,Cruzeiro,31,9,9,527,5.9,3,0,3,3,0,0,2,1,1.7,1.7,0.1,1.8,6,10,27,0.51,0.0,0.51,0.51,0.51,0.29,0.02,0.31,0.29,0.31,0.75,0,7,3,3,2,1,3,0
Thiago Silva,BRA,DF,Fluminense,39,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.5,0.4,0.7,1.1,3,37,0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.07,2.5,0,4,6,0,0,15,9,0
Everton Soares,BRA,FW,Flamengo,27,10,10,537,6.0,1,2,3,1,0,0,1,0,0.9,0.9,1.2,2.1,23,15,54,0.17,0.34,0.5,0.17,0.5,0.15,0.21,0.36,0.15,0.36,12.0,0,5,7,2,16,2,6,0
Fabio Soares,BRA,MF,Vitoria,19,3,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0,0,1,0,3,0,3,0
Tiquinho Soares,BRA,FW,Botafogo (RJ),33,28,13,1349,15.0,5,3,8,3,2,2,4,1,6.7,5.2,2.1,7.3,7,27,69,0.33,0.2,0.53,0.2,0.4,0.45,0.14,0.59,0.35,0.49,4.0,0,38,38,4,7,3,9,0
Fernando Sobral,BRA,MF,Cuiabá,29,33,22,2001,22.2,1,2,3,0,1,1,7,0,1.3,0.6,2.5,3.0,28,115,61,0.04,0.09,0.13,0.0,0.09,0.06,0.11,0.17,0.03,0.14,2.0,0,31,34,1,72,21,46,0
Yeferson Soteldo,VEN,"FW,MF",Grêmio,26,24,19,1673,18.6,5,2,7,5,0,0,2,0,2.9,2.9,4.6,7.4,120,79,138,0.27,0.11,0.38,0.27,0.38,0.15,0.25,0.4,0.15,0.4,7.0,0,7,38,3,78,7,5,0
Yan Souto,BRA,"DF,MF",Juventude,22,4,2,237,2.6,1,0,1,1,0,0,0,0,0.0,0.0,0.1,0.1,0,6,1,0.38,0.0,0.38,0.38,0.38,0.01,0.03,0.05,0.01,0.05,0.45,0,1,0,0,1,1,4,0
Gabriel Souza,BRA,FW,Vasco da Gama,19,2,1,91,1.0,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,2,1,8,0.99,0.0,0.99,0.99,0.99,0.21,0.0,0.21,0.21,0.21,3.5,0,2,3,0,1,1,1,0
Hugo Souza,BRA,GK,Corinthians,25,22,22,1980,22.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0,0,2,0,0,0,0,0
Igor Vinicius de Souza,BRA,DF,São Paulo,26,30,29,2463,27.4,0,2,2,0,0,0,7,1,0.9,0.9,2.5,3.4,66,137,150,0.0,0.07,0.07,0.0,0.07,0.03,0.09,0.12,0.03,0.12,3.0,1,18,37,2,108,19,35,1
Josef de Souza,BRA,MF,Vasco da Gama,34,4,1,76,0.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,3.5,0,3,1,0,0,1,1,0
Everaldo Stum,BRA,FW,Bahia,32,37,27,2056,22.8,8,3,11,7,1,1,6,0,7.2,6.4,1.9,8.3,40,37,166,0.35,0.13,0.48,0.31,0.44,0.32,0.08,0.4,0.28,0.36,0.9,0,31,29,6,34,4,15,0
Damian Suarez,URU,DF,Botafogo (RJ),35,17,13,1244,13.8,0,1,1,0,0,0,5,0,0.1,0.1,1.6,1.7,22,37,55,0.0,0.07,0.07,0.0,0.07,0.01,0.12,0.13,0.01,0.13,1.5,0,26,12,2,50,8,24,0
Bruno Tabata,BRA,"FW,MF",Internacional,26,17,14,1071,11.9,2,3,5,2,0,1,2,0,2.3,1.4,2.6,3.9,40,62,85,0.17,0.25,0.42,0.17,0.42,0.2,0.21,0.41,0.11,0.33,4.0,0,10,19,3,64,6,8,0
Gabriel Taliari,BRA,FW,Juventude,26,21,8,914,10.2,2,2,4,2,0,1,1,0,3.3,2.5,1.6,4.2,9,12,48,0.2,0.2,0.39,0.2,0.39,0.33,0.16,0.49,0.25,0.41,0.1,0,17,30,5,5,1,7,0
Talisson,BRA,FW,RB Bragantino,21,4,1,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,1,10,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0,4,3,0,6,0,1,0
Tche Tche,BRA,"MF,FW",Botafogo (RJ),31,28,16,1570,17.4,0,0,0,0,0,0,2,1,0.7,0.7,2.8,3.5,30,94,44,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,1.8,0,14,16,0,21,5,9,0
Alex Teixeira,BRA,"FW,MF",Vasco da Gama,34,7,2,238,2.6,1,1,2,1,0,0,0,0,1.1,1.1,0.2,1.2,6,8,18,0.38,0.38,0.76,0.38,0.76,0.4,0.07,0.47,0.4,0.47,1.8,0,0,8,1,1,1,1,0
Alex Telles,BRA,"DF,MF",Botafogo (RJ),31,11,8,650,7.2,0,1,1,0,0,0,1,0,1.0,1.0,1.1,2.1,18,31,43,0.0,0.14,0.14,0.0,0.14,0.14,0.16,0.29,0.14,0.29,14.0,0,10,3,0,55,10,7,0
David Terans,URU,"MF,FW",Fluminense,29,7,2,217,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,1,10,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,5.0,0,4,5,0,8,0,3,0
Felipe Teresa,BRA,"MF,FW",Flamengo,18,1,0,5,0.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,18.0,0.0,18.0,18.0,18.0,5.52,0.0,5.52,5.52,5.52,0.0,0,0,0,0,0,0,0,0
Thaciano,BRA,"FW,MF",Bahia,28,35,32,2343,26.0,7,2,9,7,0,0,6,0,5.7,5.7,2.6,8.3,20,50,124,0.27,0.08,0.35,0.27,0.35,0.22,0.1,0.32,0.22,0.32,0.8,0,26,20,25,11,17,13,0
Thiaguinho,BRA,MF,Juventude,26,7,3,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,8,1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.15,0,8,6,0,3,2,4,0
Tiago,BRA,"FW,MF",Bahia,18,4,0,60,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,5,0,10,0.0,0.0,0.0,0.0,0.0,0.38,0.63,1.01,0.38,1.01,0.0,0,2,1,0,4,0,1,0
Guilherme Tinga,BRA,DF,Fortaleza,30,29,23,2152,23.9,2,1,3,2,0,0,3,1,1.9,1.9,1.9,3.8,32,105,73,0.08,0.04,0.13,0.08,0.13,0.08,0.08,0.16,0.08,0.16,1.0,0,18,9,2,70,33,22,0
Titi,BRA,DF,Fortaleza,35,23,23,2020,22.4,1,0,1,1,0,0,8,0,0.2,0.2,0.6,0.8,8,44,1,0.04,0.0,0.04,0.04,0.04,0.01,0.03,0.04,0.01,0.04,0.3,0,36,18,1,1,29,18,0
Felix Torres Caicedo,ECU,DF,Corinthians,27,22,19,1710,19.0,0,0,0,0,0,0,3,0,0.8,0.8,0.8,1.6,5,60,2,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,6.0,0,25,5,2,3,27,11,0
