Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Helibelton Palacios,COL,DF,Cruzeiro,30,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,1.2,0,0,0,0,1,3,0,0
Sergio Palacios,COL,DF,RB Bragantino,18,1,0,30,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,0,1,0,0
Pedro Paranhos,BRA,"FW,MF",Atl Goianiense,17,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.16,0.76,0.91,0.16,0.91,0.0,0,2,0,0,1,0,0,0
Mateus Pasinato,BRA,GK,Cuiabá,31,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0
Alan Patrick,BRA,"MF,FW",Internacional,32,23,20,1777,19.7,8,3,11,4,4,5,3,0,7.0,3.0,8.4,11.4,36,126,105,0.41,0.15,0.56,0.2,0.35,0.35,0.43,0.78,0.15,0.58,5.5,0,22,31,0,113,2,16,0
Patryck,BRA,DF,São Paulo,21,12,6,615,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,11,22,29,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,1.0,0,9,6,1,21,6,9,0
Patrick de Paula,BRA,"MF,FW",Botafogo (RJ),24,9,3,300,3.3,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,4,16,4,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,7.0,0,8,4,0,0,6,6,0
Paulinho,BRA,"FW,MF",Atlético Mineiro,23,26,22,1991,22.1,8,1,9,7,1,1,3,1,5.9,5.1,1.6,6.7,54,79,158,0.36,0.05,0.41,0.32,0.36,0.27,0.07,0.34,0.23,0.3,7.0,0,10,20,10,13,5,16,0
Paulinho,BRA,MF,Vasco da Gama,27,2,0,27,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,3,2,0.0,0.0,0.0,0.0,0.0,0.8,0.08,0.88,0.8,0.88,0.0,0,0,0,1,1,0,1,0
Paulinho,BRA,MF,Corinthians,35,6,1,118,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,6,2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,1.5,0,1,3,0,0,0,5,0
