Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,league,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Khyzyr Appayev,RUS,FW,Fakel Voronezh,34.0,7.0,1.0,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,4.0,5.0,4.0,4.0,2.0,0.0,0.0,5.0,1.0,20.0,1.6,0.32,0.0,0.0,RU1,,,,,,,,,,,,
Marat Apshatsev,RUS,MF,Rubin Kazan,23.0,7.0,1.0,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,50.0,1.8,0.9,0.0,0.0,RU1,,,,,,,,,,,,
Arthur,BRA,"MF,FW",Dynamo Mosc,26.0,16.0,13.0,950.0,10.6,3.0,2.0,5.0,2.0,1.0,1.0,2.0,0.0,0.28,0.19,0.47,0.19,0.38,3.5,0.0,16.0,19.0,4.0,21.0,4.0,7.0,0.0,18.0,9.0,50.0,1.71,0.85,0.11,0.22,RU1,,,,,,,,,,,,
Artur,BRA,MF,Zenit,26.0,11.0,1.0,254.0,2.8,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.35,0.71,1.06,0.35,1.06,8.0,0.0,2.0,10.0,1.0,14.0,2.0,4.0,0.0,8.0,6.0,75.0,2.83,2.13,0.13,0.17,RU1,,,,,,,,,,,,
Rustam Ashurmatov,UZB,DF,Rubin Kazan,28.0,14.0,7.0,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,8.0,4.0,1.0,2.0,16.0,9.0,0.0,4.0,0.0,0.0,0.53,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Eyad El Askalani,EGY,DF,Rostov,19.0,2.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Imran Aznaurov,RUS,FW,Rostov,19.0,6.0,5.0,372.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,4.0,2.0,0.0,7.0,0.0,3.0,0.0,6.0,3.0,50.0,1.45,0.73,0.0,0.0,RU1,,,,,,,,,,,,
Mohammed Azzi,ALG,"MF,DF",D'mo Makhachkala,22.0,10.0,9.0,810.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.11,0.11,0.22,0.11,0.22,0.8,0.0,20.0,13.0,3.0,39.0,17.0,26.0,0.0,10.0,4.0,40.0,1.11,0.44,0.1,0.25,RU1,,,,,,,,,,,,
Ulvi Babaev,RUS,MF,Samara,20.0,13.0,1.0,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,7.0,1.0,1.0,5.0,1.0,4.0,0.0,7.0,2.0,28.6,4.04,1.15,0.0,0.0,RU1,,,,,,,,,,,,
Srdjan Babic,SRB,DF,Spartak Moscow,28.0,26.0,26.0,2336.0,26.0,2.0,1.0,3.0,2.0,0.0,0.0,10.0,1.0,0.08,0.04,0.12,0.08,0.12,6.0,1.0,37.0,20.0,0.0,0.0,25.0,27.0,0.0,17.0,4.0,23.5,0.65,0.15,0.12,0.5,RU1,,,,,,,,,,,,
Sergey Babkin,RUS,MF,Samara,21.0,29.0,28.0,2061.0,22.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,1.8,0.0,19.0,26.0,0.0,8.0,46.0,24.0,0.0,16.0,7.0,43.8,0.7,0.31,0.0,0.0,RU1,,,,,,,,,,,,
Abdulla Bagamaev,RUS,FW,Fakel Voronezh,19.0,3.0,0.0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Soltmurad Bakaev,RUS,"FW,MF",FK Akron Tolyatti,24.0,25.0,18.0,1354.0,15.0,3.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0,0.2,0.2,0.4,0.2,0.4,0.7,1.0,25.0,16.0,10.0,58.0,17.0,7.0,0.0,35.0,10.0,28.6,2.33,0.66,0.09,0.3,RU1,,,,,,,,,,,,
Zelimkhan Bakayev,RUS,"MF,FW",FC Khimki,28.0,25.0,22.0,1633.0,18.1,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,0.22,0.0,0.22,0.22,0.22,2.0,0.0,30.0,30.0,4.0,58.0,6.0,14.0,0.0,28.0,12.0,42.9,1.54,0.66,0.14,0.33,RU1,,,,,,,,,,,,
