Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,league,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Aihen Munoz,ESP,DF,Real Sociedad,26.0,21.0,13.0,1098.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,12.0,0.0,35.0,13.0,12.0,0.0,6.0,0.0,0.0,0.49,0.0,0.0,0.0,ES1,0.2,0.2,0.3,0.4,26.0,38.0,28.0,0.01,0.02,0.04,0.01,0.04
Alex Munoz,ESP,DF,Las Palmas,30.0,21.0,18.0,1415.0,15.7,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,1.0,0.0,30.0,14.0,2.0,27.0,16.0,28.0,0.0,9.0,5.0,55.6,0.57,0.32,0.33,0.6,ES1,0.9,0.9,0.5,1.4,15.0,45.0,53.0,0.05,0.03,0.09,0.05,0.09
Iker Munoz,ESP,MF,Osasuna,21.0,23.0,4.0,610.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,3.0,0.0,12.0,14.0,0.0,7.0,5.0,2.0,0.0,11.0,0.0,0.0,1.62,0.0,0.0,0.0,ES1,0.5,0.5,1.0,1.4,6.0,24.0,10.0,0.07,0.14,0.21,0.07,0.21
Javier Munoz,ESP,"MF,DF",Las Palmas,29.0,35.0,28.0,2588.0,28.8,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.03,0.1,0.14,0.03,0.14,2.0,0.0,30.0,26.0,2.0,51.0,28.0,34.0,0.0,25.0,6.0,24.0,0.87,0.21,0.04,0.17,ES1,1.3,1.3,2.5,3.7,36.0,108.0,91.0,0.04,0.09,0.13,0.04,0.13
Victor Munoz,ESP,"FW,DF",Real Madrid,21.0,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,ES1,0.5,0.5,0.0,0.5,3.0,0.0,9.0,1.23,0.0,1.23,1.23,1.23
Vedat Muriqi,KVX,FW,Mallorca,30.0,29.0,24.0,2058.0,22.9,7.0,2.0,9.0,5.0,2.0,3.0,1.0,2.0,0.31,0.09,0.39,0.22,0.31,5.0,0.0,29.0,41.0,19.0,10.0,7.0,4.0,1.0,54.0,19.0,35.2,2.36,0.83,0.09,0.26,ES1,9.7,7.3,2.2,9.5,23.0,30.0,103.0,0.42,0.1,0.52,0.32,0.41
Matija Nastasic,SRB,DF,Leganés,31.0,26.0,24.0,2110.0,23.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,0.8,0.0,15.0,8.0,2.0,0.0,21.0,12.0,0.0,2.0,1.0,50.0,0.09,0.04,0.5,1.0,ES1,0.1,0.1,0.1,0.2,1.0,59.0,0.0,0.0,0.01,0.01,0.0,0.01
Natan,BRA,DF,Betis,23.0,31.0,23.0,2175.0,24.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.04,0.04,0.08,0.04,0.08,9.0,0.0,19.0,13.0,0.0,2.0,28.0,25.0,0.0,9.0,4.0,44.4,0.37,0.17,0.11,0.25,ES1,0.3,0.3,0.6,1.0,12.0,52.0,6.0,0.01,0.03,0.04,0.01,0.04
Pau Navarro,ESP,DF,Villarreal,19.0,17.0,8.0,916.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,8.0,0.0,3.0,4.0,17.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,3.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0
Roberto Navarro,ESP,"MF,FW",Mallorca,22.0,23.0,15.0,1278.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,6.0,0.0,14.0,21.0,2.0,30.0,19.0,22.0,0.0,18.0,6.0,33.3,1.27,0.42,0.06,0.17,ES1,2.0,2.0,1.9,3.9,45.0,51.0,85.0,0.14,0.14,0.28,0.14,0.28
Jesus Navas,ESP,"FW,MF",Sevilla,38.0,15.0,3.0,424.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,0.0,0.0,1.0,4.0,3.0,33.0,4.0,2.0,0.0,3.0,2.0,66.7,0.64,0.42,0.33,0.5,ES1,0.5,0.5,0.5,1.0,13.0,23.0,48.0,0.11,0.11,0.22,0.11,0.22
Yvan Neyou,CMR,MF,Leganés,27.0,30.0,27.0,2312.0,25.7,1.0,1.0,2.0,1.0,0.0,0.0,14.0,0.0,0.04,0.04,0.08,0.04,0.08,3.0,0.0,33.0,50.0,0.0,15.0,27.0,34.0,0.0,16.0,3.0,18.8,0.62,0.12,0.06,0.33,ES1,0.6,0.6,0.6,1.3,24.0,96.0,30.0,0.03,0.03,0.05,0.03,0.05
Tanguy Nianzou,FRA,DF,Sevilla,22.0,6.0,6.0,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,10.0,5.0,0.0,0.0,7.0,5.0,1.0,2.0,0.0,0.0,0.35,0.0,0.0,0.0,ES1,0.2,0.2,0.0,0.2,4.0,10.0,0.0,0.03,0.0,0.03,0.03,0.03
Saul Niguez,ESP,MF,Sevilla,29.0,24.0,17.0,1553.0,17.3,1.0,6.0,7.0,1.0,0.0,0.0,8.0,1.0,0.06,0.35,0.41,0.06,0.41,3.0,0.0,44.0,11.0,1.0,17.0,18.0,32.0,0.0,42.0,9.0,21.4,2.43,0.52,0.02,0.11,ES1,2.8,2.8,2.5,5.3,13.0,66.0,39.0,0.16,0.14,0.31,0.16,0.31
Tamas Nikitscher,HUN,"MF,DF",Valladolid,24.0,13.0,9.0,858.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,9.0,0.0,1.0,11.0,9.0,0.0,2.0,1.0,50.0,0.21,0.1,0.0,0.0,ES1,0.1,0.1,0.0,0.1,2.0,13.0,7.0,0.01,0.0,0.01,0.01,0.01
Adrian Nino,ESP,FW,Atlético Madrid,20.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,ES1,0.2,0.2,0.0,0.2,0.0,0.0,1.0,1.44,0.0,1.44,1.44,1.44
Hugo Novoa,ESP,"DF,MF",Alavés,21.0,5.0,2.0,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,1.0,2.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,0.38,0.0,0.0,0.0,ES1,0.5,0.5,0.2,0.7,7.0,2.0,10.0,0.18,0.07,0.26,0.18,0.26
Randy Nteka,ANG,FW,Rayo Vallecano,26.0,24.0,16.0,1129.0,12.5,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.24,0.0,0.24,0.24,0.24,1.5,0.0,39.0,15.0,16.0,4.0,4.0,5.0,0.0,16.0,8.0,50.0,1.28,0.64,0.19,0.38,ES1,2.6,2.6,0.5,3.1,10.0,8.0,44.0,0.21,0.04,0.25,0.21,0.25
Unai Nunez,ESP,DF,Athletic Club,27.0,10.0,7.0,645.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,5.0,1.0,0.0,16.0,6.0,0.0,1.0,0.0,0.0,0.14,0.0,0.0,0.0,ES1,0.2,0.2,0.1,0.3,2.0,26.0,0.0,0.03,0.01,0.04,0.03,0.04
Allan Nyom,CMR,"DF,MF",Getafe,36.0,20.0,10.0,887.0,9.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.1,0.2,0.3,0.1,0.3,0.3,0.0,18.0,9.0,0.0,15.0,5.0,12.0,0.0,9.0,4.0,44.4,0.91,0.41,0.11,0.25,ES1,0.5,0.5,0.3,0.8,5.0,22.0,21.0,0.05,0.03,0.09,0.05,0.09
Lucas Ocampos,ARG,FW,Sevilla,30.0,2.0,2.0,175.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,6.0,0.0,3.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,50.0,2.06,1.03,0.0,0.0,ES1,0.2,0.2,0.3,0.5,5.0,7.0,20.0,0.08,0.17,0.25,0.08,0.25
Alvaro Odriozola,ESP,DF,Real Sociedad,28.0,2.0,0.0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Ojeda,ARG,MF,Villarreal,21.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.25,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12
Aingeru Olabarrieta,ESP,FW,Athletic Club,18.0,1.0,1.0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Olasagasti,ESP,MF,Real Sociedad,23.0,22.0,7.0,857.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.21,0.11,0.21,4.0,0.0,15.0,7.0,0.0,9.0,15.0,10.0,0.0,13.0,2.0,15.4,1.37,0.21,0.08,0.5,ES1,0.9,0.9,0.8,1.7,11.0,38.0,41.0,0.1,0.08,0.18,0.1,0.18
Brian Olivan,ESP,DF,Espanyol,30.0,17.0,12.0,1017.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,1.8,0.0,13.0,6.0,3.0,56.0,10.0,10.0,0.0,6.0,1.0,16.7,0.53,0.09,0.0,0.0,ES1,0.4,0.4,1.1,1.5,21.0,40.0,57.0,0.03,0.1,0.13,0.03,0.13
Lucas Oliveira Rosa,BRA,DF,Valladolid,24.0,26.0,24.0,2136.0,23.7,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08438818565400844,0.017721518987341773,0.0,0.017721518987341773,3.0,0.0,41.0,21.0,1.0,39.0,31.0,38.0,0.0,10.0,4.0,40.0,0.4219409282700422,0.16877637130801687,0.0,0.0,ES1,0.9,0.9,2.2,3.0999999999999996,40.0,59.0,78.0,0.0379746835443038,0.09282700421940929,0.23,0.0379746835443038,0.13080168776371306
Dani Olmo,ESP,"MF,FW",Barcelona,26.0,25.0,13.0,1212.0,13.5,10.0,3.0,13.0,8.0,2.0,2.0,1.0,0.0,0.74,0.22,0.97,0.59,0.82,60.0,0.0,21.0,26.0,1.0,21.0,5.0,11.0,0.0,42.0,17.0,40.5,3.12,1.26,0.19,0.47,ES1,6.5,4.9,3.0,7.9,33.0,81.0,97.0,0.48,0.22,0.7,0.37,0.59
Aimar Oroz,ESP,MF,Osasuna,22.0,37.0,35.0,2966.0,33.0,5.0,4.0,9.0,4.0,1.0,1.0,8.0,0.0,0.15,0.12,0.27,0.12,0.24,15.0,0.0,28.0,64.0,5.0,32.0,22.0,20.0,0.0,48.0,16.0,33.3,1.46,0.49,0.08,0.25,ES1,4.2,3.5,2.9,6.5,74.0,163.0,142.0,0.13,0.09,0.22,0.11,0.2
Angel Ortiz,ESP,DF,Betis,20.0,5.0,4.0,353.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,2.5,0.0,6.0,6.0,0.0,19.0,5.0,8.0,0.0,2.0,0.0,0.0,0.51,0.0,0.0,0.0,ES1,0.0,0.0,0.1,0.2,4.0,15.0,20.0,0.01,0.03,0.04,0.01,0.04
Gabriel Osei Misehouy,NED,"FW,MF",Girona,19.0,9.0,1.0,257.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,1.0,0.0,1.0,5.0,2.0,6.0,0.0,1.0,0.0,6.0,2.0,33.3,2.1,0.7,0.17,0.5,ES1,0.9,0.9,0.3,1.2,5.0,15.0,22.0,0.31,0.09,0.41,0.31,0.41
David Otorbi,ESP,MF,Valencia,16.0,1.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel Oyarzabal,ESP,FW,Real Sociedad,27.0,35.0,28.0,2250.0,25.0,9.0,3.0,12.0,5.0,4.0,4.0,4.0,1.0,0.36,0.12,0.48,0.2,0.32,25.0,0.0,14.0,22.0,18.0,10.0,4.0,16.0,0.0,43.0,18.0,41.9,1.72,0.72,0.12,0.28,ES1,9.9,6.8,2.4,9.2,31.0,28.0,133.0,0.4,0.1,0.5,0.27,0.37
Cenk Ozkacar,TUR,DF,Valladolid,23.0,11.0,8.0,757.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,5.0,1.0,0.0,0.0,17.0,6.0,0.0,2.0,0.0,0.0,0.24,0.0,0.0,0.0,ES1,0.1,0.1,0.0,0.1,2.0,15.0,0.0,0.01,0.0,0.02,0.01,0.02
Jon Pacheco,ESP,DF,Real Sociedad,23.0,14.0,9.0,854.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,5.0,0.0,0.0,9.0,9.0,0.0,1.0,0.0,0.0,0.11,0.0,0.0,0.0,ES1,0.1,0.1,0.1,0.2,12.0,27.0,0.0,0.01,0.01,0.02,0.01,0.02
Isaac Palazon Camacho,ESP,"MF,FW",Rayo Vallecano,29.0,35.0,25.0,2162.0,24.0,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,0.17,0.17,0.33,0.17,0.33,3.5,0.0,39.0,53.0,3.0,109.0,8.0,18.0,0.0,61.0,18.0,29.5,2.54,0.75,0.07,0.22,ES1,4.7,4.7,4.4,9.2,30.0,117.0,123.0,0.2,0.18,0.38,0.2,0.38
Aitor Paredes,ESP,DF,Athletic Club,24.0,23.0,21.0,1812.0,20.1,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.15,0.0,0.15,0.15,0.15,22.0,1.0,23.0,6.0,0.0,1.0,22.0,13.0,0.0,6.0,3.0,50.0,0.3,0.15,0.5,1.0,ES1,2.3,2.3,0.1,2.3,4.0,46.0,2.0,0.11,0.0,0.12,0.11,0.12
Daniel Parejo,ESP,MF,Villarreal,35.0,36.0,26.0,2273.0,25.3,3.0,3.0,6.0,2.0,1.0,2.0,8.0,0.0,0.12,0.12,0.24,0.08,0.2,1.5,0.0,20.0,37.0,1.0,37.0,25.0,40.0,0.0,14.0,4.0,28.6,0.55,0.16,0.14,0.5,ES1,2.5,0.8,1.8,2.7,19.0,176.0,26.0,0.1,0.07,0.17,0.03,0.11
Iago Parente,ESP,DF,Valladolid,18.0,1.0,1.0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.04,0.04,0.0,0.04
Alvaro Pascual,ESP,FW,Sevilla,22.0,8.0,4.0,408.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.22,0.0,0.22,0.22,0.22,1.0,0.0,11.0,5.0,1.0,3.0,2.0,3.0,0.0,11.0,4.0,36.4,2.43,0.88,0.09,0.25,ES1,1.1,1.1,0.0,1.1,4.0,3.0,27.0,0.24,0.01,0.25,0.24,0.25
Alfonso Pedraza,ESP,"DF,MF",Villarreal,28.0,12.0,4.0,460.0,5.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39,2.5,0.0,4.0,2.0,0.0,25.0,5.0,3.0,0.0,5.0,2.0,40.0,0.98,0.39,0.0,0.0,ES1,0.5,0.5,1.4,1.9,21.0,9.0,43.0,0.09,0.27,0.37,0.09,0.37
Pedri,ESP,MF,Barcelona,21.0,37.0,35.0,2879.0,32.0,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,0.13,0.16,0.28,0.13,0.28,140.0,0.0,10.0,51.0,2.0,57.0,29.0,32.0,0.0,24.0,11.0,45.8,0.75,0.34,0.17,0.36,ES1,2.2,2.2,7.4,9.6,92.0,360.0,136.0,0.07,0.23,0.3,0.07,0.3
Adrià Pedrosa,ESP,DF,Sevilla,26.0,31.0,27.0,2298.0,25.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.08,0.04,0.08,7.0,0.0,38.0,19.0,3.0,95.0,24.0,32.0,0.0,24.0,8.0,33.3,0.94,0.31,0.04,0.13,ES1,0.9,0.9,1.6,2.5,41.0,79.0,96.0,0.04,0.06,0.1,0.04,0.1
Pejino,ESP,FW,Las Palmas,28.0,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.63,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.17,0.0,0.17,0.17,0.17
Andy Pelmard,MAD,DF,Las Palmas,24.0,7.0,3.0,334.0,3.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,0.2702702702702703,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.1,2.0,14.0,5.0,0.0,0.0,0.03,0.0,0.027027027027027032
Ruben Pena,ESP,"FW,DF",Osasuna,33.0,25.0,7.0,775.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,12.0,7.0,0.0,52.0,7.0,5.0,0.0,10.0,3.0,30.0,1.16,0.35,0.0,0.0,ES1,0.7,0.7,0.6,1.3,18.0,27.0,57.0,0.08,0.07,0.15,0.08,0.15
Nicolas Pepe,CIV,"FW,MF",Villarreal,29.0,28.0,15.0,1500.0,16.7,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,0.18,0.36,0.54,0.18,0.54,6.0,0.0,20.0,25.0,8.0,45.0,7.0,9.0,0.0,39.0,17.0,43.6,2.34,1.02,0.08,0.18,ES1,3.8,3.8,4.8,8.6,76.0,60.0,159.0,0.23,0.29,0.52,0.23,0.52
Peque,ESP,"MF,FW",Sevilla,21.0,26.0,14.0,1134.0,12.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.08,0.08,0.16,0.08,0.16,3.5,0.0,22.0,26.0,2.0,11.0,8.0,6.0,0.0,19.0,4.0,21.1,1.51,0.32,0.05,0.25,ES1,2.5,2.5,1.2,3.7,14.0,35.0,44.0,0.2,0.1,0.29,0.2,0.29
Ayoze Perez,ESP,FW,Villarreal,31.0,30.0,22.0,1970.0,21.9,19.0,2.0,21.0,19.0,0.0,0.0,4.0,0.0,0.87,0.09,0.96,0.87,0.96,10.0,0.0,22.0,39.0,6.0,14.0,7.0,14.0,0.0,75.0,31.0,41.3,3.43,1.42,0.25,0.61,ES1,12.7,12.7,3.0,15.7,59.0,73.0,124.0,0.58,0.13,0.71,0.58,0.71
Carles Perez,ESP,"MF,FW",Getafe,26.0,27.0,15.0,1431.0,15.9,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.19,0.0,0.19,0.19,0.19,2.0,0.0,44.0,11.0,1.0,41.0,7.0,23.0,0.0,34.0,9.0,26.5,2.14,0.57,0.09,0.33,ES1,2.4,2.4,1.5,3.9,31.0,20.0,77.0,0.15,0.1,0.24,0.15,0.24
Francisco Perez,ESP,"FW,MF",Valencia,21.0,26.0,4.0,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,12.0,0.0,27.0,3.0,12.0,0.0,6.0,1.0,16.7,0.95,0.16,0.0,0.0,ES1,0.3,0.3,2.6,2.9,24.0,13.0,71.0,0.05,0.4,0.45,0.05,0.45
Kike Perez,ESP,MF,Valladolid,27.0,35.0,27.0,2305.0,25.6,3.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,0.1171875,0.0,0.008984375,0.008984375,0.008984375,2.8,0.0,63.0,37.0,2.0,81.0,20.0,50.0,0.0,33.0,12.0,36.36363636363637,1.2890625,0.46875,0.09090909090909091,0.25,ES1,3.0,3.0,2.2,5.2,37.0,127.0,59.0,0.1171875,0.0859375,0.41000000000000003,0.1171875,0.203125
Luis Perez,ESP,DF,Valladolid,29.0,30.0,28.0,2558.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,12.0,25.0,3.0,105.0,28.0,30.0,0.0,5.0,2.0,40.0,0.18,0.07,0.0,0.0,ES1,0.2,0.2,2.1,2.2,41.0,89.0,117.0,0.01,0.07,0.08,0.01,0.08
Romain Perraud,FRA,DF,Betis,26.0,28.0,22.0,2002.0,22.2,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,0.09,0.09,0.18,0.09,0.18,5.0,0.0,26.0,44.0,5.0,72.0,22.0,21.0,0.0,20.0,5.0,25.0,0.9,0.22,0.1,0.4,ES1,0.6,0.6,1.6,2.1,51.0,62.0,106.0,0.02,0.07,0.1,0.02,0.1
Valentin Pezzolesi,ESP,DF,Las Palmas,17.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pica,ESP,DF,Alavés,22.0,9.0,5.0,499.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,6.0,3.0,0.0,2.0,9.0,7.0,0.0,4.0,1.0,25.0,0.72,0.18,0.0,0.0,ES1,0.3,0.3,0.0,0.4,3.0,15.0,0.0,0.06,0.01,0.06,0.06,0.06
Yeremi Pino,ESP,"MF,FW",Villarreal,21.0,34.0,25.0,1934.0,21.5,4.0,7.0,11.0,4.0,0.0,0.0,11.0,0.0,0.19,0.33,0.51,0.19,0.51,30.0,0.0,49.0,30.0,15.0,49.0,10.0,33.0,0.0,29.0,9.0,31.0,1.35,0.42,0.14,0.44,ES1,3.9,3.9,5.3,9.2,42.0,66.0,213.0,0.18,0.25,0.43,0.18,0.43
Portu,ESP,"FW,MF",Girona,32.0,27.0,6.0,779.0,8.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.12,0.23,0.35,0.12,0.35,1.8,0.0,14.0,10.0,7.0,26.0,0.0,8.0,0.0,8.0,4.0,50.0,0.92,0.46,0.13,0.25,ES1,1.6,1.6,1.7,3.3,20.0,16.0,79.0,0.19,0.19,0.38,0.19,0.38
Benat Prados,ESP,MF,Athletic Club,23.0,30.0,21.0,1715.0,19.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.05,0.0,0.05,0.05,0.05,18.0,0.0,40.0,15.0,0.0,9.0,28.0,37.0,0.0,16.0,5.0,31.3,0.84,0.26,0.06,0.2,ES1,1.0,1.0,1.1,2.1,20.0,78.0,32.0,0.05,0.06,0.11,0.05,0.11
Abdon Prats,ESP,"FW,MF",Mallorca,31.0,24.0,3.0,456.0,5.1,2.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,0.39,0.0,0.39,0.2,0.2,1.2,0.0,6.0,19.0,2.0,0.0,2.0,1.0,0.0,14.0,6.0,42.9,2.76,1.18,0.07,0.17,ES1,2.2,1.5,0.1,1.6,0.0,7.0,14.0,0.45,0.03,0.47,0.29,0.32
Javi Puado,ESP,"FW,MF",Espanyol,26.0,35.0,35.0,2974.0,33.0,12.0,4.0,16.0,7.0,5.0,5.0,8.0,0.0,0.36,0.12,0.48,0.21,0.33,10.0,0.0,22.0,27.0,6.0,28.0,5.0,17.0,0.0,71.0,24.0,33.8,2.15,0.73,0.1,0.29,ES1,11.6,7.7,3.0,10.7,73.0,75.0,113.0,0.35,0.09,0.44,0.23,0.32
Dani Raba,ESP,"FW,MF",Leganés,28.0,29.0,24.0,1879.0,20.9,8.0,6.0,14.0,4.0,4.0,5.0,6.0,0.0,0.38,0.29,0.67,0.19,0.48,2.5,0.0,40.0,56.0,9.0,87.0,13.0,23.0,0.0,44.0,17.0,38.6,2.11,0.81,0.09,0.24,ES1,7.5,3.6,5.3,8.9,42.0,69.0,101.0,0.36,0.25,0.61,0.17,0.43
Antonio Raillo,ESP,DF,Mallorca,32.0,36.0,36.0,3207.0,35.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,0.06,0.0,0.06,0.06,0.06,1.8,0.0,50.0,9.0,2.0,2.0,27.0,15.0,0.0,35.0,8.0,22.9,0.98,0.22,0.06,0.25,ES1,2.0,2.0,1.6,3.7,31.0,108.0,20.0,0.06,0.05,0.1,0.06,0.1
Benito Ramirez,ESP,"DF,FW",Las Palmas,29.0,19.0,2.0,478.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,5.0,8.0,0.0,40.0,1.0,6.0,0.0,10.0,1.0,10.0,1.88,0.19,0.0,0.0,ES1,0.3,0.3,0.9,1.2,14.0,16.0,62.0,0.06,0.16,0.22,0.06,0.22
