Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Miodrag Pivas,SRB,"MF,DF",Willem II,19.0,5,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Luca Plogmann,GER,GK,Go Ahead Eag,24.0,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jan Plug,NED,DF,Feyenoord,19.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Suf Podgoreanu,ISR,"FW,MF",Heracles Almelo,22.0,32,28,2337,26.0,1,5,6,1,0,0,3,0,3.4,3.4,3.9,7.3,77,56,165,0.04,0.19,0.23,0.04,0.23,0.13,0.15,0.28,0.13,0.28,0.85,0,36,32,6,88,14,28,1,42,10,23.8,1.62,0.39,0.02,0.1
Emanuel Poku,NED,FW,Almere City,19.0,4,0,145,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,2,0,8,0.0,0.0,0.0,0.0,0.0,0.22,0.01,0.23,0.22,0.23,0.0,0,3,0,0,0,1,0,0,2,1,50.0,1.24,0.62,0.0,0.0
Ernest Poku,NED,FW,AZ Alkmaar,20.0,23,17,1536,17.1,2,3,5,2,0,0,2,0,4.7,4.7,3.7,8.4,82,26,124,0.12,0.18,0.29,0.12,0.29,0.27,0.22,0.49,0.27,0.49,4.0,0,6,5,1,14,3,14,0,34,17,50.0,1.99,1.0,0.06,0.12
Romano Postema,NED,"FW,MF",Groningen,22.0,29,13,1207,13.4,2,0,2,1,1,1,2,0,3.6,2.8,0.3,3.1,14,20,71,0.15,0.0,0.15,0.07,0.07,0.27,0.02,0.29,0.21,0.23,0.45,0,12,16,4,7,5,6,0,22,9,40.9,1.64,0.67,0.05,0.11
Wouter Prins,NED,DF,Groningen,20.0,26,19,1662,18.5,1,1,2,1,0,0,2,0,0.6,0.6,1.1,1.7,16,33,45,0.05,0.05,0.11,0.05,0.11,0.03,0.06,0.09,0.03,0.09,0.8,0,27,17,0,47,21,42,0,7,3,42.9,0.38,0.16,0.14,0.33
Dirk Proper,NED,MF,NEC Nijmegen,22.0,26,25,2159,24.0,0,1,1,0,0,0,3,0,1.4,1.4,1.2,2.6,10,115,27,0.0,0.04,0.04,0.0,0.04,0.06,0.05,0.11,0.06,0.11,3.0,0,31,25,1,5,19,30,0,17,4,23.5,0.71,0.17,0.0,0.0
Ruben Providence,HAI,"FW,MF",Almere City,23.0,22,3,525,5.8,0,2,2,0,0,0,2,0,0.6,0.6,0.9,1.5,15,10,36,0.0,0.34,0.34,0.0,0.34,0.11,0.15,0.25,0.11,0.25,0.35,0,12,8,1,15,2,4,0,7,2,28.6,1.2,0.34,0.0,0.0
Jeffry Puriel,BOE,FW,Almere City,21.0,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Teo Quintero,VEN,DF,Sparta R'dam,25.0,12,6,573,6.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,3,28,0,0.16,0.0,0.16,0.16,0.16,0.05,0.0,0.05,0.05,0.05,0.6,0,7,3,0,0,6,10,0,5,1,20.0,0.79,0.16,0.2,1.0
Bojan Radulovic,SRB,FW,Fortuna Sittard,24.0,11,5,544,6.0,1,0,1,1,0,0,1,0,1.6,1.6,0.4,2.0,2,13,21,0.17,0.0,0.17,0.17,0.17,0.27,0.07,0.33,0.27,0.33,0.8,0,10,17,3,1,0,5,0,13,3,23.1,2.15,0.5,0.08,0.33
Dimitris Rallis,GRE,FW,Heerenveen,19.0,23,12,871,9.7,2,1,3,2,0,0,1,0,2.3,2.3,0.6,2.9,11,18,66,0.21,0.1,0.31,0.21,0.31,0.24,0.06,0.3,0.24,0.3,0.65,0,16,10,8,4,1,3,0,20,4,20.0,2.07,0.41,0.1,0.5
Diant Ramaj,GER,GK,Ajax,22.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Christian Rasmussen,DEN,FW,Ajax,21.0,10,1,219,2.4,1,0,1,1,0,0,1,0,0.9,0.9,0.3,1.3,13,12,35,0.41,0.0,0.41,0.41,0.41,0.38,0.14,0.52,0.38,0.52,1.5,0,7,2,1,12,0,2,0,7,2,28.6,2.88,0.82,0.14,0.5
Khaled Razak,NED,FW,Willem II,18.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Givairo Read,NED,DF,Feyenoord,18.0,26,22,1979,22.0,2,6,8,2,0,0,2,1,2.0,2.0,4.0,5.9,43,92,97,0.09,0.27,0.36,0.09,0.36,0.09,0.18,0.27,0.09,0.27,16.0,0,10,18,0,44,17,40,0,11,5,45.5,0.5,0.23,0.18,0.4
Tim Receveur,NED,MF,Almere City,33.0,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,6,1,0,0,2,4,0,1,1,100.0,0.68,0.68,0.0,0.0
Zepiqueno Redmond,NED,FW,Feyenoord,18.0,4,2,158,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,1,6,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,0.8,0,1,4,1,0,0,1,0,2,1,50.0,1.14,0.57,0.0,0.0
Youri Regeer,NED,MF,Twente,20.0,23,17,1456,16.2,1,1,2,1,0,0,3,0,1.5,1.5,2.7,4.2,26,103,78,0.06,0.06,0.12,0.06,0.12,0.09,0.17,0.26,0.09,0.26,6.0,0,30,25,0,30,14,15,0,19,5,26.32,1.17,0.31,0.05,0.2
