Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Vladislav Shitov,RUS,"FW,MF",Samara,21,24,10,940,10.4,1,2,3,1,0,0,0,0,0.1,0.19,0.29,0.1,0.29,0.8,0,22,9,3,9,6,12,0,22,7,31.8,2.11,0.67,0.05,0.14
Maksim Shnaptsev,RUS,DF,Nizhny Novgorod,20,8,2,269,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,0.3,0,3,7,0,4,7,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Idar Shumakhov,RUS,DF,D'mo Makhachkala,25,29,28,2516,28.0,1,1,2,1,0,0,3,0,0.04,0.04,0.07,0.04,0.07,1.0,0,21,18,3,5,46,25,0,11,3,27.3,0.39,0.11,0.09,0.33
Anton Shvets,RUS,"MF,DF",Akhmat Grozny,31,15,9,794,8.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.8,0,22,6,0,5,21,18,0,13,3,23.1,1.47,0.34,0.0,0.0
Maksim Sidorov,RUS,DF,Orenburg,26,26,26,2283,25.4,0,1,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,0.75,1,24,38,2,73,25,20,0,24,2,8.3,0.95,0.08,0.0,0.0
Ismael Silva Lima,BRA,MF,Akhmat Grozny,29,25,20,1805,20.1,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.7,0,32,31,2,47,16,21,0,23,5,21.7,1.15,0.25,0.0,0.0
Aleksandr Silyanov,RUS,DF,Loko Moscow,23,26,25,2226,24.7,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,6.0,0,12,26,0,18,36,34,0,15,4,26.7,0.61,0.16,0.07,0.25
Dmitri Skopintsev,RUS,DF,Dynamo Mosc,27,23,11,1091,12.1,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,2.5,0,9,8,0,26,21,23,2,15,3,20.0,1.24,0.25,0.0,0.0
Egor Smelov,RUS,MF,Dynamo Mosc,19,2,2,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,4,2,0,1,0,0,0,3,1,33.3,2.57,0.86,0.0,0.0
Fyodor Smolov,RUS,FW,Krasnodar,34,16,3,416,4.6,1,1,2,1,0,0,1,0,0.22,0.22,0.43,0.22,0.43,1.0,0,7,4,6,6,2,5,0,18,6,33.3,3.89,1.3,0.06,0.17
Aleksandr Sobolev,RUS,"FW,MF",Zenit,27,24,10,953,10.5,4,2,6,4,0,0,3,0,0.38,0.19,0.57,0.38,0.57,6.0,0,19,15,11,1,5,5,0,42,17,40.48,4.0,1.62,0.1,0.24
Pablo Solari,ARG,"MF,FW",Spartak Moscow,23,11,2,458,5.1,2,1,3,1,1,1,5,0,0.39,0.2,0.59,0.2,0.39,7.0,0,9,7,3,53,1,7,0,28,10,35.7,5.5,1.97,0.04,0.1
Aleksandr Soldatenkov,RUS,DF,Samara,27,23,23,2070,23.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,4.0,0,17,5,0,1,31,22,1,3,1,33.3,0.13,0.04,0.0,0.0
Sven Sostaric Karic,SVN,DF,Nizhny Novgorod,26,21,19,1775,19.7,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,1.0,0,15,18,0,15,39,20,0,13,2,15.4,0.66,0.1,0.08,0.5
Eduard Spertsyan,ARM,MF,Krasnodar,24,28,27,2283,25.4,11,6,17,7,4,5,2,0,0.43,0.24,0.67,0.28,0.51,25.0,0,39,46,4,122,19,20,0,59,25,42.4,2.33,0.99,0.12,0.28
Mateo Stamatov,BUL,"DF,MF",Nizhny Novgorod,25,12,9,816,9.1,0,2,2,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22,0.5,0,8,6,1,18,8,6,0,4,0,0.0,0.44,0.0,0.0,0.0
