Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Sergey Volkov,RUS,DF,Zenit,21,3,2,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,3,1,0,4,2,2,0,1,0,0.0,0.73,0.0,0.0,0.0
Zakhar Volkov,BLR,DF,FC Khimki,26,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.75,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dmitry Vorobyev,RUS,FW,Loko Moscow,26,30,27,1960,21.8,12,4,16,11,1,2,3,0,0.55,0.18,0.73,0.51,0.69,3.0,0,37,18,8,7,5,11,0,59,24,40.7,2.71,1.1,0.19,0.46
Igor Vujacic,MNE,DF,Rubin Kazan,29,27,27,2372,26.4,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,3.0,0,30,50,2,0,36,21,0,17,3,17.6,0.65,0.11,0.0,0.0
Aleksandr Vyacheslavovich Zhirov,RUS,DF,Akhmat Grozny,33,21,18,1614,17.9,2,0,2,2,0,0,2,0,0.11,0.0,0.11,0.11,0.11,0.3,0,10,3,1,8,19,14,0,16,6,37.5,0.89,0.33,0.13,0.33
Wendel,BRA,MF,Zenit,26,22,22,1783,19.8,1,10,11,1,0,0,4,1,0.05,0.5,0.56,0.05,0.56,18.0,0,9,26,1,14,14,6,0,22,8,36.4,1.11,0.4,0.05,0.13
Willyan,BRA,DF,CSKA Moscow,29,26,26,2258,25.1,1,2,3,1,0,0,3,1,0.04,0.08,0.12,0.04,0.12,6.0,0,21,28,2,5,47,22,0,26,7,26.9,1.04,0.28,0.04,0.14
Vyacheslav Yakimov,RUS,MF,Fakel Voronezh,26,23,14,1243,13.8,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.7,0,32,13,1,5,16,30,0,17,2,11.8,1.23,0.14,0.0,0.0
Vladislav Yakovlev,RUS,FW,CSKA Moscow,22,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Denis Yakuba,RUS,"DF,MF",Samara,28,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.15,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Magomed Yakuev,RUS,MF,Akhmat Grozny,20,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Roman Yevgenyev,RUS,DF,Samara,25,19,15,1391,15.5,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,1.2,1,7,6,2,1,17,8,0,12,4,33.3,0.78,0.26,0.0,0.0
Roman Yezhov,RUS,MF,Samara,26,21,16,1366,15.2,0,2,2,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,1.8,0,9,30,9,51,7,17,0,10,2,20.0,0.66,0.13,0.0,0.0
Igor Yurganov,RUS,DF,Fakel Voronezh,30,20,15,1472,16.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0,15,14,2,12,16,10,0,10,2,20.0,0.61,0.12,0.0,0.0
Zalimkhan Yusupov,RUS,MF,D'mo Makhachkala,26,12,4,367,4.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,0,8,7,0,14,6,10,0,3,0,0.0,0.74,0.0,0.0,0.0
Anton Zabolotny,RUS,FW,FC Khimki,33,29,29,2494,27.7,6,5,11,6,0,0,5,0,0.22,0.18,0.4,0.22,0.4,0.7,0,46,58,12,3,6,12,0,55,17,30.9,1.98,0.61,0.11,0.35
Leon Zaidenzal,RUS,DF,Dynamo Mosc,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sasa Zdjelar,SRB,MF,CSKA Moscow,29,22,14,1399,15.5,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,3.5,0,24,18,0,8,20,26,0,9,1,11.11,0.58,0.06,0.0,0.0
Ilya Zhbanov,RUS,FW,Rostov,20,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0,1,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Rifat Zhemaletdinov,RUS,"FW,MF",CSKA Moscow,27,24,12,882,9.8,2,3,5,2,0,0,1,0,0.2,0.31,0.51,0.2,0.51,2.5,0,18,15,2,10,8,5,0,20,7,35.0,2.04,0.71,0.1,0.29
Anton Zinkovskiy,RUS,"MF,FW",Spartak Moscow,28,18,12,1083,12.0,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,2.5,0,8,21,0,68,5,14,0,25,7,28.0,2.08,0.58,0.0,0.0
Kiryl Zinovic,BLR,"MF,FW",D'mo Makhachkala,21,26,4,548,6.1,1,0,1,1,0,0,2,0,0.16,0.0,0.16,0.16,0.16,0.4,0,12,16,2,5,4,6,0,17,8,47.1,2.79,1.31,0.06,0.13
Roman Zobnin,RUS,"MF,DF",Spartak Moscow,30,16,8,820,9.1,1,0,1,1,0,0,4,1,0.11,0.0,0.11,0.11,0.11,3.0,1,12,15,0,12,12,9,0,11,3,27.3,1.21,0.33,0.09,0.33
Daniil Zorin,RUS,MF,Spartak Moscow,20,14,5,462,5.2,1,0,1,1,0,0,1,0,0.19,0.0,0.19,0.19,0.19,0.7,0,6,12,2,2,1,4,1,9,2,22.22,1.73,0.38,0.11,0.5
Aleksandr Zotov,RUS,MF,Rubin Kazan,33,22,12,1219,13.5,2,0,2,2,0,0,4,0,0.15,0.0,0.15,0.15,0.15,0.15,0,14,15,1,14,15,11,0,7,2,28.6,0.52,0.15,0.29,1.0
Georgi Zotov,RUS,DF,Orenburg,34,7,4,376,4.2,0,1,1,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,0.05,0,4,6,0,5,9,3,0,5,0,0.0,1.2,0.0,0.0,0.0
Ifet Djakovac,BIH,MF,FK Akron Tolyatti,26,8,6,447,5.0,2,0,2,2,0,0,1,0,0.4,0.0,0.4,0.4,0.4,2.5,0,7,5,0,14,9,8,0,9,3,33.3,1.81,0.6,0.22,0.67
Jan Djapo,SVN,"MF,DF",D'mo Makhachkala,21,16,9,694,7.7,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,0.5,0,12,3,1,27,8,12,0,12,1,8.3,1.56,0.13,0.08,1.0
Aleksa Djurasovic,SRB,MF,FK Akron Tolyatti,21,30,29,2524,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,0,12,25,0,7,34,27,1,14,2,14.3,0.5,0.07,0.0,0.0
