Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Florian Lejeune,FRA,DF,Rayo Vallecano,33,37,37,3325,36.9,2,3,5,2,0,0,8,0,3.6,3.6,1.9,5.4,21,143,5,0.05,0.08,0.14,0.05,0.14,0.1,0.05,0.15,0.1,0.15,2.5,0,50,19,0,8,42,28,0,58,17,29.3,1.57,0.46,0.03,0.12
Inigo Lekue,ESP,DF,Athletic Club,31,16,8,773,8.6,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,13,35,21,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,2.0,0,5,2,0,16,9,13,0,2,0,0.0,0.23,0.0,0.0,0.0
Thomas Lemar,FRA,MF,Atlético Madrid,28,5,0,85,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,1,8,4,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.3,0.5,5.0,0,1,2,0,3,0,1,0,2,1,50.0,2.12,1.06,0.0,0.0
Clement Lenglet,FRA,DF,Atlético Madrid,29,23,23,1972,21.9,2,1,3,2,0,0,9,0,2.4,2.4,1.1,3.5,16,79,1,0.09,0.05,0.14,0.09,0.14,0.11,0.05,0.16,0.11,0.16,7.5,0,29,19,2,4,24,17,0,10,4,40.0,0.46,0.18,0.2,0.5
Robert Lewandowski,POL,FW,Barcelona,35,34,32,2667,29.6,27,2,29,24,3,4,1,0,27.1,24.0,2.3,26.3,27,48,164,0.91,0.07,0.98,0.81,0.88,0.92,0.08,0.99,0.81,0.89,12.0,0,30,39,17,5,4,5,0,115,48,41.7,3.88,1.62,0.21,0.5
Samuel Lino,BRA,"MF,DF",Atlético Madrid,24,31,21,1552,17.2,3,4,7,3,0,0,3,0,6.0,6.0,2.9,8.9,72,73,179,0.17,0.23,0.41,0.17,0.41,0.35,0.17,0.52,0.35,0.52,22.0,0,15,30,3,41,9,18,0,45,18,40.0,2.61,1.04,0.07,0.17
Javier Llabres,ESP,FW,Mallorca,21,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,8,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.21,0.08,0.21,0.8,0,0,1,1,4,0,0,0,1,0,0.0,1.58,0.0,0.0,0.0
Diego Llorente,ESP,DF,Betis,30,30,29,2519,28.0,2,0,2,2,0,0,4,0,1.5,1.5,0.3,1.8,7,81,3,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,6.0,0,20,23,0,1,44,20,1,11,5,45.5,0.39,0.18,0.18,0.4
Marcos Llorente,ESP,"DF,MF",Atlético Madrid,29,33,28,2513,27.9,2,4,6,2,0,0,0,1,0.8,0.8,4.3,5.1,82,111,151,0.07,0.14,0.21,0.07,0.21,0.03,0.16,0.18,0.03,0.18,25.0,0,23,25,4,62,27,52,0,16,5,31.3,0.57,0.18,0.13,0.4
Giovani Lo Celso,ARG,"MF,FW",Betis,28,25,15,1457,16.2,8,3,11,6,2,3,4,0,4.8,2.4,4.9,7.3,26,132,66,0.49,0.19,0.68,0.37,0.56,0.29,0.3,0.59,0.15,0.45,15.0,0,13,63,0,93,5,21,0,34,19,55.9,2.1,1.17,0.18,0.32
Enzo Loiodice,FRA,MF,Las Palmas,23,17,7,684,7.6,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.4,3,31,3,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,1.2,0,10,6,1,11,10,7,0,7,4,57.1,0.92,0.53,0.0,0.0
David Lopez,ESP,DF,Mallorca,21,2,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0
David Lopez,ESP,DF,Girona,34,29,27,2429,27.0,1,1,2,1,0,0,4,0,0.9,0.9,0.6,1.5,17,132,7,0.04,0.04,0.07,0.04,0.07,0.03,0.02,0.06,0.03,0.06,1.0,0,12,15,1,3,14,23,0,12,3,25.0,0.44,0.11,0.08,0.33
Diego Lopez,ESP,"MF,FW",Valencia,22,38,35,2737,30.4,8,5,13,8,0,0,3,0,6.6,6.6,5.0,11.6,76,85,219,0.26,0.16,0.43,0.26,0.43,0.22,0.17,0.38,0.22,0.38,15.0,0,21,33,13,67,13,18,0,44,14,31.8,1.45,0.46,0.18,0.57
Fer Lopez,ESP,"FW,MF",Celta Vigo,20,17,7,671,7.5,2,0,2,2,0,0,2,0,2.7,2.7,1.9,4.6,27,43,58,0.27,0.0,0.27,0.27,0.27,0.37,0.25,0.62,0.37,0.62,5.0,0,13,7,2,2,2,5,0,20,6,30.0,2.68,0.8,0.1,0.33
Fermin Lopez,ESP,"MF,FW",Barcelona,21,28,12,1252,13.9,6,5,11,6,0,0,4,1,5.6,5.6,3.9,9.5,31,79,108,0.43,0.36,0.79,0.43,0.79,0.41,0.28,0.69,0.41,0.69,50.0,0,27,21,5,47,4,14,0,41,16,39.0,2.95,1.15,0.15,0.38
Javi Lopez,ESP,DF,Real Sociedad,22,29,21,1936,21.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,36,73,64,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,7.5,0,30,27,1,60,10,23,0,5,1,20.0,0.23,0.05,0.0,0.0
Pau Lopez,ESP,GK,Girona,29,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Roberto Lopez,ESP,MF,Leganés,24,13,3,396,4.4,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,3,20,11,0.0,0.23,0.23,0.0,0.23,0.11,0.2,0.31,0.11,0.31,1.0,0,1,3,0,23,1,5,0,6,1,16.7,1.36,0.23,0.0,0.0
Unai Lopez,ESP,MF,Rayo Vallecano,28,32,23,1707,19.0,3,1,4,3,0,0,9,1,1.6,1.6,1.0,2.6,22,112,40,0.16,0.05,0.21,0.16,0.21,0.08,0.05,0.14,0.08,0.14,2.5,0,18,21,1,33,21,21,0,26,11,42.3,1.37,0.58,0.12,0.27
Iker Losada,ESP,"MF,FW",Betis,22,22,7,694,7.7,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.3,18,31,39,0.13,0.0,0.13,0.13,0.13,0.21,0.08,0.29,0.21,0.3,1.5,0,4,2,0,9,4,11,0,8,3,37.5,1.04,0.39,0.12,0.33
Pol Lozano,ESP,MF,Espanyol,24,30,27,1943,21.6,0,1,1,0,0,0,12,0,0.2,0.2,0.8,1.0,18,115,12,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,5.0,0,56,14,0,19,22,33,0,8,2,25.0,0.37,0.09,0.0,0.0
Jose Luis Gayà,ESP,DF,Valencia,29,23,22,1803,20.0,0,1,1,0,0,0,7,0,1.0,1.0,2.6,3.6,29,59,156,0.0,0.05,0.05,0.0,0.05,0.05,0.13,0.18,0.05,0.18,9.0,0,28,14,3,86,24,38,0,12,4,33.3,0.6,0.2,0.0,0.0
Dodi Lukebakio,BEL,FW,Sevilla,26,38,36,3092,34.4,11,2,13,10,1,1,3,1,10.1,9.3,4.5,13.8,131,93,247,0.32,0.06,0.38,0.29,0.35,0.29,0.13,0.42,0.27,0.4,20.0,0,39,55,27,127,11,14,0,94,39,41.5,2.74,1.14,0.11,0.26
Daniel Luna,COL,MF,Mallorca,21,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Andriy Lunin,UKR,GK,Real Madrid,25,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.9,0.9,0,0,0,0.0,0.14,0.14,0.0,0.14,0.0,0.13,0.13,0.0,0.13,18.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Darwin Machis,VEN,"MF,FW",Valladolid,31,18,7,639,7.1,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,17,19,43,0.0,0.14,0.14,0.0,0.14,0.12,0.07,0.2,0.12,0.2,0.6,0,4,14,2,68,5,4,0,14,2,14.3,1.97,0.28,0.0,0.0
Pablo Maffeo,ESP,DF,Mallorca,27,30,28,2368,26.3,0,2,2,0,0,0,7,0,0.3,0.3,4.1,4.4,46,74,122,0.0,0.08,0.08,0.0,0.08,0.01,0.16,0.17,0.01,0.17,5.0,0,23,37,1,96,27,41,0,7,1,14.3,0.27,0.04,0.0,0.0
Jon Magunazelaia,ESP,MF,Real Sociedad,23,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
