Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Stanislav Bessmertnyi,RUS,DF,Dynamo Moscow,20,1.3,0,1,0,0.0,0.8,0.0,0.0,0.0,0,0
Ruslan Bezrukov,RUS,"DF,MF",Rubin Kazan,22,12.9,3,17,7,41.2,1.32,0.54,0.18,0.43,0,0
Glenn Bijl,NED,DF,Samara,29,16.2,1,14,6,42.9,0.87,0.37,0.07,0.17,0,0
Kristijan BistroviД‡,CRO,MF,CSKA Moscow,26,10.7,1,17,3,17.6,1.58,0.28,0.06,0.33,0,0
Bitelo,BRA,MF,Dynamo Moscow,24,23.1,3,54,21,38.9,2.34,0.91,0.06,0.14,0,0
Ivan Bober,RUS,MF,Samara,18,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Miroslav Bogosavac,SRB,"DF,MF",Akhmat Grozny,27,8.4,0,2,1,50.0,0.24,0.12,0.0,0.0,0,0
Marat Bokoev,RUS,DF,FK Akron Tolyatti,23,11.0,1,9,2,22.2,0.82,0.18,0.11,0.5,0,0
Denis Bokov,RUS,FW,Dynamo Moscow,18,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Maksim Boldyrev,RUS,MF,FK Akron Tolyatti,20,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Theo Bongonda,COD,"MF,FW",Spartak Moscow,28,20.4,7,49,24,49.0,2.4,1.18,0.14,0.29,0,1
Kirill Bozhenov,RUS,"DF,MF",Nizhny Novgorod,23,8.7,0,2,0,0.0,0.23,0.0,0.0,0.0,0,0
Sergei Bozhin,RUS,DF,Fakel Voronezh,29,20.6,0,14,3,21.4,0.68,0.15,0.0,0.0,0,0
Mohamed Brahimi,FRA,"MF,DF",Fakel Voronezh,25,20.8,1,13,3,23.1,0.63,0.14,0.08,0.33,0,0
Sergei Bryzgalov,RUS,DF,Fakel Voronezh,31,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Juan CГЎceres,PAR,DF,Dynamo Moscow,24,10.0,0,4,0,0.0,0.4,0.0,0.0,0.0,0,0
Egas Cacintura,ANG,"FW,MF",D'mo Makhachkala,26,23.5,4,36,14,38.9,1.53,0.59,0.11,0.29,0,0
Camilo,BRA,MF,Akhmat Grozny,25,15.1,0,7,0,0.0,0.46,0.0,0.0,0.0,0,0
Felippe Cardoso,BRA,FW,Akhmat Grozny,25,6.8,2,21,7,33.3,3.11,1.04,0.1,0.29,0,0
Roberto Carlos FernГЎndez,BOL,DF,FK Akron Tolyatti,25,18.0,0,1,0,0.0,0.06,0.0,0.0,0.0,0,0
Jorge Carrascal,COL,"MF,FW",Dynamo Moscow,26,19.2,7,43,18,41.9,2.24,0.94,0.09,0.22,3,3
Mateo Cassierra,COL,"FW,MF",Zenit,27,20.3,8,51,19,37.3,2.51,0.93,0.14,0.37,1,1
Kevin CastaГ±o,COL,MF,Krasnodar,23,6.4,1,11,2,18.2,1.71,0.31,0.09,0.5,0,0
Juan Castillo,COL,"DF,MF",Nizhny Novgorod,21,3.9,0,6,3,50.0,1.55,0.77,0.0,0.0,0,0
Thabo Cele,RSA,"MF,FW",Fakel Voronezh,27,5.5,0,2,0,0.0,0.36,0.0,0.0,0.0,0,0
Ronaldo Cesar,BRA,"FW,MF",Rostov,23,26.2,4,65,22,33.8,2.48,0.84,0.06,0.18,0,1
Fyodor Chalov,RUS,FW,CSKA Moscow,26,1.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0
Luis ChГЎvez,MEX,MF,Dynamo Moscow,28,15.5,3,25,8,32.0,1.61,0.52,0.08,0.25,1,1
Aleksandr Chernikov,RUS,MF,Krasnodar,24,20.6,2,31,7,22.6,1.51,0.34,0.06,0.29,0,0
Nikita Chernov,RUS,DF,Spartak Moscow,28,4.8,0,3,1,33.3,0.63,0.21,0.0,0.0,0,0
Yevgeni Chernov,RUS,DF,Rostov,31,2.3,0,1,0,0.0,0.44,0.0,0.0,0.0,0,0
Vasili Cherov,RUS,DF,Fakel Voronezh,28,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Artem Chistiakov,RUS,DF,Nizhny Novgorod,17,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Claudinho,BRA,MF,Zenit,27,13.3,0,28,10,35.7,2.11,0.75,0.0,0.0,0,0
Jhon CГіrdoba,COL,FW,Krasnodar,31,24.5,12,82,36,43.9,3.34,1.47,0.15,0.33,0,0
ГЃlex Corredera,ESP,MF,FC Khimki,28,14.5,0,14,4,28.6,0.97,0.28,0.0,0.0,0,0
Fernando Costanza,BRA,MF,Samara,25,18.8,1,22,6,27.3,1.17,0.32,0.05,0.17,0,0
Justin Cuero,ECU,FW,Orenburg,20,1.1,0,6,1,16.7,5.63,0.94,0.0,0.0,0,0
Nikola ДЊumiД‡,SRB,"MF,FW",Rubin Kazan,25,11.9,2,25,12,48.0,2.1,1.01,0.08,0.17,0,0
Marvin Cuni,ALB,FW,Rubin Kazan,23,5.1,0,6,0,0.0,1.18,0.0,0.0,0.0,0,0
Mirlind Daku,ALB,FW,Rubin Kazan,26,25.6,15,65,31,47.7,2.54,1.21,0.18,0.39,3,5
Kirill Danilin,RUS,"FW,MF",FK Akron Tolyatti,21,17.2,1,23,9,39.1,1.34,0.52,0.04,0.11,0,0
Eli Dasa,ISR,DF,Dynamo Moscow,31,15.5,0,11,0,0.0,0.71,0.0,0.0,0.0,0,0
Moses David Cobnan,NGA,"MF,FW",Krasnodar,21,6.5,4,19,7,36.8,2.91,1.07,0.21,0.57,0,0
VГ­ctor DГЎvila,CHI,"FW,MF",CSKA Moscow,26,3.0,0,7,5,71.4,2.3,1.64,0.0,0.0,0,0
Daniil Denisov,RUS,DF,Spartak Moscow,21,20.2,0,13,2,15.4,0.64,0.1,0.0,0.0,0,0
Diego,BRA,DF,Krasnodar,25,27.9,1,16,2,12.5,0.57,0.07,0.06,0.5,0,0
Bojan Dimoski,MKD,DF,FK Akron Tolyatti,22,8.4,0,7,1,14.3,0.83,0.12,0.0,0.0,0,0
Zaim DivanoviД‡,MNE,MF,Akhmat Grozny,23,1.8,0,1,0,0.0,0.55,0.0,0.0,0.0,0,0
Igor Diveev,RUS,DF,CSKA Moscow,24,25.7,5,27,10,37.0,1.05,0.39,0.19,0.5,0,0
Arsenii Dmitriev,RUS,FW,FK Akron Tolyatti,17,0.9,0,4,0,0.0,4.56,0.0,0.0,0.0,0,0
Igor Dmitriev,RUS,MF,Samara,20,8.9,3,21,10,47.6,2.37,1.13,0.14,0.3,0,0
Aleksandr Dovbnya,RUS,GK,Spartak Moscow,37,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Vanja DrkuЕЎiДЌ,SVN,"DF,MF",Zenit,24,4.9,0,2,0,0.0,0.41,0.0,0.0,0.0,0,0
Alexis Duarte,PAR,DF,Spartak Moscow,24,11.9,0,3,2,66.7,0.25,0.17,0.0,0.0,0,0
Abdulpasha Dzhabrailov,RUS,MF,D'mo Makhachkala,19,3.5,0,3,0,0.0,0.87,0.0,0.0,0.0,0,0
Georgi Dzhikiya,RUS,DF,FC Khimki,30,14.9,0,6,1,16.7,0.4,0.07,0.0,0.0,0,0
Maks Dziov,RUS,DF,Fakel Voronezh,22,19.9,0,10,1,10.0,0.5,0.05,0.0,0.0,0,0
Artem Dzyuba,RUS,FW,FK Akron Tolyatti,35,19.1,9,48,20,41.7,2.51,1.05,0.15,0.35,2,2
Houssem Eddine Mrezigue,ALG,MF,D'mo Makhachkala,24,19.0,2,29,6,20.7,1.52,0.32,0.07,0.33,0,0
Aleksandr Ektov,RUS,"DF,MF",Krasnodar,28,22.700000000000003,1,9,2,22.22,0.4,0.09,0.11,0.5,0,0
Abu-Said Eldarushev,RUS,FW,FK Akron Tolyatti,22,0.7,1,1,1,100.0,1.41,1.41,1.0,1.0,0,0
Strahinja ErakoviД‡,SRB,DF,Zenit,23,17.8,0,8,2,25.0,0.45,0.11,0.0,0.0,0,0
Nikita Ermakov,RUS,"MF,FW",Nizhny Novgorod,21,13.3,0,10,6,60.0,0.75,0.45,0.0,0.0,0,0
Aleksandr Erokhin,RUS,MF,Zenit,34,2.9,2,14,6,42.9,4.9,2.1,0.14,0.33,0,0
Sherzod Esanov,UZB,MF,FK Akron Tolyatti,21,2.7,0,2,1,50.0,0.73,0.37,0.0,0.0,0,0
JoГЈo Escoval,POR,DF,FK Akron Tolyatti,27,25.5,2,9,2,22.2,0.35,0.08,0.22,1.0,0,0
Joel Fameyeh,GHA,FW,Rubin Kazan,27,1.2,1,2,1,50.0,1.67,0.83,0.0,0.0,1,1
Edgardo FariГ±a,PAN,DF,FC Khimki,22,12.0,3,11,4,36.4,0.92,0.33,0.27,0.75,0,0
Lucas Fasson,BRA,"DF,MF",Loko Moscow,23,10.4,0,5,1,20.0,0.48,0.1,0.0,0.0,0,0
Abbosbek Fayzullayev,UZB,"FW,MF",CSKA Moscow,20,20.1,3,40,20,50.0,1.99,0.99,0.08,0.15,0,0
Dani Fernandez,ESP,DF,FC Khimki,27,19.4,0,5,3,60.0,0.26,0.15,0.0,0.0,0,0
Roberto FernГЎndez,PAR,DF,Dynamo Moscow,24,18.1,1,14,5,35.7,0.77,0.28,0.07,0.2,0,0
Oleksandr Filin,RUS,DF,FC Khimki,28,30.0,0,7,2,28.6,0.23,0.07,0.0,0.0,0,0
Gabriel FlorentГ­n,ARG,MF,Orenburg,25,2.9,0,9,2,22.2,3.06,0.68,0.0,0.0,0,0
