Player
Shuto Machino
Ben Old
Ante Rebic
Yunus Emre Konak
Kristoffer Peterson
Maximilian Beier
Tidjany Chabrol
Oliver Antman
Dailon Livramento
Adam Hlozek
Joshua King
Remy Cabella
Milos Lukovic
Kornelius Hansen
Rafa Mir
Roy Kuijpers
Manuel Fuster
Andre Silva
Luis Sinisterra
Carlos Vicente
Karem Zoabi
Aleksandr Sobolev
Tyler Dibling
Jonathan Bamba
Javi Puado
Leonardo Pavoletti
Silvester van der Water
Tiago Machado
Nicolas Pepe
